Time	DAM_STORAGE	PHS	BATT_LI	CAES	BEV_BATT	PHEV_BATT	TS_DEC_HP_ELEC	TS_DEC_DIRECT_ELEC	TS_DHN_DAILY	TS_DHN_SEASONAL	TS_DEC_THHP_GAS	TS_DEC_COGEN_GAS	TS_DEC_COGEN_OIL	TS_DEC_ADVCOGEN_GAS	TS_DEC_ADVCOGEN_H2	TS_DEC_BOILER_GAS	TS_DEC_BOILER_WOOD	TS_DEC_BOILER_OIL	SEASONAL_NG	SEASONAL_H2	CO2_STORAGE	SLF_STO	PT_STORAGE	ST_STORAGE	TS_MOLTEN_SALT	TS_COLD	DAM_STORAGE_in	DAM_STORAGE_out	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	CAES_in	CAES_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_DEC_HP_ELEC_in	TS_DEC_HP_ELEC_out	TS_DEC_DIRECT_ELEC_in	TS_DEC_DIRECT_ELEC_out	TS_DHN_DAILY_in	TS_DHN_DAILY_out	TS_DHN_SEASONAL_in	TS_DHN_SEASONAL_out	TS_DEC_THHP_GAS_in	TS_DEC_THHP_GAS_out	TS_DEC_COGEN_GAS_in	TS_DEC_COGEN_GAS_out	TS_DEC_COGEN_OIL_in	TS_DEC_COGEN_OIL_out	TS_DEC_ADVCOGEN_GAS_in	TS_DEC_ADVCOGEN_GAS_out	TS_DEC_ADVCOGEN_H2_in	TS_DEC_ADVCOGEN_H2_out	TS_DEC_BOILER_GAS_in	TS_DEC_BOILER_GAS_out	TS_DEC_BOILER_WOOD_in	TS_DEC_BOILER_WOOD_out	TS_DEC_BOILER_OIL_in	TS_DEC_BOILER_OIL_out	SEASONAL_NG_in	SEASONAL_NG_out	SEASONAL_H2_in	SEASONAL_H2_out	CO2_STORAGE_in	CO2_STORAGE_out	SLF_STO_in	SLF_STO_out	PT_STORAGE_in	PT_STORAGE_out	ST_STORAGE_in	ST_STORAGE_out	TS_MOLTEN_SALT_in	TS_MOLTEN_SALT_out	TS_COLD_in	TS_COLD_out	
 1	600.282611	23.782158			20.475597		6.137437			4358.073165									1021.279108	-0.000000		984.207150			-0.000000	0.000000	-0.289633	0.000000	0.000000	0.000000					0.000000	0.071544			0.000000	1.945700					0.000000	3.848749																	0.000000	1.159888	0.000000	0.000000			-1.005890	0.000000					0.000000	0.000000	0.000000	0.000000	
 2	600.569273	23.782158			20.442884		4.387950			4354.539996									1020.119220	-0.000000		985.214771			-0.000000	0.000000	-0.286662	0.000000	0.000000	0.000000					0.000000	0.028618			0.000000	1.698914					0.000000	3.269070																	0.000000	1.159888	0.000000	0.000000			-1.007621	0.000000					0.000000	0.000000	0.000000	0.000000	
 3	600.879700	23.782158			20.424487		3.009734			4347.319203									1018.959332	-0.000000		986.222970			-0.000000	0.000000	-0.310427	0.000000	0.000000	0.000000					0.000000	0.014309			0.000000	1.342059					0.000000	6.956907																	0.000000	1.159888	0.000000	0.000000			-1.008198	0.000000					0.000000	0.000000	0.000000	0.000000	
 4	601.201267	23.782158			20.248695		1.918376			4343.089170									1017.799445	-0.000000		987.224821			-0.000000	0.000000	-0.321567	0.000000	0.000000	0.000000					0.000000	0.171707			0.000000	1.066558					0.000000	3.966586																	0.000000	1.159888	0.000000	0.000000			-1.001852	0.000000					0.000000	0.000000	0.000000	0.000000	
 5	601.495603	23.782158			19.786761		1.092739			4340.143582									1016.639557	-0.000000		988.215134			-0.000000	0.000000	-0.294336	0.000000	0.000000	0.000000					0.000000	0.457884			0.000000	0.809830					0.000000	2.682397																	0.000000	1.159888	0.000000	0.000000			-0.990313	0.000000					0.000000	0.000000	0.000000	0.000000	
 6	600.580185	23.782158			18.638095		0.492934			4331.024573									1015.479669	-0.000000		989.177753			-0.000000	0.000000	-0.313398	1.228816	0.000000	0.000000					0.000000	1.144709			0.000000	0.590801					0.000000	8.855996																	0.000000	1.159888	0.000000	0.000000			-0.962619	0.000000					0.000000	0.000000	0.000000	0.000000	
 7	597.863972	21.301469			16.416496		0.010563			4321.972184									1014.319782	-0.000000		990.097100			-0.000000	0.000000	-0.248787	2.965000	0.000000	2.480689					0.000000	2.217872			0.000000	0.478309					0.000000	8.789929																	0.000000	1.159888	0.000000	0.000000			-0.919347	0.000000					0.000000	0.000000	0.000000	0.000000	
 8	595.199497	19.227996			14.481520		0.000000			4313.195102									1013.159894	-0.000000		991.027987			-0.000000	0.000000	-0.300525	2.965000	0.000000	2.073473					0.000000	1.931692			0.000000	0.010476					0.000000	8.515170																	0.000000	1.159888	0.000000	0.000000			-0.930886	0.000000					0.000000	0.000000	0.000000	0.000000	
 9	592.528586	18.348191			12.690016		0.736846			4304.857456									1012.000006	-0.000000		991.964642			-0.000000	0.000000	-0.294089	2.965000	0.000000	0.879805					0.000000	1.788608			-0.736846	0.000000					0.000000	8.076267																	0.000000	1.159888	0.000000	0.000000			-0.936656	0.000000					0.000000	0.000000	0.000000	0.000000	
 10	590.065616	18.344380			10.684232		2.112896			4296.899286									1010.840119	-0.000000		992.892644			-0.000000	0.000000	-0.502030	2.965000	0.000000	0.003810					0.000000	2.003246			-1.382122	0.000000					0.000000	7.697295																	0.000000	1.159888	0.000000	0.000000			-0.928001	0.000000					0.000000	0.000000	0.000000	0.000000	
