Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																				1.964330																	-0.289633	-1.674698																																																																																																																																	0.000000	
 1 	 2																				1.956180																	-0.286662	-1.669518																																																																																																																																	0.000000	
 1 	 3																				1.981972																	-0.310427	-1.671545																																																																																																																																	0.000000	
 1 	 4																				1.992210																	-0.321567	-1.670644																																																																																																																																	0.000000	
 1 	 5																				1.966331																	-0.294336	-1.671995																																																																																																																																	0.000000	
 1 	 6																				1.982915																	-0.313398	-1.669518																																																																																																																																	0.000000	
 1 	 7																				2.030687																	-0.248787	-1.781900																																																																																																																																	0.000000	
 1 	 8																				2.170484																	-0.300525	-1.869959																																																																																																																																	0.000000	
 1 	 9																				2.202109																	-0.294089	-1.908020																																																																																																																																	0.000000	
 1 	 10																				2.412077																	-0.502030	-1.910047																																																																																																																																	0.000000	
 1 	 11																				2.427319																	-0.508714	-1.918605																																																																																																																																	0.000000	
 1 	 12																				2.321469																	-0.448807	-1.872661																																																																																																																																	0.000000	
 1 	 13																				2.278745																	-0.449550	-1.829195																																																																																																																																	0.000000	
 1 	 14																				2.277561																	-0.466383	-1.811178																																																																																																																																	0.000000	
 1 	 15																				2.145001																	-0.345084	-1.799917																																																																																																																																	0.000000	
 1 	 16																				2.121832																	-0.337905	-1.783927																																																																																																																																	0.000000	
 1 	 17																				2.300235																	-0.473067	-1.827168																																																																																																																																	0.000000	
 1 	 18																				2.535067																	-0.562185	-1.972882																																																																																																																																	0.000000	
 1 	 19																				2.712947																	-0.733984	-1.978963																																																																																																																																	0.000000	
 1 	 20																				2.550713																	-0.570849	-1.979864																																																																																																																																	0.000000	
 1 	 21																				2.314379																	-0.292851	-2.021528																																																																																																																																	0.000000	
 1 	 22																				2.174912																	-0.252253	-1.922659																																																																																																																																	0.000000	
 1 	 23																				2.075652																	-0.262898	-1.812754																																																																																																																																	0.000000	
 1 	 24																				2.037419																	-0.251015	-1.786404																																																																																																																																	0.000000	
 2 	 1																				2.122010																	-0.339885	-1.782125																																																																																																																																	0.000000	
 2 	 2																				2.071806																	-0.285177	-1.786629																																																																																																																																	0.000000	
 2 	 3																				2.046731																	-0.266858	-1.779873																																																																																																																																	0.000000	
 2 	 4																				2.030183																	-0.260670	-1.769513																																																																																																																																	0.000000	
 2 	 5																				2.026979																	-0.267601	-1.759378																																																																																																																																	0.000000	
 2 	 6																				2.144059																	-0.369591	-1.774468																																																																																																																																	0.000000	
 2 	 7																				2.512013																	-0.671107	-1.840906																																																																																																																																	0.000000	
 2 	 8																				3.145194																	-1.221409	-1.923785																																																																																																																																	0.000000	
 2 	 9																				3.265461																	-1.308794	-1.956667																																																																																																																																	0.000000	
 2 	 10																				3.100071																	-1.148134	-1.951937																																																																																																																																	0.000000	
 2 	 11																				2.908358																	-0.982771	-1.925587																																																																																																																																	0.000000	
 2 	 12																				2.959553																	-1.038470	-1.921083																																																																																																																																	0.000000	
 2 	 13																				2.666867																	-0.794881	-1.871986																																																																																																																																	0.000000	
 2 	 14																				2.435764																	-0.599812	-1.835951																																																																																																																																	0.000000	
 2 	 15																				2.602882																	-0.767156	-1.835726																																																																																																																																	0.000000	
 2 	 16																				2.761597																	-0.908754	-1.852843																																																																																																																																	0.000000	
 2 	 17																				2.797977																	-0.927568	-1.870409																																																																																																																																	0.000000	
 2 	 18																				2.909741																	-0.910734	-1.999007																																																																																																																																	0.000000	
 2 	 19																				3.134126																	-1.116201	-2.017925																																																																																																																																	0.000000	
 2 	 20																				3.107312																	-1.103575	-2.003736																																																																																																																																	0.000000	
 2 	 21																				2.873897																	-0.867908	-2.005989																																																																																																																																	0.000000	
 2 	 22																				2.422312																	-0.578028	-1.844284																																																																																																																																	0.000000	
 2 	 23																				2.146711																	-0.346569	-1.800142																																																																																																																																	0.000000	
 2 	 24																				2.081991																	-0.308199	-1.773792																																																																																																																																	0.000000	
 3 	 1																				2.831966																	-0.235915	-2.596051																																																																																																																																	0.000000	
 3 	 2																				2.795813																	-0.214625	-2.581187																																																																																																																																	0.000000	
 3 	 3																				2.736814																	-0.144816	-2.591998																																																																																																																																	0.000000	
