Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																		9.654221																	-9.654221																																																																																																																																				0.000000	
 1 	 2																		9.522548																	-9.522548																																																																																																																																				0.000000	
 1 	 3																		8.242693																	-8.242693																																																																																																																																				0.000000	
 1 	 4																		8.627176																	-8.627176																																																																																																																																				0.000000	
 1 	 5																		9.159132																	-9.159132																																																																																																																																				0.000000	
 1 	 6																		7.004972																	-7.004972																																																																																																																																				0.000000	
 1 	 7																		4.160848																	-4.160848																																																																																																																																				0.000000	
 1 	 8																		5.661913																	-5.661913																																																																																																																																				0.000000	
 1 	 9																		6.399279																	-6.399279																																																																																																																																				0.000000	
 1 	 10																		6.520418																	-6.520418																																																																																																																																				0.000000	
 1 	 11																		7.463192																	-7.463192																																																																																																																																				0.000000	
 1 	 12																		9.116997																	-9.116997																																																																																																																																				0.000000	
 1 	 13																		10.170376																	-10.170376																																																																																																																																				0.000000	
 1 	 14																		11.044681																	-11.044681																																																																																																																																				0.000000	
 1 	 15																		13.409518																	-13.409518																																																																																																																																				0.000000	
 1 	 16																		15.895493																	-15.895493																																																																																																																																				0.000000	
 1 	 17																		15.900760																	-15.900760																																																																																																																																				0.000000	
 1 	 18																		15.842824																	-15.842824																																																																																																																																				0.000000	
 1 	 19																		15.958695																	-15.958695																																																																																																																																				0.000000	
 1 	 20																		16.380047																	-16.380047																																																																																																																																				0.000000	
 1 	 21																		15.231863																	-15.231863																																																																																																																																				0.000000	
 1 	 22																		13.894072																	-13.894072																																																																																																																																				0.000000	
 1 	 23																		14.694640																	-14.694640																																																																																																																																				0.000000	
 1 	 24																		13.172507																	-13.172507																																																																																																																																				0.000000	
 2 	 1																		18.818620																	-18.818620																																																																																																																																				0.000000	
 2 	 2																		20.256482																	-20.256482																																																																																																																																				0.000000	
 2 	 3																		20.319685																	-20.319685																																																																																																																																				0.000000	
 2 	 4																		19.340043																	-19.340043																																																																																																																																				0.000000	
 2 	 5																		18.771218																	-18.771218																																																																																																																																				0.000000	
 2 	 6																		17.312288																	-17.312288																																																																																																																																				0.000000	
 2 	 7																		16.843534																	-16.843534																																																																																																																																				0.000000	
 2 	 8																		15.100191																	-15.100191																																																																																																																																				0.000000	
 2 	 9																		11.487101																	-11.487101																																																																																																																																				0.000000	
 2 	 10																		12.235000																	-12.235000																																																																																																																																				0.000000	
 2 	 11																		16.869868																	-16.869868																																																																																																																																				0.000000	
 2 	 12																		19.571786																	-19.571786																																																																																																																																				0.000000	
 2 	 13																		18.939758																	-18.939758																																																																																																																																				0.000000	
 2 	 14																		16.538054																	-16.538054																																																																																																																																				0.000000	
 2 	 15																		15.911293																	-15.911293																																																																																																																																				0.000000	
 2 	 16																		16.985740																	-16.985740																																																																																																																																				0.000000	
 2 	 17																		15.985030																	-15.985030																																																																																																																																				0.000000	
 2 	 18																		14.173218																	-14.173218																																																																																																																																				0.000000	
 2 	 19																		13.204109																	-13.204109																																																																																																																																				0.000000	
 2 	 20																		11.118418																	-11.118418																																																																																																																																				0.000000	
 2 	 21																		8.079419																	-8.079419																																																																																																																																				0.000000	
 2 	 22																		6.409813																	-6.409813																																																																																																																																				0.000000	
 2 	 23																		5.593444																	-5.593444																																																																																																																																				0.000000	
 2 	 24																		5.393301																	-5.393301																																																																																																																																				0.000000	
 3 	 1																		12.245533																	-12.245533																																																																																																																																				0.000000	
 3 	 2																		12.340338																	-12.340338																																																																																																																																				0.000000	
 3 	 3																		13.530656																	-13.530656																																																																																																																																				0.000000	
 3 	 4																		14.009944																	-14.009944																																																																																																																																				0.000000	
 3 	 5																		12.840693																	-12.840693																																																																																																																																				0.000000	
 3 	 6																		12.134929																	-12.134929																																																																																																																																				0.000000	
 3 	 7																		10.065038																	-10.065038																																																																																																																																				0.000000	
 3 	 8																		7.405256																	-7.405256																																																																																																																																				0.000000	
 3 	 9																		7.083975																	-7.083975																																																																																																																																				0.000000	
 3 	 10																		7.463192																	-7.463192																																																																																																																																				0.000000	
 3 	 11																		8.479703																	-8.479703																																																																																																																																				0.000000	
 3 	 12																		12.177064																	-12.177064																																																																																																																																				0.000000	
