Name	Used	Potential
ELECTRICITY	0.000000	100000000.000000
GASOLINE	0.000000	100000000.000000
DIESEL	0.000000	100000000.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	100000000.000000
NG	0.000000	100000000.000000
SLF	0.000000	0.000000
SNG	0.000000	0.000000
WOOD	98471.210000	98471.210000
WET_BIOMASS	6070.860000	6070.860000
COAL	0.000000	100000000.000000
URANIUM	0.000000	100000000.000000
WASTE	9524.970000	9524.970000
H2	0.000000	0.000000
ELEC_EXPORT	2590.415305	100000000.000000
CO2_EMISSIONS	26862.816602	100000000.000000
RES_WIND	92973.502188	100000000.000000
RES_SOLAR	28242.561819	100000000.000000
RES_HYDRO	20828.788028	100000000.000000
RES_GEO	3745.303627	100000000.000000
CO2_ATM	0.000000	100000000.000000
CO2_INDUSTRY	0.000000	100000000.000000
CO2_CAPTURED	0.000000	100000000.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
