Time	DAM_STORAGE	PHS	BATT_LI	CAES	BEV_BATT	PHEV_BATT	TS_DEC_HP_ELEC	TS_DEC_DIRECT_ELEC	TS_DHN_DAILY	TS_DHN_SEASONAL	TS_DEC_THHP_GAS	TS_DEC_COGEN_GAS	TS_DEC_COGEN_OIL	TS_DEC_ADVCOGEN_GAS	TS_DEC_ADVCOGEN_H2	TS_DEC_BOILER_GAS	TS_DEC_BOILER_WOOD	TS_DEC_BOILER_OIL	SEASONAL_NG	SEASONAL_H2	CO2_STORAGE	SLF_STO	PT_STORAGE	ST_STORAGE	TS_MOLTEN_SALT	TS_COLD	DAM_STORAGE_in	DAM_STORAGE_out	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	CAES_in	CAES_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_DEC_HP_ELEC_in	TS_DEC_HP_ELEC_out	TS_DEC_DIRECT_ELEC_in	TS_DEC_DIRECT_ELEC_out	TS_DHN_DAILY_in	TS_DHN_DAILY_out	TS_DHN_SEASONAL_in	TS_DHN_SEASONAL_out	TS_DEC_THHP_GAS_in	TS_DEC_THHP_GAS_out	TS_DEC_COGEN_GAS_in	TS_DEC_COGEN_GAS_out	TS_DEC_COGEN_OIL_in	TS_DEC_COGEN_OIL_out	TS_DEC_ADVCOGEN_GAS_in	TS_DEC_ADVCOGEN_GAS_out	TS_DEC_ADVCOGEN_H2_in	TS_DEC_ADVCOGEN_H2_out	TS_DEC_BOILER_GAS_in	TS_DEC_BOILER_GAS_out	TS_DEC_BOILER_WOOD_in	TS_DEC_BOILER_WOOD_out	TS_DEC_BOILER_OIL_in	TS_DEC_BOILER_OIL_out	SEASONAL_NG_in	SEASONAL_NG_out	SEASONAL_H2_in	SEASONAL_H2_out	CO2_STORAGE_in	CO2_STORAGE_out	SLF_STO_in	SLF_STO_out	PT_STORAGE_in	PT_STORAGE_out	ST_STORAGE_in	ST_STORAGE_out	TS_MOLTEN_SALT_in	TS_MOLTEN_SALT_out	TS_COLD_in	TS_COLD_out	
 1		3.403163			0.000000		12.290646			2752.284842										25.197862		33.639839				33.900281			0.000000	0.000000					0.000000	0.000000			-4.582041	0.000000					-0.188592	0.000000																			-1.717531	0.000000			-0.227720	0.000000							0.000000	0.000000	
 2		3.403163			0.000000		16.472760			2752.131247										27.376882		33.873808				33.620943			0.000000	0.000000					0.000000	0.000000			-4.283389	0.000000					-0.013193	0.000000																			-2.179020	0.000000			-0.233970	0.000000							0.000000	0.000000	
 3		3.403163			0.000000		20.155469			2751.704598										29.631952		34.109861				33.343906			0.000000	0.000000					0.000000	0.000000			-3.818444	0.000000					0.000000	0.259870																			-2.255070	0.000000			-0.236053	0.000000							0.000000	0.000000	
 4		3.403163			0.000000		23.266572			2750.960093										30.865286		34.322999				33.069153			0.000000	0.000000					0.000000	0.000000			-3.277185	0.000000					0.000000	0.577752																			-1.233334	0.000000			-0.213138	0.000000							0.000000	0.000000	
 5		3.403163			0.000000		25.712049			2749.839765										30.871075		34.494473				32.796663			0.000000	0.000000					0.000000	0.000000			-2.637194	0.000000					0.000000	0.953620																			-0.005789	0.000000			-0.171474	0.000000							0.000000	0.000000	
 6		3.403163			0.000000		18.412261			2748.501135										30.871075		34.565955				32.526418			0.000000	0.000000					0.000000	0.000000			0.000000	7.087921					0.000000	1.171989																			0.000000	0.000000			-0.071482	0.000000							0.000000	0.000000	
 7		2.641549			0.000000		8.394313			2746.840962										29.090172		34.481198				32.258401			0.000000	0.761614					0.000000	0.000000			0.000000	9.866231					0.000000	1.493614																			0.000000	1.780903			0.000000	0.084756							0.000000	0.000000	
 8		0.000000			0.000000		0.000000			2744.860663										27.726504		34.438106				31.992591			0.000000	2.641549					0.000000	0.000000			0.000000	8.325144					0.000000	1.813841																			0.000000	1.363668			0.000000	0.043092							0.000000	0.000000	
 9		0.000000			0.000000		1.370734			2743.282773										27.726504		34.415845				31.728972			0.000000	0.000000					0.000000	0.000000			-1.370734	0.000000					0.000000	1.411551																			0.000000	0.000000			0.000000	0.022261							0.000000	0.000000	
 10		1.981046			0.000000		4.954623			2742.725540										28.016078		34.124199				31.467526			-1.981046	0.000000					0.000000	0.000000			-3.595184	0.000000					0.000000	0.390991																			-0.289574	0.000000			0.000000	0.291646							0.000000	0.000000	
 11		3.962092			0.000000		9.990573			2743.038481										28.016078		33.790891				31.208233			-1.981046	0.000000					0.000000	0.000000			-5.076775	0.000000					-0.479150	0.000000																			0.000000	0.000000			0.000000	0.333308							0.000000	0.000000	
 12		5.943137			0.000000		16.574178			2744.284715										28.016078		33.424251				30.951078			-1.981046	0.000000					0.000000	0.000000			-6.665928	0.000000					-1.412462	0.000000																			0.000000	0.000000			0.000000	0.366640							0.000000	0.000000	
 13		7.924183			0.000000		24.299218			2746.233100										28.016078		33.090943				30.696041			-1.981046	0.000000					0.000000	0.000000			-7.861611	0.000000					-2.114689	0.000000																			0.000000	0.000000			0.000000	0.333308							0.000000	0.000000	
 14		9.905229			0.000000		32.280983			2748.369527										28.016078		32.753468				37.130503			-1.981046	0.000000					0.000000	0.000000			-8.181991	0.000000					-2.302848	0.000000																			0.000000	0.000000			0.000000	0.337475							-6.687398	0.000000	
 15		11.886275			0.000000		39.051121			2749.832860										28.016078		32.374329				36.824548			-1.981046	0.000000					0.000000	0.000000			-7.036133	0.000000					-1.629884	0.000000																			0.000000	0.000000			0.000000	0.379139							0.000000	0.000000	
 16		9.244725			0.000000		25.271985			2749.408695										25.430054		32.216660				36.521113			0.000000	2.641549					0.000000	0.000000			0.000000	13.457355					0.000000	0.257525																			0.000000	2.586024			0.000000	0.157669							0.000000	0.000000	
 17		6.603176			0.000000		11.606389			2748.421431										24.797817		32.058992				36.220179			0.000000	2.641549					0.000000	0.000000			0.000000	13.457355					0.000000	0.820650																			0.000000	0.632237			0.000000	0.157669							0.000000	0.000000	
 18		6.603176			0.000000		0.000000			2747.378586										24.232627		32.005482				35.921725			0.000000	0.000000					0.000000	0.000000			0.000000	11.510752					0.000000	0.876291																			0.000000	0.565190			0.000000	0.053510							0.000000	0.000000	
 19		4.575417			0.000000		0.339650			2746.093852										22.623259		32.035300				35.625730			0.000000	2.027758					0.000000	0.000000			-0.339650	0.000000					0.000000	1.118242																			0.000000	1.609368			-0.029818	0.000000							0.000000	0.000000	
 20		3.677127			0.000000		2.386184			2744.628567										21.058641		32.117198				35.332174			0.000000	0.898291					0.000000	0.000000			-2.049333	0.000000					0.000000	1.298872																			0.000000	1.564617			-0.081898	0.000000							0.000000	0.000000	
 21		3.403163			0.000000		4.144457			2743.003979										21.058641		32.251175				35.041037			0.000000	0.273964					0.000000	0.000000			-1.777935	0.000000					0.000000	1.458264																			0.000000	0.000000			-0.133977	0.000000							0.000000	0.000000	
 22		3.403163			0.000000		5.758186			2741.303108										22.145535		32.422649				34.752299			0.000000	0.000000					0.000000	0.000000			-1.647880	0.000000					0.000000	1.534646																			-1.086893	0.000000			-0.171474	0.000000							0.000000	0.000000	
 23		3.403163			0.000000		6.858280			2739.308490										23.956502		32.619121				34.465940			0.000000	0.000000					0.000000	0.000000			-1.147541	0.000000					0.000000	1.828495																			-1.810968	0.000000			-0.196472	0.000000							0.000000	0.000000	
 24		3.403163			0.000000		7.772651			2737.210241										26.313980		32.840592				34.181941			0.000000	0.000000					0.000000	0.000000			-0.970883	0.000000					0.000000	1.932246																			-2.357478	0.000000			-0.221471	0.000000							0.000000	0.000000	
 25		3.403163			0.000000		5.629627			2733.320931										28.160464		33.068312				33.900281			0.000000	0.000000					0.000000	0.000000			0.000000	2.078977					0.000000	3.723435																			-1.846484	0.000000			-0.227720	0.000000							0.000000	0.000000	
 26		3.403163			0.000000		3.829478			2729.622858										30.014032		33.302282				33.620943			0.000000	0.000000					0.000000	0.000000			0.000000	1.753761					0.000000	3.532435																			-1.853568	0.000000			-0.233970	0.000000							0.000000	0.000000	
 27		3.403163			0.000000		2.489836			2726.186753										31.276856		33.538335				33.343906			0.000000	0.000000					0.000000	0.000000			0.000000	1.308086					0.000000	3.270689																			-1.262824	0.000000			-0.236053	0.000000							0.000000	0.000000	
 28		3.403163			0.000000		1.517006			2722.959803										32.337281		33.751472				33.069153			0.000000	0.000000					0.000000	0.000000			0.000000	0.952314					0.000000	3.061743																			-1.060425	0.000000			-0.213138	0.000000							0.000000	0.000000	
