Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																																																															20.230831									0.000000																																																							0.000000	2.078977																																							-22.309809	
 1 	 2																																																															20.230831									0.000000																																																							0.000000	1.753761																																							-21.984593	
 1 	 3																																																															20.230831									0.000000																																																							0.000000	1.308086																																							-21.538917	
 1 	 4																																																															20.230831									0.000000																																																							0.000000	0.952314																																							-21.183145	
 1 	 5																																																															20.230831									0.000000																																																							0.000000	0.749937																																							-20.980768	
 1 	 6																																																															20.230831									0.000000																																																							0.000000	0.550016																																							-20.780848	
 1 	 7																																																															20.230831									0.000000																																																							0.000000	0.196701																																							-20.427532	
 1 	 8																																																															20.230831									0.000000																																																							-0.156615	0.000000																																							-20.074217	
 1 	 9																																																															20.230831									0.000000																																																							-0.593461	0.000000																																							-19.637371	
 1 	 10																																																															20.230831									0.000000																																																							-1.189306	0.000000																																							-19.041525	
 1 	 11																																																															20.230831									0.000000																																																							-1.648647	0.000000																																							-18.582184	
 1 	 12																																																															20.230831									0.000000																																																							-2.108756	0.000000																																							-18.122075	
 1 	 13																																																															20.230831									0.000000																																																							-2.590592	0.000000																																							-17.640239	
 1 	 14																																																															20.230831									0.000000																																																							-3.197646	0.000000																																							-17.033185	
 1 	 15																																																															20.230831									0.000000																																																							-3.235419	0.000000																																							-16.995412	
 1 	 16																																																															20.230831									0.000000																																																							-2.564105	0.000000																																							-17.666727	
 1 	 17																																																															20.230831									0.000000																																																							-1.236676	0.000000																																							-18.994155	
 1 	 18																																																															20.230831									0.000000																																																							-0.098036	0.000000																																							-20.132795	
 1 	 19																																																															20.230831									0.000000																																																							0.000000	0.484989																																							-20.715820	
 1 	 20																																																															20.230831									0.000000																																																							0.000000	0.998071																																							-21.228903	
 1 	 21																																																															20.230831									0.000000																																																							0.000000	1.826774																																							-22.057605	
 1 	 22																																																															20.230831									0.000000																																																							0.000000	2.022702																																							-22.253533	
 1 	 23																																																															20.230831									0.000000																																																							0.000000	2.074141																																							-22.304972	
 1 	 24																																																															20.230831									0.000000																																																							0.000000	2.050878																																							-22.281709	
 2 	 1																																																															1.220657									0.000000																																																							0.000000	7.708604																																							-8.929261	
 2 	 2																																																															9.770101									0.000000																																																							0.000000	0.000000																																							-9.770101	
 2 	 3																																																															10.397808									0.000000																																																							0.000000	0.000000																																							-10.397808	
 2 	 4																																																															10.920565									0.000000																																																							0.000000	0.000000																																							-10.920565	
 2 	 5																																																															9.666348									0.000000																																																							0.000000	0.000000																																							-9.666348	
 2 	 6																																																															7.288294									0.000000																																																							0.000000	0.000000																																							-7.288294	
 2 	 7																																																															4.132354									0.000000																																																							0.000000	0.000000																																							-4.132354	
 2 	 8																																																															2.162071									0.000000																																																							0.000000	0.000000																																							-2.162071	
 2 	 9																																																															9.821495									0.000000																																																							-7.659424	0.000000																																							-2.162071	
 2 	 10																																																															2.162071									-0.000000																																																							0.000000	0.000000																																							-2.162071	
 2 	 11																																																															2.162071									0.000000																																																							0.000000	0.000000																																							-2.162071	
 2 	 12																																																															2.162071									0.000000																																																							0.000000	0.000000																																							-2.162071	
 2 	 13																																																															15.619426									-0.000000																																																							-13.457355	0.000000																																							-2.162071	
 2 	 14																																																															2.162071									0.000000																																																							0.000000	0.000000																																							-2.162071	
 2 	 15																																																															2.162071									0.000000																																																							0.000000	0.000000																																							-2.162071	
 2 	 16																																																															2.162071									0.000000																																																							0.000000	0.000000																																							-2.162071	
 2 	 17																																																															7.352136									0.000000																																																							-5.190065	0.000000																																							-2.162071	
 2 	 18																																																															0.000000									0.000000																																																							0.000000	2.162071																																							-2.162071	
 2 	 19																																																															0.000000									0.000000																																																							0.000000	2.162071																																							-2.162071	
 2 	 20																																																															0.000000									0.000000																																																							0.000000	2.162071																																							-2.162071	
 2 	 21																																																															0.000000									0.000000																																																							0.000000	2.162071																																							-2.162071	
 2 	 22																																																															0.000000									0.000000																																																							0.000000	2.162071																																							-2.162071	
 2 	 23																																																															0.000000									0.000000																																																							0.000000	2.415720																																							-2.415720	
 2 	 24																																																															0.000000									0.000000																																																							0.000000	3.322431																																							-3.322431	
