Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																		6.899959																	-6.679906	-0.220053																																																																																																																																			0.000000	
 1 	 2																		6.471595																	-6.245901	-0.225694																																																																																																																																			0.000000	
 1 	 3																		4.427573																	-4.207963	-0.219609																																																																																																																																			0.000000	
 1 	 4																		3.653214																	-3.434302	-0.218912																																																																																																																																			0.000000	
 1 	 5																		3.877514																	-3.641870	-0.235644																																																																																																																																			0.000000	
 1 	 6																		4.519168																	-4.264573	-0.254595																																																																																																																																			0.000000	
 1 	 7																		5.178803																	-4.906146	-0.272658																																																																																																																																			0.000000	
 1 	 8																		5.207739																	-4.868406	-0.339333																																																																																																																																			0.000000	
 1 	 9																		5.053848																	-4.736318	-0.317530																																																																																																																																			0.000000	
 1 	 10																		4.881848																	-4.585359	-0.296489																																																																																																																																			0.000000	
 1 	 11																		5.041789																	-4.755187	-0.286601																																																																																																																																			0.000000	
 1 	 12																		5.284422																	-4.943885	-0.340537																																																																																																																																			0.000000	
 1 	 13																		4.753406																	-4.415531	-0.337875																																																																																																																																			0.000000	
 1 	 14																		4.913030																	-4.585359	-0.327671																																																																																																																																			0.000000	
 1 	 15																		5.058809																	-4.717448	-0.341361																																																																																																																																			0.000000	
 1 	 16																		5.801530																	-5.434500	-0.367030																																																																																																																																			0.000000	
 1 	 17																		6.915199																	-6.510078	-0.405121																																																																																																																																			0.000000	
 1 	 18																		7.071815																	-6.642166	-0.429648																																																																																																																																			0.000000	
 1 	 19																		7.945656																	-7.510177	-0.435479																																																																																																																																			0.000000	
 1 	 20																		8.663134																	-8.246098	-0.417036																																																																																																																																			0.000000	
 1 	 21																		7.748529																	-7.321479	-0.427050																																																																																																																																			0.000000	
 1 	 22																		8.288700																	-7.887572	-0.401128																																																																																																																																			0.000000	
 1 	 23																		7.451441																	-7.076171	-0.375269																																																																																																																																			0.000000	
 1 	 24																		6.766153																	-6.415729	-0.350424																																																																																																																																			0.000000	
 2 	 1																		6.820498																	-6.453469	-0.367030																																																																																																																																			0.000000	
 2 	 2																		7.429621																	-7.095041	-0.334579																																																																																																																																			0.000000	
 2 	 3																		7.438776																	-7.132781	-0.305995																																																																																																																																			0.000000	
 2 	 4																		6.883676																	-6.604427	-0.279249																																																																																																																																			0.000000	
 2 	 5																		7.271241																	-7.019562	-0.251679																																																																																																																																			0.000000	
 2 	 6																		7.022177																	-6.793125	-0.229053																																																																																																																																			0.000000	
 2 	 7																		4.736318																	-4.736318	0.000000																																																																																																																																			0.000000	
 2 	 8																		0.191406																	0.000000	-0.191406																																																																																																																																			0.000000	
 2 	 9																		0.200786																	0.000000	-0.200786																																																																																																																																			0.000000	
 2 	 10																		0.228863																	0.000000	-0.228863																																																																																																																																			0.000000	
 2 	 11																		0.230637																	0.000000	-0.230637																																																																																																																																			0.000000	
 2 	 12																		0.220243																	0.000000	-0.220243																																																																																																																																			0.000000	
 2 	 13																		0.216504																	0.000000	-0.216504																																																																																																																																			0.000000	
 2 	 14																		0.226835																	0.000000	-0.226835																																																																																																																																			0.000000	
 2 	 15																		0.239194																	0.000000	-0.239194																																																																																																																																			0.000000	
 2 	 16																		0.250602																	0.000000	-0.250602																																																																																																																																			0.000000	
 2 	 17																		0.000000																	0.000000	0.000000																																																																																																																																			0.000000	
 2 	 18																		4.128070																	-3.830567	-0.297503																																																																																																																																			0.000000	
 2 	 19																		4.327306																	-4.000396	-0.326911																																																																																																																																			0.000000	
 2 	 20																		4.502666																	-4.151354	-0.351312																																																																																																																																			0.000000	
 2 	 21																		5.153238																	-4.792927	-0.360311																																																																																																																																			0.000000	
 2 	 22																		6.192961																	-5.849635	-0.343326																																																																																																																																			0.000000	
 2 	 23																		6.654548																	-6.340250	-0.314298																																																																																																																																			0.000000	
 2 	 24																		6.775274																	-6.491208	-0.284066																																																																																																																																			0.000000	
 3 	 1																		4.675818																	-4.358922	-0.316897																																																																																																																																			0.000000	
 3 	 2																		4.665044																	-4.358922	-0.306122																																																																																																																																			0.000000	
 3 	 3																		4.919380																	-4.641969	-0.277411																																																																																																																																			0.000000	
