source,target,realValue,layerID,layerColor,layerUnit
Diesel,Mob public,1.77,Diesel,#D3D3D3,TWh
NG imports,Gas,101.59,Gas,#FFD700,TWh
Gas,Freight,29.64,NG,#FFD700,TWh
Gas,H2 prod,5.93,NG,#FFD700,TWh
H2 prod,H2,4.35,H2,#FF00FF,TWh
Electricity,Elec,5.46,Electricity,#00BFFF,TWh
Nuclear,Elec,119.13,Nuclear,#FFC0CB,TWh
Wind,Elec,38.08,Wind,#27AE34,TWh
Hydro River,Elec,0.12,Hydro River,#0000FF,TWh
Solar,Elec,49.63,Solar,#FFFF00,TWh
Geothermal,Elec,1.42,Geothermal,#FF0000,TWh
Waste,Boilers,17.83,Waste,#808000,TWh
Wood,Biofuels,2.66,Wood,#CD853F,TWh
Wood,Boilers,20.77,Wood,#CD853F,TWh
Wet biomass,Biomethanation,38.88,Wood,#CD853F,TWh
Biomethanation,Gas,36.31,NG,#FFD700,TWh
Elec,Mob public,10.15,Electricity,#00BFFF,TWh
Elec,Freight,1.67,Electricity,#00BFFF,TWh
Elec,Exp & Loss,31.91,Electricity,#00BFFF,TWh
Elec,Curt.,0.25,Electricity,#00BFFF,TWh
Elec,Elec demand,81.17,Electricity,#00BFFF,TWh
Elec,Storage,2.73,Electricity,#00BFFF,TWh
Storage,Elec demand,2.37,Electricity,#00BFFF,TWh
Elec,HPs,47.58,Electricity,#00BFFF,TWh
Elec,Electrolysis,15.87,Electricity,#00BFFF,TWh
Electrolysis,H2 sto.,3.69,H2,#FF00FF,TWh
H2 sto.,H2,3.19,H2,#FF00FF,TWh
Electrolysis,H2,10.30,H2,#FF00FF,TWh
Elec,Heat HT,19.21,Electricity,#00BFFF,TWh
H2,Mob priv,17.40,H2,#FF00FF,TWh
HPs,Heat LT Dec,79.26,Heat LT,#FA8072,TWh
HPs,DHN,61.50,Heat LT,#FA8072,TWh
HPs,Dec. Sto,17.37,Heat LT,#FA8072,TWh
Biofuels,Elec,0.04,Electricity,#00BFFF,TWh
Biofuels,Boilers,0.00,Oil,#8B008B,TWh
Boilers,Heat HT,32.58,Heat HT,#DC143C,TWh
Dec. Sto,Heat LT Dec,16.46,Heat LT,#FA8072,TWh
DHN,Heat LT DHN,42.68,Heat LT,#FA8072,TWh
DHN,Loss DHN,4.30,Heat LT,#FA8072,TWh
DHN,DHN Sto,14.51,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,13.53,Heat LT,#FA8072,TWh
Gas,Non-Energy,102.33,NG,#FFD700,TWh
