Time	DAM_STORAGE	PHS	BATT_LI	CAES	BEV_BATT	PHEV_BATT	TS_DEC_HP_ELEC	TS_DEC_DIRECT_ELEC	TS_DHN_DAILY	TS_DHN_SEASONAL	TS_DEC_THHP_GAS	TS_DEC_COGEN_GAS	TS_DEC_COGEN_OIL	TS_DEC_ADVCOGEN_GAS	TS_DEC_ADVCOGEN_H2	TS_DEC_BOILER_GAS	TS_DEC_BOILER_WOOD	TS_DEC_BOILER_OIL	SEASONAL_NG	SEASONAL_H2	CO2_STORAGE	SLF_STO	PT_STORAGE	ST_STORAGE	TS_MOLTEN_SALT	TS_COLD	DAM_STORAGE_in	DAM_STORAGE_out	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	CAES_in	CAES_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_DEC_HP_ELEC_in	TS_DEC_HP_ELEC_out	TS_DEC_DIRECT_ELEC_in	TS_DEC_DIRECT_ELEC_out	TS_DHN_DAILY_in	TS_DHN_DAILY_out	TS_DHN_SEASONAL_in	TS_DHN_SEASONAL_out	TS_DEC_THHP_GAS_in	TS_DEC_THHP_GAS_out	TS_DEC_COGEN_GAS_in	TS_DEC_COGEN_GAS_out	TS_DEC_COGEN_OIL_in	TS_DEC_COGEN_OIL_out	TS_DEC_ADVCOGEN_GAS_in	TS_DEC_ADVCOGEN_GAS_out	TS_DEC_ADVCOGEN_H2_in	TS_DEC_ADVCOGEN_H2_out	TS_DEC_BOILER_GAS_in	TS_DEC_BOILER_GAS_out	TS_DEC_BOILER_WOOD_in	TS_DEC_BOILER_WOOD_out	TS_DEC_BOILER_OIL_in	TS_DEC_BOILER_OIL_out	SEASONAL_NG_in	SEASONAL_NG_out	SEASONAL_H2_in	SEASONAL_H2_out	CO2_STORAGE_in	CO2_STORAGE_out	SLF_STO_in	SLF_STO_out	PT_STORAGE_in	PT_STORAGE_out	ST_STORAGE_in	ST_STORAGE_out	TS_MOLTEN_SALT_in	TS_MOLTEN_SALT_out	TS_COLD_in	TS_COLD_out	
 1	357.005720	1.375096					2.030161			467.642879							0.465020		31.244293	36.673015		102.089614		0.004739		3.678285	-0.250201	0.000000	0.000000	0.000000									0.000000	0.210592					0.000000	1.429325													0.000000	0.048237			-0.019956	0.000000	-1.392131	0.000000			-0.689929	0.000000			0.000000	0.000000			0.000000	0.000000	
 2	357.186482	3.291272					1.780114			466.168810							0.407745		31.264249	38.087423		102.792274		0.004737		3.647976	-0.180762	0.000000	-1.916176	0.000000									0.000000	0.233318					0.000000	1.445730													0.000000	0.053443			-0.019956	0.000000	-1.414408	0.000000			-0.702660	0.000000			0.000000	0.000000			0.000000	0.000000	
 3	357.362835	3.291272					1.494150			464.667417							0.342243		31.284205	36.399517		103.499179		0.004735		3.617916	-0.176353	0.000000	0.000000	0.000000									0.000000	0.271297					0.000000	1.473143													0.000000	0.062142			-0.019956	0.000000	-12.553451	14.241357			-0.706904	0.000000			0.000000	0.000000			0.000000	0.000000	
 4	357.535882	3.291272					1.174704			463.140246							0.269073		31.304161	37.739669		104.159400		0.004734		3.588105	-0.173047	0.000000	0.000000	0.000000									0.000000	0.307133					0.000000	1.499011													0.000000	0.070351			-0.019956	0.000000	-1.340152	0.000000			-0.660221	0.000000			0.000000	0.000000			0.000000	0.000000	
 5	357.717746	3.291272					0.804399			461.574556							0.184252		31.324117	38.931308		104.734742		0.004732		3.558539	-0.181864	0.000000	0.000000	0.000000									0.000000	0.360626					0.000000	1.537624													0.000000	0.082603			-0.019956	0.000000	-1.191639	0.000000			-0.575342	0.000000			0.000000	0.000000			0.000000	0.000000	
 6	358.084781	3.291272					0.361596			459.954428							0.082826		31.344073	38.016651		105.106376		0.004730		3.529216	-0.367035	0.000000	0.000000	0.000000									0.000000	0.436175					0.000000	1.592157													0.000000	0.099908			-0.019956	0.000000	-13.914725	14.829382			-0.371634	0.000000			0.000000	0.000000			0.000000	0.000000	
 7	359.007329	3.291272					0.000000			458.390382							0.000000		31.364029	36.711697		105.159715		0.004729		3.500136	-0.922548	0.000000	0.000000	0.000000									0.000000	0.358616					0.000000	1.536173													0.000000	0.082143			-0.019956	0.000000	0.000000	1.304954			-0.053340	0.000000			0.000000	0.000000			0.000000	0.000000	
 8	360.247312	3.291272					0.061810			457.129905							0.014158		31.383985	37.138500		105.297934		0.011823		3.471294	-1.239983	0.000000	0.000000	0.000000									-0.061810	0.000000					0.000000	1.232698													-0.014158	0.000000			-0.019956	0.000000	-0.426803	0.000000			-0.138219	0.000000			-0.007096	0.000000			0.000000	0.000000	
 9	361.513748	3.291272					0.561982			456.186293							0.128725		31.403941	37.639557		105.478591		0.011832		3.442691	-1.266436	0.000000	0.000000	0.000000									-0.500681	0.000000					0.000000	0.915910													-0.114684	0.000000			-0.019956	0.000000	-0.501057	0.000000			-0.180657	0.000000			-0.000013	0.000000			0.000000	0.000000	
 10	362.496917	3.291272					1.281894			455.404328							0.293625		31.423898	36.249557		105.595587		0.011841		3.414323	-0.983169	0.000000	0.000000	0.000000									-0.724543	0.000000					0.000000	0.754320													-0.165961	0.000000			-0.019956	0.000000	-13.691955	15.081956			-0.116996	0.000000			-0.000013	0.000000			0.000000	0.000000	
