Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1	0.000000															0.000000															0.000000		0.000000		9.727648		0.250201															-1.813523	-0.317462										-1.823171											0.000000	-0.020894	-0.004272					-0.014221					0.000000	0.000000		-0.054578													-1.868360				0.036915									-0.250201	0.000000	0.000000	0.000000																																																	-3.848083	
 1 	 2	0.000000															0.000000															0.000000		0.000000		12.063126		0.180762															-1.813523	-0.317462										-1.823171											0.000000	-0.020894	-0.001709					-0.005688					0.000000	0.000000		-0.054578													-1.868360				0.036915									-0.180762	0.000000	-2.212674	0.000000																																																	-3.981983	
 1 	 3	0.000000															0.000000															0.000000		0.000000		7.349047		0.176353															-1.813523	-0.317462										-1.823171											0.000000	-0.020894	-0.000854					-0.002844					0.000000	0.000000		-0.054578													0.000000				0.036915									-0.176353	0.000000	0.000000	0.000000																																																	-3.352636	
 1 	 4	0.000000															0.000000															0.000000		0.000000		9.550267		0.173047															-1.813523	-0.317462										-1.823171											0.000000	-0.020894	-0.010254					-0.034130					0.000000	0.000000		-0.054578													-1.868360				0.036915									-0.173047	0.000000	0.000000	0.000000																																																	-3.644811	
 1 	 5	0.000000															0.000000															0.000000		0.000000		9.774942		0.181864															-1.813523	-0.317462										-1.823171											0.000000	-0.020894	-0.027344					-0.091013					0.000000	0.000000		-0.054578													-1.868360				0.036915									-0.181864	0.000000	0.000000	0.000000																																																	-3.795514	
 1 	 6	0.000000															0.000000															0.000000		0.000000		10.472248		0.367035															-1.813523	-0.317462										-1.823171											0.000000	-0.020894	-0.068359					-0.227532					0.000000	0.000000		-0.054578													-1.868360				0.036915									-0.367035	0.000000	0.000000	0.000000																																																	-4.315286	
 1 	 7	0.000000															0.000000															0.000000		0.000000		9.255228		0.922548															-1.813523	-0.317462										-1.823171											0.000000	-0.020894	-0.132445					-0.440842					0.000000	0.000000		-0.054578													0.000000				0.036915									-0.922548	0.000000	0.000000	0.000000																																																	-4.689228	
 1 	 8	0.000000															0.000000															0.000000		0.000000		11.802744		1.239983															-1.813523	-0.317462										-1.823171											0.000000	-0.020894	-0.115355					-0.383959					0.000000	0.000000		-0.054578													-1.868360				0.036915									-1.239983	0.000000	0.000000	0.000000																																																	-5.442358	
 1 	 9	0.000000															0.000000															0.000000		0.000000		11.982223		1.266436															-1.813523	-0.317462										-1.823171											0.000000	-0.020894	-0.106811					-0.355518					0.000000	0.000000		-0.054578													-1.868360				0.036915									-1.266436	0.000000	0.000000	0.000000																																																	-5.658822	
 1 	 10	0.000000															0.000000															0.000000		0.000000		12.009326		0.983169															-1.813523	-0.317462										-1.823171											0.000000	-0.020894	-0.119628					-0.398182					0.000000	0.000000		-0.054578													-1.868360				0.036915									-0.983169	0.000000	0.000000	0.000000																																																	-5.630444	
 1 	 11	0.000000															0.000000															0.000000		0.000000		12.030901		0.812327															-1.813523	-0.317462										-1.823171											0.000000	-0.020894	-0.136717					-0.455062					0.000000	0.000000		-0.054578													-1.868360				0.036915									-0.812327	0.000000	0.000000	0.000000																																																	-5.578049	
 1 	 12	0.000000															0.000000															0.000000		0.000000		11.994821		0.739581															-1.813523	-0.317462										-1.823171											0.000000	-0.020894	-0.150389					-0.500570					0.000000	0.000000		-0.054578													-1.868360				0.036915									-0.739581	0.000000	0.000000	0.000000																																																	-5.482789	
 1 	 13	0.000000															0.000000															0.000000		0.000000		11.851862		0.701004															-1.813523	-0.317462										-1.823171											0.000000	-0.020894	-0.136717					-0.455062					0.000000	0.000000		-0.054578													-1.868360				0.036915									-0.701004	0.000000	0.000000	0.000000																																																	-5.399010	
 1 	 14	0.000000															0.000000															0.000000		0.000000		9.703013		0.686675															-1.813523	-0.317462										-1.823171											0.000000	-0.020894	-0.138426					-0.460752					0.000000	0.000000		-0.054578													0.000000				0.036915									-0.686675	0.000000	0.000000	0.000000																																																	-5.111122	
 1 	 15	0.000000															0.000000															0.000000		0.000000		11.950493		0.823349															-1.813523	-0.317462										-1.823171											0.000000	-0.020894	-0.155516					-0.517635					0.000000	0.000000		-0.054578													-1.868360				0.036915									-0.823349	0.000000	0.000000	0.000000																																																	-5.416270	
