Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																		9.727648																	-9.727648																																																																																																																																				0.000000	
 1 	 2																		12.063126																	-12.063126																																																																																																																																				0.000000	
 1 	 3																		7.349047																	-7.349047																																																																																																																																				0.000000	
 1 	 4																		9.550267																	-9.550267																																																																																																																																				0.000000	
 1 	 5																		9.774942																	-9.774942																																																																																																																																				0.000000	
 1 	 6																		10.472248																	-10.472248																																																																																																																																				0.000000	
 1 	 7																		9.255228																	-9.255228																																																																																																																																				0.000000	
 1 	 8																		11.802744																	-11.802744																																																																																																																																				0.000000	
 1 	 9																		11.982223																	-11.982223																																																																																																																																				0.000000	
 1 	 10																		12.009326																	-12.009326																																																																																																																																				0.000000	
 1 	 11																		12.030901																	-12.030901																																																																																																																																				0.000000	
 1 	 12																		11.994821																	-11.994821																																																																																																																																				0.000000	
 1 	 13																		11.851862																	-11.851862																																																																																																																																				0.000000	
 1 	 14																		9.703013																	-9.703013																																																																																																																																				0.000000	
 1 	 15																		11.950493																	-11.950493																																																																																																																																				0.000000	
 1 	 16																		12.061158																	-12.061158																																																																																																																																				0.000000	
 1 	 17																		12.376555																	-12.376555																																																																																																																																				0.000000	
 1 	 18																		12.403034																	-12.403034																																																																																																																																				0.000000	
 1 	 19																		12.207254																	-12.207254																																																																																																																																				0.000000	
 1 	 20																		11.866465																	-11.866465																																																																																																																																				0.000000	
 1 	 21																		11.456848																	-11.456848																																																																																																																																				0.000000	
 1 	 22																		11.222825																	-11.222825																																																																																																																																				0.000000	
 1 	 23																		10.765337																	-10.765337																																																																																																																																				0.000000	
 1 	 24																		6.593210																	-6.593210																																																																																																																																				0.000000	
 2 	 1																		2.081388																	-2.081388																																																																																																																																				0.000000	
 2 	 2																		2.630258																	-2.630258																																																																																																																																				0.000000	
 2 	 3																		4.122690																	-4.122690																																																																																																																																				0.000000	
 2 	 4																		4.301535																	-4.301535																																																																																																																																				0.000000	
 2 	 5																		2.957113																	-2.957113																																																																																																																																				0.000000	
 2 	 6																		2.050552																	-2.050552																																																																																																																																				0.000000	
 2 	 7																		0.943563																	-0.943563																																																																																																																																				0.000000	
 2 	 8																		0.468698																	-0.468698																																																																																																																																				0.000000	
 2 	 9																		0.736965																	-0.736965																																																																																																																																				0.000000	
 2 	 10																		1.335172																	-1.335172																																																																																																																																				0.000000	
 2 	 11																		1.921044																	-1.921044																																																																																																																																				0.000000	
 2 	 12																		2.241732																	-2.241732																																																																																																																																				0.000000	
 2 	 13																		2.389742																	-2.389742																																																																																																																																				0.000000	
 2 	 14																		2.479164																	-2.479164																																																																																																																																				0.000000	
 2 	 15																		2.627174																	-2.627174																																																																																																																																				0.000000	
 2 	 16																		2.775184																	-2.775184																																																																																																																																				0.000000	
 2 	 17																		2.716597																	-2.716597																																																																																																																																				0.000000	
 2 	 18																		2.790601																	-2.790601																																																																																																																																				0.000000	
 2 	 19																		2.843022																	-2.843022																																																																																																																																				0.000000	
 2 	 20																		3.055786																	-3.055786																																																																																																																																				0.000000	
 2 	 21																		3.475147																	-3.475147																																																																																																																																				0.000000	
 2 	 22																		3.527567																	-3.527567																																																																																																																																				0.000000	
 2 	 23																		2.864606																	-2.864606																																																																																																																																				0.000000	
 2 	 24																		1.896376																	-1.896376																																																																																																																																				0.000000	
 3 	 1																		6.709778																	-6.709778																																																																																																																																				0.000000	
 3 	 2																		7.576252																	-7.576252																																																																																																																																				0.000000	
 3 	 3																		8.347136																	-8.347136																																																																																																																																				0.000000	
 3 	 4																		6.762198																	-6.762198																																																																																																																																				0.000000	
 3 	 5																		4.480380																	-4.480380																																																																																																																																				0.000000	
 3 	 6																		5.205011																	-5.205011																																																																																																																																				0.000000	
 3 	 7																		5.587370																	-5.587370																																																																																																																																				0.000000	
 3 	 8																		6.231829																	-6.231829																																																																																																																																				0.000000	
 3 	 9																		7.505330																	-7.505330																																																																																																																																				0.000000	
 3 	 10																		9.019347																	-9.019347																																																																																																																																				0.000000	
 3 	 11																		10.406939																	-10.406939																																																																																																																																				0.000000	
 3 	 12																		10.918807																	-10.918807																																																																																																																																				0.000000	
