Name	Used	Potential
ELECTRICITY	0.000000	100000000.000000
GASOLINE	0.000000	100000000.000000
DIESEL	0.000000	100000000.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	100000000.000000
NG	0.000000	100000000.000000
SLF	0.000000	0.000000
SNG	0.000000	0.000000
WOOD	34645.770000	34645.770000
WET_BIOMASS	9827.350000	9827.350000
COAL	0.000000	100000000.000000
URANIUM	0.000000	100000000.000000
WASTE	8548.050000	8548.050000
H2	0.000000	0.000000
ELEC_EXPORT	205.729573	100000000.000000
CO2_EMISSIONS	10753.687813	100000000.000000
RES_WIND	50259.253295	100000000.000000
RES_SOLAR	2201.517446	100000000.000000
RES_HYDRO	5029.699764	100000000.000000
RES_GEO	0.000000	100000000.000000
CO2_ATM	0.000000	100000000.000000
CO2_INDUSTRY	0.000000	100000000.000000
CO2_CAPTURED	0.000000	100000000.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
