Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1	0.000000															0.000000												0.000000			0.000000		3.959000		10.175018		0.077669	0.067728					0.400000									-1.387175	-2.504602										-3.181986											0.000000	-0.115788	-0.022576					-0.025048					0.000000	0.000000		-0.132545													-1.172285				0.092650									-0.077669	0.000000	0.000000	0.000000					0.000000	0.000000																																											-6.152392	
 1 	 2	0.000000															0.000000												0.000000			0.000000		3.959000		10.017161		0.053397	0.070550					0.400000									-3.366982	-2.504602										-5.485354											0.000000	-0.115788	-0.009030					-0.010019					0.000000	0.000000		-0.132545													-1.114633				0.092650									-0.053397	0.000000	0.000000	4.436627					0.000000	0.000000																																											-6.237035	
 1 	 3	0.000000															0.000000												0.000000			0.000000		3.959000		10.445630		0.053397	0.070550					0.400000									0.000000	-2.504602										-5.485354											0.000000	-0.115788	-0.004515					-0.005010					0.000000	0.000000		-0.132545													-3.794060				0.092650									-0.053397	0.000000	0.000000	3.169408					0.000000	0.000000																																											-6.095365	
 1 	 4	0.000000															0.000000												0.000000			0.000000		3.959000		11.144712		0.051779	0.070550					0.400000									0.000000	-2.504602										-5.485354											0.000000	-0.115788	-0.054182					-0.060115					0.000000	0.000000		-0.132545													-1.306808				0.092650									-0.051779	0.000000	0.000000	0.014934					0.000000	0.000000																																											-6.022453	
 1 	 5	0.000000															0.000000												0.000000			0.000000		3.959000		12.227160		0.051779	0.070550					0.400000									-0.315058	-2.504602										-5.485354											0.000000	-0.115788	-0.144486					-0.160307					0.000000	0.000000		-0.132545													-1.691156				0.092650									-0.051779	0.000000	0.000000	0.000000					0.000000	0.000000																																											-6.200066	
 1 	 6	0.000000															0.000000												0.000000			0.000000		3.959000		12.533854		0.074433	0.068434					0.400000									-4.650227	-2.504602										-5.485354											0.000000	-0.115788	-0.361214					-0.400766					0.000000	0.000000		-0.132545													-2.613591				0.092650									-0.074433	0.000000	0.000000	5.945627					0.000000	0.000000																																											-6.735478	
 1 	 7	0.000000															0.000000												0.000000			0.000000		2.546089		12.416589		0.195790	0.062790					0.400000									0.000000	-2.504602										-5.485354											0.000000	-0.115788	-0.699851					-0.776484					0.000000	0.000000		-0.132545													-4.054893				0.092650									-0.195790	0.000000	0.000000	6.153701					0.000000	0.000000																																											-7.902302	
 1 	 8	0.000000															0.000000												0.000000			5.748516		3.959000		10.386998		0.833322	0.060673					0.400000									0.000000	-2.504602										-5.196997											0.000000	-0.115788	-0.609547					-0.676291					0.000000	0.000000		-0.132545													-3.670542				0.092650									-0.833322	0.000000	0.000000	1.258123					0.000000	0.000000																																											-8.999648	
 1 	 9	0.000000															0.000000												0.000000			17.245547		3.959000		12.204609		0.904518	0.059968					0.000000									-4.650227	-2.504602										-5.485354											0.000000	-0.115788	-0.564397					-0.626197					0.000000	0.000000		-0.132545													-4.189417				0.000000									-0.904518	0.000000	-4.922184	0.000000					0.000000	0.000000																																											-10.278412	
 1 	 10	0.000000															0.000000												0.000000			11.856314		3.959000		14.324405		0.857593	0.058557					0.000000									-4.650227	-2.504602										-5.485354											0.000000	-0.115788	-0.632126					-0.701342					0.000000	0.000000		-0.132545													-4.189417				0.000000									-0.857593	0.000000	-1.469779	0.000000					0.000000	0.000000																																											-10.317094	
 1 	 11	0.000000															0.000000												0.000000			15.089854		3.959000		14.748364		0.564717	0.059968					0.000000									-4.650227	-2.504602										-5.485354											0.000000	-0.115788	-0.722426					-0.801531					0.000000	0.000000		-0.132545													-4.189417				0.000000									-0.564717	0.000000	-4.682626	0.000000					0.000000	0.000000																																											-10.572669	
 1 	 12	0.000000															0.000000												0.000000			22.275498		3.959000		14.468731		0.237861	0.057851					0.000000									-4.650227	-2.504602										-5.485354											0.000000	-0.115788	-0.794671					-0.881686					0.000000	0.000000		-0.132545													-4.189417				0.000000									-0.237861	0.000000	-10.943559	0.000000					0.000000	0.000000																																											-11.063231	
 1 	 13	0.000000															0.000000												0.000000			22.967906		3.959000		13.701997		0.061488	0.000000					0.000000									-4.650227	-2.504602										-5.485354											0.000000	-0.115788	-0.722426					-0.801531					0.000000	0.000000		-0.132545													-4.189417				-0.000000									-0.061488	0.000000	-10.943559	0.000000					0.000000	0.000000																																											-11.083453	
 1 	 14	0.000000															0.000000												0.000000			19.760523		3.959000		12.533854		0.071196	0.068434					0.000000									-4.650227	-2.504602										-5.485354											0.000000	-0.115788	-0.731458					-0.811551					0.000000	0.000000		-0.132545													-4.189417				0.000000									-0.071196	0.000000	-7.056890	0.000000					0.000000	0.000000																																											-10.643978	
 1 	 15	0.000000															0.000000												0.000000			15.089854		3.959000		11.194324		0.071196	0.068434					0.000000									-4.650227	-2.504602										-5.485354											0.000000	-0.115788	-0.821762					-0.911743					0.000000	0.000000		-0.132545													-4.189417				0.000000									-0.071196	0.000000	-1.563350	0.000000					0.000000	0.000000																																											-9.936822	
 1 	 16	0.000000															0.000000												0.000000			8.263491		3.959000		14.022221		0.071196	0.068434					0.400000									-4.650227	-2.504602										-4.088878											0.000000	-0.115788	-0.857885					-0.951821					0.000000	0.000000		-0.132545													-4.189417				0.092650									-0.071196	0.000000	0.000000	0.000000					0.000000	0.000000																																											-9.314633	
 1 	 17	0.000000															0.000000												0.000000			0.000000		3.959000		17.919037		0.441742	0.054324					0.400000									-2.547573	-2.504602										-2.451342											0.000000	-0.115788	-0.857885					-0.951821					0.000000	0.000000		-0.132545													-4.189417				0.092650									-0.441742	0.000000	0.000000	0.000000					0.000000	0.000000																																											-8.674037	
 1 	 18	0.000000															0.000000												0.000000			0.000000		3.894432		17.698037		0.888337	0.059968					0.400000									0.000000	-2.504602										-5.189736											0.000000	-0.115788	-0.632126					-0.701342					0.000000	0.000000		-0.132545													-3.766642				0.092650									-0.888337	0.000000	0.000000	0.000000					0.000000	0.000000																																											-9.102305	
 1 	 19	0.000000															0.000000												0.000000			0.000000		3.959000		15.952588		0.896428	0.059968					0.400000									0.000000	-2.504602										-4.677461											0.000000	-0.115788	-0.451517					-0.500958					0.000000	0.000000		-0.132545													-2.997939				0.092650									-0.896428	0.000000	0.000000	0.000000					0.000000	0.000000																																											-9.083396	
 1 	 20	0.000000															0.000000												0.000000			0.000000		3.959000		13.900446		0.894810	0.059968					0.400000									0.000000	-2.504602										-3.559723											0.000000	-0.115788	-0.338638					-0.375718					0.000000	0.000000		-0.132545													-2.517504				0.092650									-0.894810	0.000000	0.000000	0.000000					0.000000	0.000000																																											-8.867545	
 1 	 21	0.000000															0.000000												0.000000			0.000000		3.959000		12.227160		0.147247	0.062084					0.400000									0.000000	-2.504602										-5.434483											0.000000	-0.115788	-0.225759					-0.250479					0.000000	0.000000		-0.132545													-2.037069				0.092650									-0.147247	0.000000	0.000000	2.244142					0.000000	0.000000																																											-8.284313	
 1 	 22	0.000000															0.000000												0.000000			0.000000		3.959000		10.905671		0.108413	0.064906					0.400000									0.000000	-2.504602										-5.485354											0.000000	-0.115788	-0.144486					-0.160307					0.000000	0.000000		-0.132545													-1.691156				0.092650									-0.108413	0.000000	0.000000	2.403371					0.000000	0.000000																																											-7.591362	
 1 	 23	0.000000															0.000000												0.000000			0.000000		3.959000		10.080304		0.079287	0.067728					0.400000									0.000000	-2.504602										-5.485354											0.000000	-0.115788	-0.090303					-0.100192					0.000000	0.000000		-0.132545													-1.460546				0.092650									-0.079287	0.000000	0.000000	2.254050					0.000000	0.000000																																											-6.964402	
 1 	 24	0.000000															0.000000												0.000000			0.000000		3.959000		9.471426		0.163428	0.061379					0.400000									0.000000	-2.504602										-5.485354											0.000000	-0.115788	-0.036121					-0.040077					0.000000	0.000000		-0.132545													-1.229938				0.092650									-0.163428	0.000000	0.000000	2.047149					0.000000	0.000000																																											-6.487180	
 2 	 1	0.000000															0.000000												0.000000			0.000000		3.959000		10.296793		0.048543	0.074078					0.400000									-4.650227	0.000000										0.000000											0.000000	-0.115788	-0.022576					-0.025048					0.000000	0.000000		-0.132545													-2.999292				0.092650									-0.048543	0.000000	0.000000	0.000000					0.000000	0.000000																																											-6.877046	
 2 	 2	0.000000															0.000000												0.000000			0.000000		3.959000		9.151202		0.048543	0.074078					0.400000									-4.650227	0.000000										0.000000											0.000000	-0.115788	-0.009030					-0.010019					0.000000	0.000000		-0.132545													-2.144865				0.092650									-0.048543	0.000000	0.000000	0.000000					0.000000	0.000000																																											-6.614456	
