Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																		10.175018																	-10.175018																																																																																																																																				0.000000	
 1 	 2																		10.017161																	-10.017161																																																																																																																																				0.000000	
 1 	 3																		10.445630																	-10.445630																																																																																																																																				0.000000	
 1 	 4																		11.144712																	-11.144712																																																																																																																																				0.000000	
 1 	 5																		12.227160																	-12.227160																																																																																																																																				0.000000	
 1 	 6																		12.533854																	-12.533854																																																																																																																																				0.000000	
 1 	 7																		12.416589																	-12.416589																																																																																																																																				0.000000	
 1 	 8																		10.386998																	-10.386998																																																																																																																																				0.000000	
 1 	 9																		12.204609																	-12.204609																																																																																																																																				0.000000	
 1 	 10																		14.324405																	-14.324405																																																																																																																																				0.000000	
 1 	 11																		14.748364																	-14.748364																																																																																																																																				0.000000	
 1 	 12																		14.468731																	-14.468731																																																																																																																																				0.000000	
 1 	 13																		13.701997																	-13.701997																																																																																																																																				0.000000	
 1 	 14																		12.533854																	-12.533854																																																																																																																																				0.000000	
 1 	 15																		11.194324																	-11.194324																																																																																																																																				0.000000	
 1 	 16																		14.022221																	-14.022221																																																																																																																																				0.000000	
 1 	 17																		17.919037																	-17.919037																																																																																																																																				0.000000	
 1 	 18																		17.698037																	-17.698037																																																																																																																																				0.000000	
 1 	 19																		15.952588																	-15.952588																																																																																																																																				0.000000	
 1 	 20																		13.900446																	-13.900446																																																																																																																																				0.000000	
 1 	 21																		12.227160																	-12.227160																																																																																																																																				0.000000	
 1 	 22																		10.905671																	-10.905671																																																																																																																																				0.000000	
 1 	 23																		10.080304																	-10.080304																																																																																																																																				0.000000	
 1 	 24																		9.471426																	-9.471426																																																																																																																																				0.000000	
 2 	 1																		10.296793																	-10.296793																																																																																																																																				0.000000	
 2 	 2																		9.151202																	-9.151202																																																																																																																																				0.000000	
 2 	 3																		8.226610																	-8.226610																																																																																																																																				0.000000	
 2 	 4																		7.180243																	-7.180243																																																																																																																																				0.000000	
 2 	 5																		3.576591																	-3.576591																																																																																																																																				0.000000	
 2 	 6																		1.655245																	-1.655245																																																																																																																																				0.000000	
 2 	 7																		2.345306																	-2.345306																																																																																																																																				0.000000	
 2 	 8																		2.706122																	-2.706122																																																																																																																																				0.000000	
 2 	 9																		2.868489																	-2.868489																																																																																																																																				0.000000	
 2 	 10																		2.809856																	-2.809856																																																																																																																																				0.000000	
 2 	 11																		2.606897																	-2.606897																																																																																																																																				0.000000	
 2 	 12																		2.435510																	-2.435510																																																																																																																																				0.000000	
 2 	 13																		2.367857																	-2.367857																																																																																																																																				0.000000	
 2 	 14																		2.480612																	-2.480612																																																																																																																																				0.000000	
 2 	 15																		2.706122																	-2.706122																																																																																																																																				0.000000	
 2 	 16																		3.125571																	-3.125571																																																																																																																																				0.000000	
 2 	 17																		3.937407																	-3.937407																																																																																																																																				0.000000	
 2 	 18																		5.222815																	-5.222815																																																																																																																																				0.000000	
 2 	 19																		8.885100																	-8.885100																																																																																																																																				0.000000	
 2 	 20																		13.458446																	-13.458446																																																																																																																																				0.000000	
 2 	 21																		14.707772																	-14.707772																																																																																																																																				0.000000	
 2 	 22																		14.076344																	-14.076344																																																																																																																																				0.000000	
 2 	 23																		12.795446																	-12.795446																																																																																																																																				0.000000	
 2 	 24																		11.189814																	-11.189814																																																																																																																																				0.000000	
 3 	 1																		9.448875																	-9.448875																																																																																																																																				0.000000	
 3 	 2																		9.115120																	-9.115120																																																																																																																																				0.000000	
 3 	 3																		8.749794																	-8.749794																																																																																																																																				0.000000	
 3 	 4																		8.050712																	-8.050712																																																																																																																																				0.000000	
 3 	 5																		5.538529																	-5.538529																																																																																																																																				0.000000	
 3 	 6																		7.342611																	-7.342611																																																																																																																																				0.000000	
 3 	 7																		7.626753																	-7.626753																																																																																																																																				0.000000	
 3 	 8																		7.292998																	-7.292998																																																																																																																																				0.000000	
 3 	 9																		7.225345																	-7.225345																																																																																																																																				0.000000	
 3 	 10																		7.265937																	-7.265937																																																																																																																																				0.000000	
 3 	 11																		7.356141																	-7.356141																																																																																																																																				0.000000	
 3 	 12																		7.441835																	-7.441835																																																																																																																																				0.000000	
