source,target,realValue,layerID,layerColor,layerUnit
Diesel,Mob public,1.42,Diesel,#D3D3D3,TWh
Diesel,Freight,8.53,Diesel,#D3D3D3,TWh
Gas,H2 prod,7.83,NG,#FFD700,TWh
H2 prod,H2,5.74,H2,#FF00FF,TWh
Gas,Elec,6.08,NG,#FFD700,TWh
Wind,Elec,85.16,Wind,#27AE34,TWh
Hydro River,Elec,0.55,Hydro River,#0000FF,TWh
Solar,Elec,35.94,Solar,#FFFF00,TWh
Geothermal,Elec,3.01,Geothermal,#FF0000,TWh
Waste,Boilers,12.48,Waste,#808000,TWh
Wood,Biofuels,43.53,Wood,#CD853F,TWh
Wood,Boilers,19.54,Wood,#CD853F,TWh
Wet biomass,Biomethanation,30.45,Wood,#CD853F,TWh
Biomethanation,Gas,28.44,NG,#FFD700,TWh
Elec,Mob public,8.11,Electricity,#00BFFF,TWh
Elec,Freight,1.16,Electricity,#00BFFF,TWh
Elec,Exp & Loss,10.85,Electricity,#00BFFF,TWh
Elec,Curt.,0.11,Electricity,#00BFFF,TWh
Elec,Elec demand,48.23,Electricity,#00BFFF,TWh
Elec,Storage,10.86,Electricity,#00BFFF,TWh
Storage,Elec demand,9.41,Electricity,#00BFFF,TWh
Elec,HPs,35.29,Electricity,#00BFFF,TWh
Elec,Electrolysis,19.49,Electricity,#00BFFF,TWh
Electrolysis,H2 sto.,3.29,H2,#FF00FF,TWh
H2 sto.,H2,2.85,H2,#FF00FF,TWh
Electrolysis,H2,13.72,H2,#FF00FF,TWh
Elec,Heat HT,13.61,Electricity,#00BFFF,TWh
H2,Mob priv,13.90,H2,#FF00FF,TWh
H2,Freight,8.01,H2,#FF00FF,TWh
Gas,SNG sto.,5.40,NG,#FFD700,TWh
SNG sto.,Gas,5.29,NG,#FFD700,TWh
HPs,Heat LT Dec,60.36,Heat LT,#FA8072,TWh
HPs,DHN,46.88,Heat LT,#FA8072,TWh
HPs,Dec. Sto,10.36,Heat LT,#FA8072,TWh
Biofuels,Elec,0.69,Electricity,#00BFFF,TWh
Biofuels,Boilers,0.00,Oil,#8B008B,TWh
Boilers,Heat HT,27.12,Heat HT,#DC143C,TWh
Dec. Sto,Heat LT Dec,9.75,Heat LT,#FA8072,TWh
DHN,Heat LT DHN,24.90,Heat LT,#FA8072,TWh
DHN,Loss DHN,3.28,Heat LT,#FA8072,TWh
DHN,DHN Sto,18.70,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,16.28,Heat LT,#FA8072,TWh
Gas,Non-Energy,14.45,NG,#FFD700,TWh
Oil,Non-Energy,19.04,Oil,#8B008B,TWh
