Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																		12.747760																	-7.700551	-5.047209																																																																																																																																			0.000000	
 1 	 2																		11.375622																	-5.936484	-5.439138																																																																																																																																			0.000000	
 1 	 3																		10.711118																	-4.479146	-6.231972																																																																																																																																			0.000000	
 1 	 4																		11.114298																	-4.128387	-6.985912																																																																																																																																			0.000000	
 1 	 5																		11.972031																	-4.486485	-7.485546																																																																																																																																			0.000000	
 1 	 6																		13.648361																	-5.447768	-8.200593																																																																																																																																			0.000000	
 1 	 7																		16.104443																	-7.242657	-8.861786																																																																																																																																			0.000000	
 1 	 8																		18.456479																	-9.157887	-9.298592																																																																																																																																			0.000000	
 1 	 9																		21.198227																	-11.420943	-9.777284																																																																																																																																			0.000000	
 1 	 10																		24.076789																	-14.036224	-10.040565																																																																																																																																			0.000000	
 1 	 11																		26.797472																	-16.460716	-10.336756																																																																																																																																			0.000000	
 1 	 12																		29.202621																	-18.491888	-10.710734																																																																																																																																			0.000000	
 1 	 13																		29.385697																	-18.306969	-11.078728																																																																																																																																			0.000000	
 1 	 14																		31.922424																	-20.496644	-11.425780																																																																																																																																			0.000000	
 1 	 15																		35.789490																	-23.825182	-11.964308																																																																																																																																			0.000000	
 1 	 16																		42.122992																	-28.567032	-13.555959																																																																																																																																			0.000000	
 1 	 17																		52.198504																	-36.994049	-15.204455																																																																																																																																			0.000000	
 1 	 18																		61.610516																	-45.308061	-16.302455																																																																																																																																			0.000000	
 1 	 19																		68.931908																	-52.734167	-16.197741																																																																																																																																			0.000000	
 1 	 20																		68.678443																	-53.931737	-14.746706																																																																																																																																			0.000000	
 1 	 21																		67.869377																	-54.540796	-13.328581																																																																																																																																			0.000000	
 1 	 22																		64.443079																	-52.015038	-12.428041																																																																																																																																			0.000000	
 1 	 23																		67.653537																	-54.097578	-13.555959																																																																																																																																			0.000000	
 1 	 24																		68.257146																	-53.127486	-15.129659																																																																																																																																			0.000000	
 2 	 1																		71.920403																	-55.932090	-15.988313																																																																																																																																			0.000000	
 2 	 2																		68.632848																	-52.572730	-16.060117																																																																																																																																			0.000000	
 2 	 3																		68.003482																	-51.698035	-16.305447																																																																																																																																			0.000000	
 2 	 4																		66.778824																	-50.353704	-16.425120																																																																																																																																			0.000000	
 2 	 5																		62.470393																	-46.718434	-15.751959																																																																																																																																			0.000000	
 2 	 6																		57.720078																	-43.036201	-14.683877																																																																																																																																			0.000000	
 2 	 7																		54.925076																	-41.207558	-13.717518																																																																																																																																			0.000000	
 2 	 8																		53.956235																	-41.181141	-12.775093																																																																																																																																			0.000000	
 2 	 9																		50.521294																	-38.793339	-11.727954																																																																																																																																			0.000000	
 2 	 10																		48.356976																	-37.460749	-10.896227																																																																																																																																			0.000000	
 2 	 11																		48.801750																	-38.366264	-10.435486																																																																																																																																			0.000000	
 2 	 12																		47.904292																	-37.741062	-10.163230																																																																																																																																			0.000000	
 2 	 13																		48.616842																	-39.034026	-9.582816																																																																																																																																			0.000000	
 2 	 14																		46.446718																	-37.537063	-8.909655																																																																																																																																			0.000000	
 2 	 15																		44.358438																	-36.217682	-8.140756																																																																																																																																			0.000000	
 2 	 16																		41.070054																	-33.599466	-7.470587																																																																																																																																			0.000000	
 2 	 17																		34.546995																	-27.827356	-6.719639																																																																																																																																			0.000000	
 2 	 18																		29.202415																	-23.467086	-5.735329																																																																																																																																			0.000000	
 2 	 19																		26.112702																	-21.406561	-4.706141																																																																																																																																			0.000000	
 2 	 20																		22.786584																	-19.271189	-3.515394																																																																																																																																			0.000000	
 2 	 21																		20.273641																	-17.787435	-2.486207																																																																																																																																			0.000000	
 2 	 22																		19.125310																	-17.372100	-1.753210																																																																																																																																			0.000000	
 2 	 23																		18.010582																	-16.688195	-1.322387																																																																																																																																			0.000000	
 2 	 24																		16.003502																	-14.881568	-1.121934																																																																																																																																			0.000000	
 3 	 1																		16.627812																	-16.328630	-0.299183																																																																																																																																			0.000000	
 3 	 2																		18.765623																	-18.260005	-0.505618																																																																																																																																			0.000000	
 3 	 3																		20.087165																	-19.312282	-0.774883																																																																																																																																			0.000000	
