Time	DAM_STORAGE	PHS	BATT_LI	CAES	BEV_BATT	PHEV_BATT	TS_DEC_HP_ELEC	TS_DEC_DIRECT_ELEC	TS_DHN_DAILY	TS_DHN_SEASONAL	TS_DEC_THHP_GAS	TS_DEC_COGEN_GAS	TS_DEC_COGEN_OIL	TS_DEC_ADVCOGEN_GAS	TS_DEC_ADVCOGEN_H2	TS_DEC_BOILER_GAS	TS_DEC_BOILER_WOOD	TS_DEC_BOILER_OIL	SEASONAL_NG	SEASONAL_H2	CO2_STORAGE	SLF_STO	PT_STORAGE	ST_STORAGE	TS_MOLTEN_SALT	TS_COLD	DAM_STORAGE_in	DAM_STORAGE_out	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	CAES_in	CAES_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_DEC_HP_ELEC_in	TS_DEC_HP_ELEC_out	TS_DEC_DIRECT_ELEC_in	TS_DEC_DIRECT_ELEC_out	TS_DHN_DAILY_in	TS_DHN_DAILY_out	TS_DHN_SEASONAL_in	TS_DHN_SEASONAL_out	TS_DEC_THHP_GAS_in	TS_DEC_THHP_GAS_out	TS_DEC_COGEN_GAS_in	TS_DEC_COGEN_GAS_out	TS_DEC_COGEN_OIL_in	TS_DEC_COGEN_OIL_out	TS_DEC_ADVCOGEN_GAS_in	TS_DEC_ADVCOGEN_GAS_out	TS_DEC_ADVCOGEN_H2_in	TS_DEC_ADVCOGEN_H2_out	TS_DEC_BOILER_GAS_in	TS_DEC_BOILER_GAS_out	TS_DEC_BOILER_WOOD_in	TS_DEC_BOILER_WOOD_out	TS_DEC_BOILER_OIL_in	TS_DEC_BOILER_OIL_out	SEASONAL_NG_in	SEASONAL_NG_out	SEASONAL_H2_in	SEASONAL_H2_out	CO2_STORAGE_in	CO2_STORAGE_out	SLF_STO_in	SLF_STO_out	PT_STORAGE_in	PT_STORAGE_out	ST_STORAGE_in	ST_STORAGE_out	TS_MOLTEN_SALT_in	TS_MOLTEN_SALT_out	TS_COLD_in	TS_COLD_out	
 1		0.000429					0.000000			1263.061621									2856.626243	20.979788		10.035394							0.000000	0.000000									0.000000	1.674463					0.000000	0.159352																	-2.841330	0.000000	-1.109341	0.000000			-0.054547	0.000000									
 2		0.000418					0.000000			1262.750990									2859.467573	22.098649		10.091429							0.000000	0.000011									0.000000	0.000000					0.000000	0.234090																	-2.841330	0.000000	-1.118861	0.000000			-0.056035	0.000000									
 3		0.000374					0.000000			1262.336735									2862.308903	22.723819		10.147960							0.000000	0.000044									0.000000	0.000000					0.000000	0.337732																	-2.841330	0.000000	-0.625170	0.000000			-0.056531	0.000000									
 4		0.000330					0.000000			1261.825741									2865.150232	23.424672		10.199035							0.000000	0.000044									0.000000	0.000000					0.000000	0.434496																	-2.841330	0.000000	-0.700853	0.000000			-0.051076	0.000000									
 5		0.000342					0.974640			1261.253620									2867.991562	24.368186		10.240193							-0.000011	0.000000									-0.974640	0.000000					0.000000	0.495655																	-2.841330	0.000000	-0.943515	0.000000			-0.041157	0.000000									
 6		0.000342					0.966609			1260.627833									2870.832892	24.847341		10.257546							0.000000	0.000000									0.000000	0.000000					0.000000	0.549355																	-2.841330	0.000000	-0.479154	0.000000			-0.017354	0.000000									
 7		0.000374					0.958644			1259.987129									2873.674221	24.567968		10.237707							-0.000033	0.000000									0.000000	0.000000					0.000000	0.564310																	-2.841330	0.000000	0.000000	0.279373			0.000000	0.019840									
 8		0.000407					0.950745			1259.363589									2876.515551	24.507966		10.227785							-0.000033	0.000000									0.000000	0.000000					0.000000	0.547185																	-2.841330	0.000000	0.000000	0.060002			0.000000	0.009921									
 9		0.000440					0.942911			1258.859265									2879.356881	24.551783		10.222823							-0.000033	0.000000									0.000000	0.000000					0.000000	0.428007																	-2.841330	0.000000	-0.043817	0.000000			0.000000	0.004962									
 10		0.000473					1.659444			1258.578779									2882.198211	24.436931		10.210422							-0.000033	0.000000									-0.724303	0.000000					0.000000	0.204199																	-2.841330	0.000000	0.000000	0.114852			0.000000	0.012401									
 11		0.000473					1.645771			1258.497748									2885.039540	24.102718		10.188103							0.000000	0.000000									0.000000	0.000000					0.000000	0.004761																	-2.841330	0.000000	0.000000	0.334213			0.000000	0.022319									
 12		0.000473					3.704234			1258.570324									2887.880870	23.593004		10.157849							0.000000	0.000000									-2.072025	0.000000					-0.148841	0.000000																	-2.841330	0.000000	0.000000	0.509714			0.000000	0.030254									
 13		0.000506					5.867286			1258.714283									2890.722200	23.258791		10.135530							-0.000033	0.000000									-2.193575	0.000000					-0.220228	0.000000																	-2.841330	0.000000	0.000000	0.334213			0.000000	0.022319									
 14		0.000539					7.933153			1258.811623									2893.563529	22.902638		10.112219							-0.000033	0.000000									-2.114213	0.000000					-0.173618	0.000000																	-2.841330	0.000000	0.000000	0.356153			0.000000	0.023311									
 15		0.000539					9.686317			1258.735304									2896.404859	22.327114		10.078989							0.000000	0.000000									-1.818533	0.000000					0.000000	0.000035																	-2.841330	0.000000	0.000000	0.575524			0.000000	0.033229									
 16		0.000572					10.371332			1258.453257									2899.246189	21.663840		10.041793							-0.000033	0.000000									-0.764831	0.000000					0.000000	0.205768																	-2.841330	0.000000	0.000000	0.663274			0.000000	0.037197									
