Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																																																					4.734588																																																																																0.000000	0.159352																																	-4.893940	
 1 	 2																																																					4.734588																																																																																0.000000	0.234090																																	-4.968678	
 1 	 3																																																					4.734588																																																																																0.000000	0.337732																																	-5.072320	
 1 	 4																																																					4.734588																																																																																0.000000	0.434496																																	-5.169084	
 1 	 5																																																					4.734588																																																																																0.000000	0.495655																																	-5.230243	
 1 	 6																																																					4.734588																																																																																0.000000	0.549355																																	-5.283942	
 1 	 7																																																					4.734588																																																																																0.000000	0.564310																																	-5.298898	
 1 	 8																																																					4.734588																																																																																0.000000	0.547185																																	-5.281773	
 1 	 9																																																					4.734588																																																																																0.000000	0.428007																																	-5.162595	
 1 	 10																																																					4.734588																																																																																0.000000	0.204199																																	-4.938787	
 1 	 11																																																					4.734588																																																																																0.000000	0.004761																																	-4.739349	
 1 	 12																																																					4.734588																																																																																-0.148841	0.000000																																	-4.585747	
 1 	 13																																																					4.734588																																																																																-0.220228	0.000000																																	-4.514360	
 1 	 14																																																					4.734588																																																																																-0.173618	0.000000																																	-4.560970	
 1 	 15																																																					4.734588																																																																																0.000000	0.000035																																	-4.734623	
 1 	 16																																																					4.734588																																																																																0.000000	0.205768																																	-4.940356	
 1 	 17																																																					4.734588																																																																																0.000000	0.314524																																	-5.049112	
 1 	 18																																																					4.734588																																																																																0.000000	0.385717																																	-5.120305	
 1 	 19																																																					4.734588																																																																																0.000000	0.419347																																	-5.153935	
 1 	 20																																																					4.734588																																																																																0.000000	0.436472																																	-5.171060	
 1 	 21																																																					4.734588																																																																																0.000000	0.461056																																	-5.195644	
 1 	 22																																																					4.734588																																																																																0.000000	0.522408																																	-5.256996	
 1 	 23																																																					4.734588																																																																																0.000000	0.548367																																	-5.282954	
 1 	 24																																																					4.734588																																																																																0.000000	0.584554																																	-5.319142	
 2 	 1																																																					4.734588																																																																																0.000000	1.211169																																	-5.945757	
 2 	 2																																																					4.734588																																																																																0.000000	1.223955																																	-5.958543	
 2 	 3																																																					4.734588																																																																																0.000000	1.217853																																	-5.952441	
 2 	 4																																																					4.734588																																																																																0.000000	1.197396																																	-5.931983	
 2 	 5																																																					4.734588																																																																																0.000000	1.195245																																	-5.929833	
 2 	 6																																																					4.734588																																																																																0.000000	1.197396																																	-5.931983	
 2 	 7																																																					1.385313																																																																																0.000000	4.308482																																	-5.693795	
 2 	 8																																																					0.000000																																																																																0.000000	5.424158																																	-5.424158	
 2 	 9																																																					0.705203																																																																																0.000000	4.584613																																	-5.289815	
 2 	 10																																																					1.513190																																																																																0.000000	3.709880																																	-5.223070	
 2 	 11																																																					2.852967																																																																																0.000000	2.366929																																	-5.219896	
 2 	 12																																																					4.734588																																																																																0.000000	0.551718																																	-5.286306	
 2 	 13																																																					4.734588																																																																																0.000000	0.522815																																	-5.257402	
 2 	 14																																																					4.734588																																																																																0.000000	0.559583																																	-5.294171	
 2 	 15																																																					2.985269																																																																																0.000000	2.286760																																	-5.272028	
 2 	 16																																																					0.000000																																																																																0.000000	5.287855																																	-5.287855	
 2 	 17																																																					0.000000																																																																																0.000000	5.452074																																	-5.452074	
 2 	 18																																																					0.000000																																																																																0.000000	5.492601																																	-5.492601	
 2 	 19																																																					0.611350																																																																																0.000000	4.965540																																	-5.576891	
 2 	 20																																																					4.734588																																																																																0.000000	1.139976																																	-5.874564	
 2 	 21																																																					4.734588																																																																																0.000000	1.140557																																	-5.875145	
 2 	 22																																																					4.734588																																																																																0.000000	1.161809																																	-5.896397	
 2 	 23																																																					4.734588																																																																																0.000000	1.181859																																	-5.916447	
 2 	 24																																																					4.734588																																																																																0.000000	1.185792																																	-5.920379	
 3 	 1																																																					4.734588																																																																																0.000000	0.006331																																	-4.740919	
 3 	 2																																																					4.734588																																																																																0.000000	0.005362																																	-4.739950	
 3 	 3																																																					4.734588																																																																																-0.012751	0.000000																																	-4.721837	
 3 	 4																																																					4.734588																																																																																-0.019028	0.000000																																	-4.715560	
 3 	 5																																																					4.734588																																																																																0.000000	0.000441																																	-4.735029	
 3 	 6																																																					4.734588																																																																																0.000000	0.014409																																	-4.748997	
 3 	 7																																																					4.734588																																																																																-0.094948	0.000000																																	-4.639640	
 3 	 8																																																					4.734588																																																																																-0.339426	0.000000																																	-4.395162	
 3 	 9																																																					4.734588																																																																																-0.658235	0.000000																																	-4.076353	
 3 	 10																																																					4.734588																																																																																-0.987854	0.000000																																	-3.746734	
 3 	 11																																																					4.734588																																																																																-1.270476	0.000000																																	-3.464112	
 3 	 12																																																					4.734588																																																																																-1.460072	0.000000																																	-3.274516	
 3 	 13																																																					4.734588																																																																																-1.534229	0.000000																																	-3.200359	
 3 	 14																																																					4.734588																																																																																-1.494690	0.000000																																	-3.239897	
 3 	 15																																																					4.734588																																																																																-1.368616	0.000000																																	-3.365972	
 3 	 16																																																					4.734588																																																																																-1.155230	0.000000																																	-3.579358	
 3 	 17																																																					4.734588																																																																																-0.891089	0.000000																																	-3.843498	
 3 	 18																																																					4.734588																																																																																-0.640529	0.000000																																	-4.094059	
 3 	 19																																																					4.734588																																																																																-0.485938	0.000000																																	-4.248650	
 3 	 20																																																					4.734588																																																																																-0.383284	0.000000																																	-4.351304	
 3 	 21																																																					4.734588																																																																																-0.311878	0.000000																																	-4.422710	
 3 	 22																																																					4.734588																																																																																-0.302250	0.000000																																	-4.432338	
 3 	 23																																																					4.734588																																																																																-0.304420	0.000000																																	-4.430168	
 3 	 24																																																					4.734588																																																																																-0.293784	0.000000																																	-4.440803	
 4 	 1																																																					0.000000																																																																																0.000000	4.559962																																	-4.559962	
 4 	 2																																																					0.000000																																																																																0.000000	4.659671																																	-4.659671	
 4 	 3																																																					3.478585																																																																																0.000000	1.507577																																	-4.986163	
 4 	 4																																																					4.734588																																																																																0.000000	0.387286																																	-5.121874	
 4 	 5																																																					4.734588																																																																																0.000000	0.324946																																	-5.059534	
 4 	 6																																																					4.521059																																																																																0.000000	0.032228																																	-4.553287	
 4 	 7																																																					2.254895																																																																																0.000000	1.644741																																	-3.899636	
 4 	 8																																																					1.443809																																																																																0.000000	1.874121																																	-3.317930	
 4 	 9																																																					2.528508																																																																																0.000000	0.468471																																	-2.996979	
 4 	 10																																																					2.758779																																																																																0.000000	0.000000																																	-2.758779	
 4 	 11																																																					2.520134																																																																																0.000000	0.000000																																	-2.520134	
 4 	 12																																																					2.358248																																																																																0.000000	0.000000																																	-2.358248	
 4 	 13																																																					2.274439																																																																																0.000000	0.000000																																	-2.274439	
 4 	 14																																																					2.270421																																																																																0.000000	0.000000																																	-2.270421	
 4 	 15																																																					2.348181																																																																																0.000000	0.000000																																	-2.348181	
 4 	 16																																																					2.509412																																																																																0.000000	0.000000																																	-2.509412	
 4 	 17																																																					2.788608																																																																																0.000000	0.000000																																	-2.788608	
 4 	 18																																																					3.232087																																																																																0.000000	0.000000																																	-3.232087	
 4 	 19																																																					3.639592																																																																																0.000000	0.000000																																	-3.639592	
 4 	 20																																																					3.803278																																																																																0.000000	0.000000																																	-3.803278	
 4 	 21																																																					3.922552																																																																																0.000000	0.000000																																	-3.922552	
 4 	 22																																																					4.010748																																																																																0.000000	0.000000																																	-4.010748	
 4 	 23																																																					4.056846																																																																																0.000000	0.000000																																	-4.056846	
 4 	 24																																																					4.102944																																																																																0.000000	0.000000																																	-4.102944	
 5 	 1																																																					0.000000																																																																																0.000000	1.719655																																	-1.719655	
 5 	 2																																																					0.000000																																																																																0.000000	1.834691																																	-1.834691	
 5 	 3																																																					0.000000																																																																																0.000000	1.910431																																	-1.910431	
 5 	 4																																																					0.000000																																																																																0.000000	1.790733																																	-1.790733	
 5 	 5																																																					0.000000																																																																																0.000000	1.313188																																	-1.313188	
 5 	 6																																																					0.000000																																																																																0.000000	0.999609																																	-0.999609	
 5 	 7																																																					0.000000																																																																																0.000000	0.711886																																	-0.711886	
 5 	 8																																																					0.000000																																																																																0.000000	0.541689																																	-0.541689	
 5 	 9																																																					0.000000																																																																																0.000000	0.541689																																	-0.541689	
 5 	 10																																																					0.000000																																																																																0.000000	0.541689																																	-0.541689	
 5 	 11																																																					0.000000																																																																																0.000000	0.541689																																	-0.541689	
 5 	 12																																																					0.000000																																																																																0.000000	0.541689																																	-0.541689	
 5 	 13																																																					0.000000																																																																																0.000000	0.541689																																	-0.541689	
 5 	 14																																																					0.000000																																																																																0.000000	0.541689																																	-0.541689	
 5 	 15																																																					0.000000																																																																																0.000000	0.541689																																	-0.541689	
 5 	 16																																																					1.664171																																																																																-1.005990	0.000000																																	-0.658181	
 5 	 17																																																					3.325332																																																																																-2.550869	0.000000																																	-0.774463	
 5 	 18																																																					2.060780																																																																																-1.374837	0.000000																																	-0.685944	
 5 	 19																																																					0.657090																																																																																-0.012048	0.000000																																	-0.645042	
 5 	 20																																																					0.000000																																																																																0.000000	0.980589																																	-0.980589	
 5 	 21																																																					0.000000																																																																																0.000000	1.222165																																	-1.222165	
 5 	 22																																																					0.000000																																																																																0.000000	1.375534																																	-1.375534	
 5 	 23																																																					2.727168																																																																																-1.013916	0.000000																																	-1.713252	
 5 	 24																																																					4.734588																																																																																-2.761433	0.000000																																	-1.973155	
 6 	 1																																																					4.734588																																																																																-3.097158	0.000000																																	-1.637430	
 6 	 2																																																					4.734588																																																																																-2.971208	0.000000																																	-1.763380	
 6 	 3																																																					4.734588																																																																																-2.885181	0.000000																																	-1.849407	
 6 	 4																																																					4.734588																																																																																-2.871160	0.000000																																	-1.863428	
 6 	 5																																																					4.734588																																																																																-3.031370	0.000000																																	-1.703218	
 6 	 6																																																					1.501686																																																																																-0.232068	0.000000																																	-1.269618	
 6 	 7																																																					1.791423																																																																																-0.711631	0.000000																																	-1.079792	
 6 	 8																																																					4.734588																																																																																-3.660417	0.000000																																	-1.074171	
 6 	 9																																																					4.734588																																																																																-3.850567	0.000000																																	-0.884021	
 6 	 10																																																					4.734588																																																																																-3.861477	0.000000																																	-0.873110	
 6 	 11																																																					4.734588																																																																																-3.861477	0.000000																																	-0.873110	
 6 	 12																																																					4.734588																																																																																-3.861477	0.000000																																	-0.873110	
 6 	 13																																																					4.734588																																																																																-3.861477	0.000000																																	-0.873110	
 6 	 14																																																					4.734588																																																																																-3.861477	0.000000																																	-0.873110	
 6 	 15																																																					4.734588																																																																																-3.861477	0.000000																																	-0.873110	
 6 	 16																																																					4.734588																																																																																-3.861477	0.000000																																	-0.873110	
 6 	 17																																																					4.734588																																																																																-3.861477	0.000000																																	-0.873110	
 6 	 18																																																					4.734588																																																																																-3.861477	0.000000																																	-0.873110	
 6 	 19																																																					1.969261																																																																																-1.070272	0.000000																																	-0.898989	
 6 	 20																																																					0.000000																																																																																0.000000	1.150162																																	-1.150162	
 6 	 21																																																					0.000000																																																																																0.000000	1.361804																																	-1.361804	
 6 	 22																																																					0.000000																																																																																0.000000	1.488365																																	-1.488365	
 6 	 23																																																					0.000000																																																																																0.000000	1.609320																																	-1.609320	
 6 	 24																																																					0.000000																																																																																0.000000	1.719360																																	-1.719360	
