Time	DAM_STORAGE	PHS	BATT_LI	CAES	BEV_BATT	PHEV_BATT	TS_DEC_HP_ELEC	TS_DEC_DIRECT_ELEC	TS_DHN_DAILY	TS_DHN_SEASONAL	TS_DEC_THHP_GAS	TS_DEC_COGEN_GAS	TS_DEC_COGEN_OIL	TS_DEC_ADVCOGEN_GAS	TS_DEC_ADVCOGEN_H2	TS_DEC_BOILER_GAS	TS_DEC_BOILER_WOOD	TS_DEC_BOILER_OIL	SEASONAL_NG	SEASONAL_H2	CO2_STORAGE	SLF_STO	PT_STORAGE	ST_STORAGE	TS_MOLTEN_SALT	TS_COLD	DAM_STORAGE_in	DAM_STORAGE_out	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	CAES_in	CAES_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_DEC_HP_ELEC_in	TS_DEC_HP_ELEC_out	TS_DEC_DIRECT_ELEC_in	TS_DEC_DIRECT_ELEC_out	TS_DHN_DAILY_in	TS_DHN_DAILY_out	TS_DHN_SEASONAL_in	TS_DHN_SEASONAL_out	TS_DEC_THHP_GAS_in	TS_DEC_THHP_GAS_out	TS_DEC_COGEN_GAS_in	TS_DEC_COGEN_GAS_out	TS_DEC_COGEN_OIL_in	TS_DEC_COGEN_OIL_out	TS_DEC_ADVCOGEN_GAS_in	TS_DEC_ADVCOGEN_GAS_out	TS_DEC_ADVCOGEN_H2_in	TS_DEC_ADVCOGEN_H2_out	TS_DEC_BOILER_GAS_in	TS_DEC_BOILER_GAS_out	TS_DEC_BOILER_WOOD_in	TS_DEC_BOILER_WOOD_out	TS_DEC_BOILER_OIL_in	TS_DEC_BOILER_OIL_out	SEASONAL_NG_in	SEASONAL_NG_out	SEASONAL_H2_in	SEASONAL_H2_out	CO2_STORAGE_in	CO2_STORAGE_out	SLF_STO_in	SLF_STO_out	PT_STORAGE_in	PT_STORAGE_out	ST_STORAGE_in	ST_STORAGE_out	TS_MOLTEN_SALT_in	TS_MOLTEN_SALT_out	TS_COLD_in	TS_COLD_out	
 1				0.000000			2.858387			162.924052									274.047202	17.743687		60.026029											0.000000	0.000000					-0.162371	0.000000					-0.123495	0.000000																	-0.215002	0.000000	-0.263456	0.000000			-0.211530	0.000000									
 2				0.005345			3.338763			163.039247									274.262204	18.012264		60.239298											-0.005345	0.000000					-0.780979	0.277050					-0.125068	0.000000																	-0.215002	0.000000	-0.268577	0.000000			-0.213269	0.000000									
 3				0.005234			3.311251			163.155177									274.477206	18.282549		60.453147											0.000000	0.000000					0.000000	0.000000					-0.125811	0.000000																	-0.215002	0.000000	-0.270284	0.000000			-0.213849	0.000000									
 4				0.005125			3.791390			163.272411									274.692208	18.534054		60.660618											0.000000	0.000000					-0.507423	0.000000					-0.127120	0.000000																	-0.215002	0.000000	-0.251505	0.000000			-0.207471	0.000000									
 5				0.005019			3.760149			163.389900									274.907210	18.751415		60.856491											0.000000	0.000000					0.000000	0.000000					-0.127384	0.000000																	-0.215002	0.000000	-0.217361	0.000000			-0.195874	0.000000									
 6				0.014697			2.671135			163.508037									275.122211	18.886830		60.391693											-0.009783	0.000000					0.000000	1.058030					-0.128039	0.000000																	-0.215002	0.000000	-0.135415	0.000000			0.000000	0.464799									
 7				0.157945			2.649125			163.633375									275.337213	18.894205		60.516244											-0.143553	0.000000					0.000000	0.000000					-0.135246	0.000000																	-0.215002	0.000000	-0.007375	0.000000			-0.124552	0.000000									
 8				0.298213			3.169297			163.770886									275.552215	18.935724		59.598483											-0.143553	0.000000					-0.800015	0.258015					-0.147427	0.000000																	-0.215002	0.000000	-0.041519	0.000000			0.000000	0.917761									
 9				0.292010			2.085152			163.917867									275.767217	18.994315		59.740431											0.000000	0.000000					0.000000	1.058030					-0.156906	0.000000																	-0.215002	0.000000	-0.058591	0.000000			-0.141947	0.000000									
 10				0.094882			1.009940			164.070342									275.982219	19.027297		59.873680											-0.046597	0.237652					0.000000	1.058030					-0.162408	0.000000																	-0.215002	0.000000	-0.032982	0.000000			-0.133249	0.000000									
