Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																																																															1.677170																																																																0.000000	0.000000																																							-1.677170	
 1 	 2																																																															1.676571																																																																0.000000	0.000000																																							-1.676571	
 1 	 3																																																															2.148452																																																																-0.468162	0.000000																																							-1.680290	
 1 	 4																																																															2.020179																																																																-0.694275	0.363755																																							-1.689658	
 1 	 5																																																															2.148452																																																																-0.443695	0.000000																																							-1.704758	
 1 	 6																																																															2.148452																																																																-0.423544	0.000000																																							-1.724908	
 1 	 7																																																															1.779408																																																																-0.034873	0.000000																																							-1.744535	
 1 	 8																																																															1.790789																																																																-0.034873	0.000000																																							-1.755916	
 1 	 9																																																															1.793834																																																																-0.034873	0.000000																																							-1.758961	
 1 	 10																																																															1.782685																																																																-0.034873	0.000000																																							-1.747812	
 1 	 11																																																															1.763126																																																																-0.034873	0.000000																																							-1.728253	
 1 	 12																																																															1.750780																																																																-0.034873	0.000000																																							-1.715907	
 1 	 13																																																															1.673729																																																																0.000000	0.041063																																							-1.714792	
 1 	 14																																																															1.696442																																																																0.000000	0.033000																																							-1.729443	
 1 	 15																																																															1.931004																																																																-0.176876	0.000000																																							-1.754128	
 1 	 16																																																															1.808560																																																																-0.034873	0.000000																																							-1.773687	
 1 	 17																																																															1.534910																																																																0.000000	0.257514																																							-1.792423	
 1 	 18																																																															1.315079																																																																0.000000	0.490214																																							-1.805293	
 1 	 19																																																															1.431270																																																																0.000000	0.383616																																							-1.814886	
 1 	 20																																																															1.484069																																																																0.000000	0.342265																																							-1.826334	
 1 	 21																																																															1.513803																																																																0.000000	0.332016																																							-1.845819	
 1 	 22																																																															1.791686																																																																0.000000	0.067220																																							-1.858906	
 1 	 23																																																															2.148452																																																																-0.280478	0.000000																																							-1.867974	
 1 	 24																																																															2.148452																																																																-0.277874	0.000000																																							-1.870578	
 2 	 1																																																															2.148452																																																																-0.273781	0.000000																																							-1.874671	
 2 	 2																																																															2.148452																																																																-0.255793	0.000000																																							-1.892659	
 2 	 3																																																															2.148452																																																																-0.229021	0.000000																																							-1.919432	
 2 	 4																																																															2.148452																																																																-0.189086	0.000000																																							-1.959366	
 2 	 5																																																															2.148452																																																																-0.138078	0.000000																																							-2.010375	
 2 	 6																																																															2.148452																																																																-0.078667	0.000000																																							-2.069786	
 2 	 7																																																															2.148452																																																																-0.021335	0.000000																																							-2.127117	
 2 	 8																																																															2.148452																																																																-0.016644	0.000000																																							-2.131809	
 2 	 9																																																															2.148452																																																																-0.051303	0.000000																																							-2.097150	
 2 	 10																																																															2.148452																																																																-0.099184	0.000000																																							-2.049269	
 2 	 11																																																															2.148452																																																																-0.148711	0.000000																																							-1.999742	
 2 	 12																																																															2.148452																																																																-0.179868	0.000000																																							-1.968585	
 2 	 13																																																															2.148452																																																																-0.167671	0.000000																																							-1.980781	
 2 	 14																																																															2.148452																																																																-0.079183	0.000000																																							-2.069270	
 2 	 15																																																															2.148452																																																																0.000000	0.052061																																							-2.200513	
 2 	 16																																																															2.148452																																																																0.000000	0.138544																																							-2.286996	
 2 	 17																																																															2.148452																																																																0.000000	0.165017																																							-2.313470	
 2 	 18																																																															2.148452																																																																0.000000	0.153936																																							-2.302388	
 2 	 19																																																															2.148452																																																																0.000000	0.138768																																							-2.287221	
 2 	 20																																																															2.148452																																																																0.000000	0.134010																																							-2.282462	
 2 	 21																																																															2.148452																																																																0.000000	0.132820																																							-2.281272	
 2 	 22																																																															2.148452																																																																0.000000	0.120399																																							-2.268851	
 2 	 23																																																															2.148452																																																																0.000000	0.101214																																							-2.249666	
 2 	 24																																																															2.148452																																																																0.000000	0.086264																																							-2.234716	
 3 	 1																																																															1.809573																																																																-0.162371	0.000000																																							-1.647202	
 3 	 2																																																															2.148452																																																																-0.780979	0.277050																																							-1.644523	
 3 	 3																																																															1.643259																																																																0.000000	0.000000																																							-1.643259	
 3 	 4																																																															2.148452																																																																-0.507423	0.000000																																							-1.641029	
 3 	 5																																																															1.640580																																																																0.000000	0.000000																																							-1.640580	
 3 	 6																																																															0.581435																																																																0.000000	1.058030																																							-1.639465	
