Name	Used	Potential
ELECTRICITY	0.000000	100000000.000000
GASOLINE	0.000000	100000000.000000
DIESEL	0.000000	100000000.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	100000000.000000
NG	0.000000	100000000.000000
SLF	0.000000	0.000000
SNG	0.000000	0.000000
WOOD	14407.334146	32412.810000
WET_BIOMASS	279.120000	279.120000
COAL	0.000000	100000000.000000
URANIUM	0.000000	100000000.000000
WASTE	755.950000	755.950000
H2	0.000000	0.000000
ELEC_EXPORT	0.000000	100000000.000000
CO2_EMISSIONS	3456.432126	100000000.000000
RES_WIND	18354.895916	100000000.000000
RES_SOLAR	28.071973	100000000.000000
RES_HYDRO	23.975691	100000000.000000
RES_GEO	0.000000	100000000.000000
CO2_ATM	0.000000	100000000.000000
CO2_INDUSTRY	0.000000	100000000.000000
CO2_CAPTURED	78.524259	100000000.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
