Time	DAM_STORAGE	PHS	BATT_LI	CAES	BEV_BATT	PHEV_BATT	TS_DEC_HP_ELEC	TS_DEC_DIRECT_ELEC	TS_DHN_DAILY	TS_DHN_SEASONAL	TS_DEC_THHP_GAS	TS_DEC_COGEN_GAS	TS_DEC_COGEN_OIL	TS_DEC_ADVCOGEN_GAS	TS_DEC_ADVCOGEN_H2	TS_DEC_BOILER_GAS	TS_DEC_BOILER_WOOD	TS_DEC_BOILER_OIL	SEASONAL_NG	SEASONAL_H2	CO2_STORAGE	SLF_STO	PT_STORAGE	ST_STORAGE	TS_MOLTEN_SALT	TS_COLD	DAM_STORAGE_in	DAM_STORAGE_out	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	CAES_in	CAES_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_DEC_HP_ELEC_in	TS_DEC_HP_ELEC_out	TS_DEC_DIRECT_ELEC_in	TS_DEC_DIRECT_ELEC_out	TS_DHN_DAILY_in	TS_DHN_DAILY_out	TS_DHN_SEASONAL_in	TS_DHN_SEASONAL_out	TS_DEC_THHP_GAS_in	TS_DEC_THHP_GAS_out	TS_DEC_COGEN_GAS_in	TS_DEC_COGEN_GAS_out	TS_DEC_COGEN_OIL_in	TS_DEC_COGEN_OIL_out	TS_DEC_ADVCOGEN_GAS_in	TS_DEC_ADVCOGEN_GAS_out	TS_DEC_ADVCOGEN_H2_in	TS_DEC_ADVCOGEN_H2_out	TS_DEC_BOILER_GAS_in	TS_DEC_BOILER_GAS_out	TS_DEC_BOILER_WOOD_in	TS_DEC_BOILER_WOOD_out	TS_DEC_BOILER_OIL_in	TS_DEC_BOILER_OIL_out	SEASONAL_NG_in	SEASONAL_NG_out	SEASONAL_H2_in	SEASONAL_H2_out	CO2_STORAGE_in	CO2_STORAGE_out	SLF_STO_in	SLF_STO_out	PT_STORAGE_in	PT_STORAGE_out	ST_STORAGE_in	ST_STORAGE_out	TS_MOLTEN_SALT_in	TS_MOLTEN_SALT_out	TS_COLD_in	TS_COLD_out	
 1	1396.954966	441.809796					66.282134	0.021655		6841.725420										37.085122		146.060746		19.465980		111.162292	-1.253460	0.000000	0.000000	0.000000									-2.530996	0.000000	-0.021655	0.000000			0.000000	9.519422																			-8.538161	0.000000			-0.899142	0.000000			0.000000	0.000000			0.000000	0.000000	
 2	1397.560199	443.551164					66.891649	1.064654		6830.794026										45.996911		146.984564		19.459069		111.923889	-0.605233	0.000000	-1.741367	0.000000									-1.155679	0.000000	-1.043177	0.000000			0.000000	10.516786																			-8.911789	0.000000			-0.923818	0.000000			0.000000	0.000000			-1.677574	0.000000	
 3	1397.995658	443.551164					66.669018	2.099058		6819.263474										54.981351		147.916608		19.452161		127.824996	-0.435459	0.000000	0.000000	0.000000									-0.328557	0.000000	-1.043177	0.000000			0.000000	11.116606																			-8.984440	0.000000			-0.932044	0.000000			0.000000	0.000000			-16.823360	0.000000	
 4	1398.313157	443.551164					65.685114	3.124939		6807.180223										63.166628		148.758173		19.445256		132.257144	-0.317499	0.000000	0.000000	0.000000									0.000000	0.434551	-1.043177	0.000000			0.000000	11.670003																			-8.185276	0.000000			-0.841565	0.000000			0.000000	0.000000			-5.485426	0.000000	
 5	1398.687982	443.551164					63.620489	4.142367		6794.308099										69.723373		149.435231		19.438353		131.167345	-0.374825	0.000000	0.000000	0.000000									0.000000	1.523380	-1.043177	0.000000			0.000000	12.459609																			-6.556746	0.000000			-0.677058	0.000000			0.000000	0.000000			0.000000	0.000000	
 6	1399.057295	443.551164					60.477350	4.172709		6780.642292										69.723373		149.717473		19.431452		130.086526	-0.369313	0.000000	0.000000	0.000000									0.000000	2.618906	-0.064475	0.000000			0.000000	13.254072																			0.000000	0.000000			-0.282242	0.000000			0.000000	0.000000			0.000000	0.000000	
 7	1395.110172	443.551164					41.187543	3.095149		6766.272920										67.224708		149.382817		12.366116		129.014613	-0.812489	4.759612	0.000000	0.000000									0.000000	18.791473	0.000000	1.043177			0.000000	13.958465																			0.000000	2.498666			0.000000	0.334657			0.000000	7.058438			0.000000	0.000000	
 8	1387.927511	439.913701					22.056685	2.026467		6752.042924										66.373474		149.212668		12.361726		127.951533	-3.143020	10.325681	0.000000	3.637462									0.000000	18.791473	0.000000	1.043177			0.000000	13.819960																			0.000000	0.851234			0.000000	0.170149			0.000000	0.000000			0.000000	0.000000	
 9	1392.128861	426.280339					3.083464	0.966592		6742.331871										66.345921		149.124770		12.357337		126.897212	-4.201350	0.000000	0.000000	13.633362									0.000000	18.791473	0.000000	1.043177			0.000000	9.301880																			0.000000	0.027553			0.000000	0.087898			0.000000	0.000000			0.000000	0.000000	
 10	1397.932038	417.276763					0.000000	0.000000		6737.519612										65.082777		148.913489		12.352950		125.851579	-5.803177	0.000000	0.000000	9.003577									0.000000	3.058057	0.000000	0.958627			0.000000	4.403674																			0.000000	1.263144			0.000000	0.211281			0.000000	0.000000			0.000000	0.000000	
