Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1	0.000000															0.000000															0.000000		0.000000		25.094466	45.410977	1.518042	0.944917														-10.474744	-5.287684										-6.972288										-9.323232	0.000000	-0.463151	-0.111569					-0.123785					0.000000	0.000000		-0.580861													-12.766126				0.000000									-1.518042	0.000000	-5.671959	0.000000																																																	-19.674962	
 1 	 2	0.000000															0.000000															0.000000		0.000000		26.832448	45.955233	0.903990	0.897347														-10.474744	-5.287684										-7.052498										-9.379733	0.000000	-0.463151	-0.044627					-0.049514					0.000000	0.000000		-0.580861													-12.766126				0.000392									-0.903990	0.000000	-10.338337	0.000000																																																	-17.248145	
 1 	 3	0.000000															0.000000															0.000000		0.000000		28.845507	46.578749	0.621769	0.871400														-10.474744	-5.287684										-7.038178										-9.369646	0.000000	-0.463151	-0.022314					-0.024757					0.000000	0.000000		-0.580861													-12.766126				0.000196									-0.621769	0.000000	-14.210809	0.000000																																																	-16.057582	
 1 	 4	0.000000															0.000000															0.000000		0.000000		30.796048	47.022607	0.524755	0.855183														-10.474744	-5.287684										-11.094547										-9.397009	0.000000	-0.463151	-0.267765					-0.297084					0.000000	0.000000		-0.580861													-12.766126				0.000000									-0.524755	0.000000	-12.347768	0.000000																																																	-15.697099	
 1 	 5	0.000000															0.000000															0.000000		0.000000		32.634058	47.049028	0.528063	0.856264														-10.474744	-5.287684										-13.385094										-9.428618	0.000000	-0.463151	-0.714039					-0.792225					0.000000	0.000000		-0.580861													-12.766126				0.000000									-0.528063	0.000000	-10.790934	0.000000																																																	-15.855875	
 1 	 6	0.000000															0.000000															0.000000		0.000000		34.484572	46.885223	0.689017	0.853020														-10.474744	-5.287684										-13.471045										-9.489162	0.000000	-0.463151	-1.785096					-1.980560					0.000000	0.000000		-0.580861													-12.766126				0.000000									-0.689017	0.000000	-9.161356	0.000000																																																	-16.763029	
 1 	 7	0.000000															0.000000															0.000000		0.000000		35.509857	46.885223	1.048408	0.867075														-10.474744	-5.287684										-14.029189										-10.547369	0.000000	-0.463151	-3.458620					-3.837331					0.000000	0.000000		-0.580861													-12.766126				0.009567									-1.048408	0.000000	-1.409667	0.000000																																																	-20.416978	
 1 	 8	0.000000															0.000000															0.000000		0.000000		36.147534	46.578749	2.322814	0.907077														-10.474744	-5.287684										-12.929124										-8.447864	0.000000	-0.463151	-3.012342					-3.342187					0.000000	0.000000		-0.580861													-12.766126				0.022378									-2.322814	0.000000	0.000000	0.000000																																																	-26.351656	
 1 	 9	0.000000															0.000000															1.410302		7.729010		33.009162	45.643475	4.712876	0.950323														-10.474744	-5.287684										-11.468410										-7.722083	0.000000	-0.463151	-2.789213					-3.094625					0.000000	0.000000		-0.580861													-12.766126				0.000000									-4.712876	0.000000	-0.449768	0.000000																																																	-33.645607	
 1 	 10	0.000000															0.000000															3.269335		15.469217		25.882184	45.410977	5.013839	1.036814														-10.474744	-5.287684										-8.961839										-5.599510	0.000000	-0.463151	-3.123926					-3.465989					0.000000	0.000000		-0.580861													-12.766126				0.000000									-5.013839	0.000000	-2.111131	0.000000																																																	-38.233567	
 1 	 11	0.000000															0.000000															4.423219		23.081564		27.470125	44.903710	5.000610	1.015191														-10.474744	-5.287684										-6.765010										-3.701017	0.000000	-0.463151	-3.570185					-3.961112					0.000000	0.000000		-0.580861													-12.766126				0.022378									-5.000610	0.000000	-10.826366	0.000000																																																	-42.519933	
 1 	 12	0.000000															0.000000															4.679637		26.035700		34.009440	47.709532	4.621375	1.024922														-10.474744	-5.287684										-8.879539										-2.323279	0.000000	-0.463151	-3.927214					-4.357236					0.000000	0.000000		-0.580861													-12.766126				0.000000									-4.621375	0.000000	-18.540960	0.000000																																																	-45.858437	
 1 	 13	0.000000															0.000000															1.565499		26.035700		38.110579	48.977699	4.215682	1.004380														-10.474744	-5.287684										-9.759217										-3.505814	0.000000	-0.463151	-3.570185					-3.961112					0.000000	0.000000		-0.580861													-12.766126				0.000000									-4.215682	0.000000	-18.540960	0.000000																																																	-46.784003	
