Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																		70.505443																	-25.094466	-45.410977																																																																																																																																			0.000000	
 1 	 2																		72.787681																	-26.832448	-45.955233																																																																																																																																			0.000000	
 1 	 3																		75.424255																	-28.845507	-46.578749																																																																																																																																			0.000000	
 1 	 4																		77.818656																	-30.796048	-47.022607																																																																																																																																			0.000000	
 1 	 5																		79.683086																	-32.634058	-47.049028																																																																																																																																			0.000000	
 1 	 6																		81.369794																	-34.484572	-46.885223																																																																																																																																			0.000000	
 1 	 7																		82.395079																	-35.509857	-46.885223																																																																																																																																			0.000000	
 1 	 8																		82.726282																	-36.147534	-46.578749																																																																																																																																			0.000000	
 1 	 9																		78.652637																	-33.009162	-45.643475																																																																																																																																			0.000000	
 1 	 10																		71.293162																	-25.882184	-45.410977																																																																																																																																			0.000000	
 1 	 11																		72.373835																	-27.470125	-44.903710																																																																																																																																			0.000000	
 1 	 12																		81.718972																	-34.009440	-47.709532																																																																																																																																			0.000000	
 1 	 13																		87.088278																	-38.110579	-48.977699																																																																																																																																			0.000000	
 1 	 14																		88.031447																	-38.298131	-49.733316																																																																																																																																			0.000000	
 1 	 15																		84.508692																	-35.509857	-48.998836																																																																																																																																			0.000000	
 1 	 16																		79.877584																	-31.296187	-48.581397																																																																																																																																			0.000000	
 1 	 17																		81.590559																	-33.009162	-48.581397																																																																																																																																			0.000000	
 1 	 18																		86.676861																	-37.910523	-48.766338																																																																																																																																			0.000000	
 1 	 19																		88.642948																	-39.585988	-49.056960																																																																																																																																			0.000000	
 1 	 20																		89.483229																	-40.986377	-48.496853																																																																																																																																			0.000000	
 1 	 21																		90.935721																	-42.586821	-48.348900																																																																																																																																			0.000000	
 1 	 22																		94.033204																	-44.812439	-49.220765																																																																																																																																			0.000000	
 1 	 23																		95.335562																	-45.750199	-49.585363																																																																																																																																			0.000000	
 1 	 24																		95.655277																	-45.562647	-50.092630																																																																																																																																			0.000000	
 2 	 1																		61.428046																	-31.208663	-30.219383																																																																																																																																			0.000000	
 2 	 2																		59.557154																	-34.347034	-25.210120																																																																																																																																			0.000000	
 2 	 3																		61.589658																	-36.997770	-24.591888																																																																																																																																			0.000000	
 2 	 4																		60.432790																	-38.160592	-22.272198																																																																																																																																			0.000000	
 2 	 5																		58.834584																	-38.998325	-19.836259																																																																																																																																			0.000000	
 2 	 6																		62.787405																	-41.048894	-21.738511																																																																																																																																			0.000000	
 2 	 7																		61.609248																	-42.074179	-19.535069																																																																																																																																			0.000000	
 2 	 8																		58.004278																	-42.236724	-15.767554																																																																																																																																			0.000000	
 2 	 9																		50.823924																	-41.524026	-9.299898																																																																																																																																			0.000000	
 2 	 10																		50.936384																	-46.312855	-4.623529																																																																																																																																			0.000000	
 2 	 11																		56.543558																	-53.077233	-3.466325																																																																																																																																			0.000000	
 2 	 12																		64.515829																	-60.066673	-4.449156																																																																																																																																			0.000000	
 2 	 13																		72.800748																	-66.993596	-5.807152																																																																																																																																			0.000000	
 2 	 14																		77.768070																	-70.307015	-7.461054																																																																																																																																			0.000000	
 2 	 15																		78.494166																	-68.819102	-9.675064																																																																																																																																			0.000000	
 2 	 16																		73.037191																	-60.191708	-12.845484																																																																																																																																			0.000000	
 2 	 17																		69.576503																	-52.752143	-16.824360																																																																																																																																			0.000000	
 2 	 18																		72.863478																	-53.027219	-19.836259																																																																																																																																			0.000000	
 2 	 19																		73.819150																	-53.227275	-20.591876																																																																																																																																			0.000000	
 2 	 20																		75.984402																	-55.165313	-20.819089																																																																																																																																			0.000000	
 2 	 21																		76.342700																	-55.978038	-20.364662																																																																																																																																			0.000000	
 2 	 22																		77.853469																	-57.716021	-20.137449																																																																																																																																			0.000000	
 2 	 23																		78.493297																	-58.128635	-20.364662																																																																																																																																			0.000000	
 2 	 24																		78.000316																	-58.016104	-19.984212																																																																																																																																			0.000000	
 3 	 1																		94.574209																	-56.978316	-37.595893																																																																																																																																			0.000000	
 3 	 2																		89.520589																	-54.677677	-34.842912																																																																																																																																			0.000000	
 3 	 3																		81.503427																	-51.801879	-29.701548																																																																																																																																			0.000000	
 3 	 4																		72.784011																	-48.963591	-23.820420																																																																																																																																			0.000000	
 3 	 5																		66.122018																	-46.137807	-19.984212																																																																																																																																			0.000000	
 3 	 6																		60.862628																	-44.112244	-16.750384																																																																																																																																			0.000000	
 3 	 7																		56.758472																	-43.337029	-13.421443																																																																																																																																			0.000000	
 3 	 8																		52.228796																	-43.499574	-8.729222																																																																																																																																			0.000000	
 3 	 9																		53.718483																	-49.163647	-4.554836																																																																																																																																			0.000000	
 3 	 10																		58.664726																	-54.252559	-4.412167																																																																																																																																			0.000000	
 3 	 11																		65.279224																	-56.703239	-8.575985																																																																																																																																			0.000000	
 3 	 12																		73.452545																	-57.891069	-15.561476																																																																																																																																			0.000000	
 3 	 13																		81.156603																	-58.266173	-22.890430																																																																																																																																			0.000000	
 3 	 14																		87.017271																	-58.441222	-28.576049																																																																																																																																			0.000000	
 3 	 15																		92.031325																	-59.291458	-32.739867																																																																																																																																			0.000000	
 3 	 16																		94.043588																	-59.729079	-34.314509																																																																																																																																			0.000000	
 3 	 17																		92.579360																	-58.803822	-33.775537																																																																																																																																			0.000000	
 3 	 18																		86.897193																	-52.852170	-34.045023																																																																																																																																			0.000000	
 3 	 19																		86.908810																	-50.776594	-36.132216																																																																																																																																			0.000000	
 3 	 20																		88.159340																	-53.052226	-35.107114																																																																																																																																			0.000000	
 3 	 21																		87.541041																	-55.577927	-31.963114																																																																																																																																			0.000000	
 3 	 22																		89.991721																	-58.028607	-31.963114																																																																																																																																			0.000000	
 3 	 23																		88.609576																	-59.203933	-29.405642																																																																																																																																			0.000000	
 3 	 24																		88.931533																	-59.303961	-29.627572																																																																																																																																			0.000000	
 4 	 1																		46.424806																	-9.854015	-36.570791																																																																																																																																			0.000000	
 4 	 2																		67.035540																	-31.796326	-35.239214																																																																																																																																			0.000000	
 4 	 3																		64.491127																	-30.583489	-33.907638																																																																																																																																			0.000000	
 4 	 4																		61.111439																	-28.582934	-32.528506																																																																																																																																			0.000000	
 4 	 5																		59.022867																	-27.345090	-31.677776																																																																																																																																			0.000000	
 4 	 6																		39.751388																	-9.532004	-30.219383																																																																																																																																			0.000000	
 4 	 7																		44.187071																	-25.694632	-18.492439																																																																																																																																			0.000000	
 4 	 8																		43.528152																	-25.181990	-18.346162																																																																																																																																			0.000000	
 4 	 9																		53.086196																	-26.644896	-26.441300																																																																																																																																			0.000000	
 4 	 10																		66.725880																	-27.645174	-39.080706																																																																																																																																			0.000000	
 4 	 11																		57.118552																	-16.558317	-40.560235																																																																																																																																			0.000000	
 4 	 12																		59.816588																	-19.409590	-40.406998																																																																																																																																			0.000000	
 4 	 13																		54.103660																	-14.061260	-40.042400																																																																																																																																			0.000000	
 4 	 14																		70.997338																	-30.696020	-40.301318																																																																																																																																			0.000000	
 4 	 15																		73.295059																	-32.534031	-40.761029																																																																																																																																			0.000000	
 4 	 16																		76.577206																	-35.372318	-41.204887																																																																																																																																			0.000000	
 4 	 17																		79.134669																	-39.673512	-39.461157																																																																																																																																			0.000000	
 4 	 18																		71.204353																	-44.324803	-26.879550																																																																																																																																			0.000000	
 4 	 19																		85.498380																	-47.263119	-38.235261																																																																																																																																			0.000000	
 4 	 20																		89.106114																	-47.425664	-41.680450																																																																																																																																			0.000000	
 4 	 21																		60.525256																	-44.424831	-16.100425																																																																																																																																			0.000000	
 4 	 22																		81.003770																	-40.961370	-40.042400																																																																																																																																			0.000000	
 4 	 23																		76.828406																	-38.360648	-38.467758																																																																																																																																			0.000000	
 4 	 24																		72.874757																	-35.997492	-36.877265																																																																																																																																			0.000000	
 5 	 1																		57.932532																	-33.034169	-24.898362																																																																																																																																			0.000000	
 5 	 2																		56.290395																	-33.246728	-23.043667																																																																																																																																			0.000000	
 5 	 3																		56.787339																	-33.896909	-22.890430																																																																																																																																			0.000000	
 5 	 4																		55.908901																	-33.171708	-22.737193																																																																																																																																			0.000000	
 5 	 5																		52.339232																	-31.821333	-20.517899																																																																																																																																			0.000000	
 5 	 6																		40.953650																	-30.158371	-10.795279																																																																																																																																			0.000000	
 5 	 7																		38.249514																	-30.883573	-7.365942																																																																																																																																			0.000000	
 5 	 8																		35.873361																	-29.358149	-6.515212																																																																																																																																			0.000000	
 5 	 9																		32.525560																	-28.382878	-4.142682																																																																																																																																			0.000000	
 5 	 10																		31.889416																	-29.120583	-2.768833																																																																																																																																			0.000000	
 5 	 11																		32.667333																	-30.595993	-2.071341																																																																																																																																			0.000000	
 5 	 12																		34.975929																	-32.709079	-2.266850																																																																																																																																			0.000000	
 5 	 13																		38.706912																	-35.272291	-3.434621																																																																																																																																			0.000000	
 5 	 14																		43.741944																	-38.135585	-5.606359																																																																																																																																			0.000000	
 5 	 15																		48.603403																	-40.423721	-8.179683																																																																																																																																			0.000000	
 5 	 16																		52.517209																	-41.949144	-10.568065																																																																																																																																			0.000000	
 5 	 17																		54.890813																	-42.911911	-11.978902																																																																																																																																			0.000000	
 5 	 18																		55.980675																	-43.262008	-12.718667																																																																																																																																			0.000000	
 5 	 19																		56.804831																	-43.124470	-13.680361																																																																																																																																			0.000000	
 5 	 20																		60.758979																	-42.486793	-18.272185																																																																																																																																			0.000000	
 5 	 21																		64.980858																	-42.861897	-22.118961																																																																																																																																			0.000000	
 5 	 22																		63.553590																	-41.048894	-22.504695																																																																																																																																			0.000000	
 5 	 23																		59.332634																	-39.348422	-19.984212																																																																																																																																			0.000000	
 5 	 24																		53.059998																	-38.048061	-15.011937																																																																																																																																			0.000000	
 6 	 1																		55.595141																	-35.684905	-19.910235																																																																																																																																			0.000000	
 6 	 2																		51.638909																	-34.021944	-17.616965																																																																																																																																			0.000000	
 6 	 3																		50.867689																	-32.521527	-18.346162																																																																																																																																			0.000000	
 6 	 4																		49.959084																	-31.021111	-18.937973																																																																																																																																			0.000000	
 6 	 5																		48.170072																	-30.045840	-18.124232																																																																																																																																			0.000000	
 6 	 6																		38.405524																	-26.907469	-11.498055																																																																																																																																			0.000000	
