Name	Used	Potential
ELECTRICITY	0.000000	100000000.000000
GASOLINE	0.000000	100000000.000000
DIESEL	0.000000	100000000.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	100000000.000000
NG	0.000000	100000000.000000
SLF	0.000000	0.000000
SNG	0.000000	0.000000
WOOD	34732.797459	81898.460000
WET_BIOMASS	158702.980000	158702.980000
COAL	0.000000	100000000.000000
URANIUM	0.000000	100000000.000000
WASTE	38204.550000	38204.550000
H2	0.000000	0.000000
ELEC_EXPORT	0.000000	100000000.000000
CO2_EMISSIONS	43862.206792	100000000.000000
RES_WIND	463535.585681	100000000.000000
RES_SOLAR	236294.503193	100000000.000000
RES_HYDRO	29140.389644	100000000.000000
RES_GEO	0.000000	100000000.000000
CO2_ATM	0.000000	100000000.000000
CO2_INDUSTRY	0.000000	100000000.000000
CO2_CAPTURED	0.000000	100000000.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
