Time	DAM_STORAGE	PHS	BATT_LI	CAES	BEV_BATT	PHEV_BATT	TS_DEC_HP_ELEC	TS_DEC_DIRECT_ELEC	TS_DHN_DAILY	TS_DHN_SEASONAL	TS_DEC_THHP_GAS	TS_DEC_COGEN_GAS	TS_DEC_COGEN_OIL	TS_DEC_ADVCOGEN_GAS	TS_DEC_ADVCOGEN_H2	TS_DEC_BOILER_GAS	TS_DEC_BOILER_WOOD	TS_DEC_BOILER_OIL	SEASONAL_NG	SEASONAL_H2	CO2_STORAGE	SLF_STO	PT_STORAGE	ST_STORAGE	TS_MOLTEN_SALT	TS_COLD	DAM_STORAGE_in	DAM_STORAGE_out	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	CAES_in	CAES_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_DEC_HP_ELEC_in	TS_DEC_HP_ELEC_out	TS_DEC_DIRECT_ELEC_in	TS_DEC_DIRECT_ELEC_out	TS_DHN_DAILY_in	TS_DHN_DAILY_out	TS_DHN_SEASONAL_in	TS_DHN_SEASONAL_out	TS_DEC_THHP_GAS_in	TS_DEC_THHP_GAS_out	TS_DEC_COGEN_GAS_in	TS_DEC_COGEN_GAS_out	TS_DEC_COGEN_OIL_in	TS_DEC_COGEN_OIL_out	TS_DEC_ADVCOGEN_GAS_in	TS_DEC_ADVCOGEN_GAS_out	TS_DEC_ADVCOGEN_H2_in	TS_DEC_ADVCOGEN_H2_out	TS_DEC_BOILER_GAS_in	TS_DEC_BOILER_GAS_out	TS_DEC_BOILER_WOOD_in	TS_DEC_BOILER_WOOD_out	TS_DEC_BOILER_OIL_in	TS_DEC_BOILER_OIL_out	SEASONAL_NG_in	SEASONAL_NG_out	SEASONAL_H2_in	SEASONAL_H2_out	CO2_STORAGE_in	CO2_STORAGE_out	SLF_STO_in	SLF_STO_out	PT_STORAGE_in	PT_STORAGE_out	ST_STORAGE_in	ST_STORAGE_out	TS_MOLTEN_SALT_in	TS_MOLTEN_SALT_out	TS_COLD_in	TS_COLD_out	
 1							0.516021	1.277427		2101.548416									1852.691704	331.344502		66.346505		0.021474															-0.516021	0.000000	0.000000	0.430648			-0.017821	0.000000																	-0.269056	0.000000	-2.083837	0.000000			-1.138081	0.000000			0.000000	0.000000					
 2							0.511769	2.522621		2101.490293									1852.960760	331.730449		67.484585		0.021466															0.000000	0.000000	-1.255719	0.000000			-0.069230	0.000000																	-0.269056	0.000000	-0.385947	0.000000			-1.138081	0.000000			0.000000	0.000000					
 3							0.946355	4.245651		2101.471931									1853.229816	331.730449		68.622666		0.021459															-0.438803	0.000000	-1.743817	0.000000			-0.108988	0.000000																	-0.269056	0.000000	0.000000	0.000000			-1.138081	0.000000			0.000000	0.000000					
 4							4.357673	5.958015		2101.479636									1853.499091	331.730449		68.065369		0.021451															-3.419116	0.000000	-1.747348	0.000000			-0.135054	0.000000																	-0.269275	0.000000	0.000000	0.000000			0.000000	0.557297			0.000000	0.000000					
 5							7.740882	7.659427		2101.510642									1854.533205	331.730449		68.430664		0.021444															-3.419116	0.000000	-1.750505	0.000000			-0.158356	0.000000																	-1.034114	0.000000	0.000000	0.000000			-0.365295	0.000000			0.000000	0.000000					
 6							11.096213	7.752448		2101.605456									1855.377305	331.730449		67.873366		0.021436															-3.419116	0.000000	-0.156135	0.000000			-0.222165	0.000000																	-0.844100	0.000000	0.000000	0.000000			0.000000	0.557297			0.000000	0.000000					
 7							10.619935	7.688568		2101.802074									1855.646361	331.730449		69.011447		0.021428															0.000000	0.384845	0.000000	0.000000			-0.323975	0.000000																	-0.269056	0.000000	0.000000	0.000000			-1.138081	0.000000			0.000000	0.000000					
 8							9.023141	7.625214		2102.106044									1857.042116	331.730449		69.011447		0.021421															0.000000	1.509285	0.000000	0.000000			-0.431340	0.000000																	-1.395756	0.000000	0.000000	0.000000			0.000000	0.000000			0.000000	0.000000					
 9							11.080434	7.562382		2102.492534									1857.311392	331.730449		68.454150		0.021413															-2.131644	0.000000	0.000000	0.000000			-0.513878	0.000000																	-0.269275	0.000000	0.000000	0.000000			0.000000	0.557297			0.000000	0.000000					
 10							13.676464	6.848142		2102.935732									1857.580448	331.730449		69.592230		0.021405															-2.687333	0.000000	0.000000	0.651926			-0.570608	0.000000																	-0.269056	0.000000	0.000000	0.000000			-1.138081	0.000000			0.000000	0.000000					
