Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																																																															13.898394										2.458282																																																						-0.237591	0.000000	-1.277381	0.000000																																					-14.841704	
 1 	 2																																																															13.898394										2.458282																																																						-0.192367	0.000000	-1.273471	0.000000																																					-14.890837	
 1 	 3																																																															13.898394										2.458282																																																						-0.168561	0.000000	-1.271413	0.000000																																					-14.916702	
 1 	 4																																																															13.898394										2.458282																																																						-0.132811	0.000000	-1.268323	0.000000																																					-14.955542	
 1 	 5																																																															13.898394										1.907969																																																						-0.051068	0.000000	-0.710943	0.000000																																					-15.044352	
 1 	 6																																																															13.898394										1.659441																																																						0.000000	0.064401	-0.452434	0.000000																																					-15.169802	
 1 	 7																																																															13.898394										1.800082																																																						0.000000	0.162461	-0.584598	0.000000																																					-15.276339	
 1 	 8																																																															13.898394										1.703762																																																						0.000000	0.219183	-0.483375	0.000000																																					-15.337964	
 1 	 9																																																															13.898394										1.354799																																																						0.000000	0.067600	-0.147516	0.000000																																					-15.173277	
 1 	 10																																																															13.898394										0.661693																																																						-0.256661	0.000000	0.000000	0.517560																																					-14.820986	
 1 	 11																																																															13.428384										0.000000																																																						-0.085890	0.000000	0.000000	1.153385																																					-14.495879	
 1 	 12																																																															12.756817										0.000000																																																						0.000000	0.428951	0.000000	1.139837																																					-14.325606	
 1 	 13																																																															13.898394										0.000000																																																						-0.681289	0.000000	0.000000	1.142546																																					-14.359652	
 1 	 14																																																															13.898394										0.679495																																																						-0.484036	0.000000	0.000000	0.480102																																					-14.573956	
 1 	 15																																																															13.898394										0.983439																																																						-0.311399	0.000000	0.000000	0.191083																																					-14.761516	
 1 	 16																																																															13.898394										0.576425																																																						-0.176496	0.000000	0.000000	0.609758																																					-14.908080	
 1 	 17																																																															13.898394										0.359761																																																						-0.069327	0.000000	0.000000	0.835686																																					-15.024514	
 1 	 18																																																															13.898394										0.654014																																																						0.000000	0.026303	0.000000	0.549700																																					-15.128411	
 1 	 19																																																															13.898394										0.875379																																																						0.000000	0.112824	0.000000	0.335814																																					-15.222411	
 1 	 20																																																															13.898394										1.070185																																																						0.000000	0.196187	0.000000	0.148214																																					-15.312980	
 1 	 21																																																															13.898394										1.290249																																																						0.000000	0.264448	-0.065949	0.000000																																					-15.387142	
 1 	 22																																																															13.898394										0.934714																																																						0.000000	0.317202	0.000000	0.294146																																					-15.444457	
 1 	 23																																																															13.898394										1.157623																																																						0.000000	0.378743	0.000000	0.076557																																					-15.511317	
 1 	 24																																																															13.898394										2.070074																																																						0.000000	0.442226	-0.830406	0.000000																																					-15.580288	
 2 	 1																																																															9.948547										0.859997																																																						0.000000	0.000000	0.000000	0.000000																																					-10.808544	
 2 	 2																																																															9.989398										0.863529																																																						0.000000	0.000000	0.000000	0.000000																																					-10.852927	
 2 	 3																																																															10.025918										1.950407																																																						0.000000	0.000000	-1.083721	0.000000																																					-10.892603	
 2 	 4																																																															13.471634										0.868985																																																						-3.419116	0.000000	0.000000	0.000000																																					-10.921503	
 2 	 5																																																															10.063206										0.869909																																																						0.000000	0.000000	0.000000	0.000000																																					-10.933115	
 2 	 6																																																															10.074340										0.870871																																																						0.000000	0.000000	0.000000	0.000000																																					-10.945212	
 2 	 7																																																															10.084664										2.458282																																																						0.000000	0.000000	-1.586518	0.000000																																					-10.956428	
 2 	 8																																																															10.029886										0.867029																																																						0.000000	0.000000	0.000000	0.000000																																					-10.896914	
 2 	 9																																																															9.877492										0.853855																																																						0.000000	0.000000	0.000000	0.000000																																					-10.731347	
 2 	 10																																																															9.717569										0.840031																																																						0.000000	0.000000	0.000000	0.000000																																					-10.557599	
 2 	 11																																																															9.611978										0.830903																																																						0.000000	0.000000	0.000000	0.000000																																					-10.442881	
 2 	 12																																																															9.553637										1.784196																																																						0.000000	0.000000	-0.958337	0.000000																																					-10.379496	
 2 	 13																																																															9.556835										0.826136																																																						0.000000	0.000000	0.000000	0.000000																																					-10.382971	
 2 	 14																																																															13.060488										0.833444																																																						-3.419116	0.000000	0.000000	0.000000																																					-10.474816	
 2 	 15																																																															9.768744										0.844454																																																						0.000000	0.000000	0.000000	0.000000																																					-10.613199	
 2 	 16																																																															10.029299										2.458282																																																						-0.166504	0.000000	-1.605698	0.000000																																					-10.715380	
 2 	 17																																																															9.957657										0.860785																																																						0.000000	0.000000	0.000000	0.000000																																					-10.818441	
 2 	 18																																																															13.278647										0.000000																																																						-3.254308	0.000000	0.000000	0.866549																																					-10.890888	
 2 	 19																																																															10.057660										0.818970																																																						0.000000	0.000000	0.000000	0.050460																																					-10.927089	
 2 	 20																																																															7.486028										0.873342																																																						0.000000	2.616896	0.000000	0.000000																																					-10.976267	
 2 	 21																																																															9.046314										0.000000																																																						0.000000	1.113332	0.000000	0.878246																																					-11.037892	
 2 	 22																																																															8.490343										0.000000																																																						0.000000	1.700681	0.000000	0.880958																																					-11.071982	
 2 	 23																																																															6.771503										0.000000																																																						0.000000	3.419116	0.000000	0.880923																																					-11.071542	
 2 	 24																																																															9.560807										0.000000																																																						0.000000	0.616330	0.000000	0.879758																																					-11.056895	
 3 	 1																																																															9.422297										0.000000																																																						0.000000	0.000000	0.000000	0.814506																																					-10.236803	
 3 	 2																																																															9.398085										0.000000																																																						0.000000	0.000000	0.000000	0.812413																																					-10.210498	
 3 	 3																																																															9.436953										0.794320																																																						0.000000	0.000000	0.000000	0.021453																																					-10.252726	
 3 	 4																																																															9.452055										0.826826																																																						0.000000	0.000000	-0.009748	0.000000																																					-10.269133	
 3 	 5																																																															9.877973										2.340172																																																						-0.398954	0.000000	-1.520763	0.000000																																					-10.298428	
 3 	 6																																																															12.336417										0.000000																																																						-3.051857	0.000000	0.000000	0.802599																																					-10.087159	
 3 	 7																																																															5.365429										0.000000																																																						0.000000	3.419116	0.000000	0.759376																																					-9.543921	
 3 	 8																																																															8.134445										0.703178																																																						0.000000	0.000000	0.000000	0.000000																																					-8.837623	
 3 	 9																																																															7.846648										0.644790																																																						-0.387648	0.000000	0.000000	0.000000																																					-8.103789	
 3 	 10																																																															6.964127										2.039642																																																						0.000000	0.000000	-1.437632	0.000000																																					-7.566137	
 3 	 11																																																															10.056998										0.573809																																																						-3.419116	0.000000	0.000000	0.000000																																					-7.211691	
 3 	 12																																																															6.454921										0.557993																																																						0.000000	0.000000	0.000000	0.000000																																					-7.012914	
 3 	 13																																																															6.407309										2.458282																																																						0.000000	0.000000	-1.904405	0.000000																																					-6.961185	
 3 	 14																																																															9.927642										0.562626																																																						-3.419116	0.000000	0.000000	0.000000																																					-7.071153	
 3 	 15																																																															6.931575										2.458282																																																						0.000000	0.000000	-1.859086	0.000000																																					-7.530772	
 3 	 16																																																															10.963058										0.652132																																																						-3.419116	0.000000	0.000000	0.000000																																					-8.196074	
 3 	 17																																																															8.036021										0.694670																																																						0.000000	0.000000	0.000000	0.000000																																					-8.730691	
 3 	 18																																																															11.759964										2.368916																																																						-3.419116	0.000000	-1.647896	0.000000																																					-9.061868	
 3 	 19																																																															8.726181										0.000000																																																						-0.112694	0.000000	0.000000	0.744589																																					-9.358076	
 3 	 20																																																															6.754930										0.000000																																																						0.000000	2.051802	0.000000	0.761294																																					-9.568026	
 3 	 21																																																															7.983064										0.000000																																																						0.000000	0.988370	0.000000	0.775531																																					-9.746964	
 3 	 22																																																															5.714265										0.000000																																																						0.000000	3.419116	0.000000	0.789531																																					-9.922912	
 3 	 23																																																															5.855929										0.000000																																																						0.000000	3.419116	0.000000	0.801777																																					-10.076822	
 3 	 24																																																															5.967471										0.000000																																																						0.000000	3.419116	0.000000	0.811419																																					-10.198006	
 4 	 1																																																															8.923915										0.296168																																																						-0.516021	0.000000	0.000000	0.430648																																					-9.134711	
 4 	 2																																																															8.327325										1.975571																																																						0.000000	0.000000	-1.255719	0.000000																																					-9.047177	
 4 	 3																																																															8.703818										2.458282																																																						-0.438803	0.000000	-1.743817	0.000000																																					-8.979481	
 4 	 4																																																															11.643280										2.458282																																																						-3.419116	0.000000	-1.747348	0.000000																																					-8.935098	
 4 	 5																																																															11.606761										2.458282																																																						-3.419116	0.000000	-1.750505	0.000000																																					-8.895422	
 4 	 6																																																															11.506758										0.855267																																																						-3.419116	0.000000	-0.156135	0.000000																																					-8.786774	
 4 	 7																																																															7.543237										0.685339																																																						0.000000	0.384845	0.000000	0.000000																																					-8.613422	
 4 	 8																																																															6.250533										0.670794																																																						0.000000	1.509285	0.000000	0.000000																																					-8.430612	
 4 	 9																																																															9.762106										0.659612																																																						-2.131644	0.000000	0.000000	0.000000																																					-8.290074	
 4 	 10																																																															10.228886										0.000000																																																						-2.687333	0.000000	0.000000	0.651926																																					-8.193479	
 4 	 11																																																															6.684610										0.000000																																																						0.000000	0.812488	0.000000	0.648083																																					-8.145181	
 4 	 12																																																															4.084743										0.000000																																																						0.000000	3.419116	0.000000	0.648667																																					-8.152527	
 4 	 13																																																															4.117659										0.000000																																																						0.000000	3.419116	0.000000	0.651513																																					-8.188288	
 4 	 14																																																															4.150211										0.000000																																																						0.000000	3.419116	0.000000	0.654327																																					-8.223654	
 4 	 15																																																															5.348590										0.000000																																																						0.000000	2.246932	0.000000	0.656591																																					-8.252113	
 4 	 16																																																															7.611798										0.000000																																																						0.000000	0.000000	0.000000	0.657998																																					-8.269796	
 4 	 17																																																															7.616940										0.000000																																																						0.000000	0.000000	0.000000	0.658443																																					-8.275382	
 4 	 18																																																															7.590745										0.000000																																																						0.000000	0.000000	0.000000	0.656178																																					-8.246923	
 4 	 19																																																															7.571311										0.000000																																																						0.000000	0.000000	0.000000	0.654498																																					-8.225809	
 4 	 20																																																															7.574469										0.000000																																																						0.000000	0.000000	0.000000	0.654771																																					-8.229240	
 4 	 21																																																															7.586777										1.013459																																																						0.000000	0.000000	-0.357623	0.000000																																					-8.242612	
 4 	 22																																																															7.601069										1.059521																																																						0.000000	0.000000	-0.402451	0.000000																																					-8.258139	
 4 	 23																																																															7.616535										0.824429																																																						0.000000	0.000000	-0.166021	0.000000																																					-8.274942	
 4 	 24																																																															7.638398										1.473211																																																						0.000000	0.000000	-0.812913	0.000000																																					-8.298695	
 5 	 1																																																															10.116707										2.272242																																																						-3.083145	0.000000	-1.664229	0.000000																																					-7.641575	
 5 	 2																																																															10.555475										2.458282																																																						-3.419116	0.000000	-1.841383	0.000000																																					-7.753258	
 5 	 3																																																															10.616570										1.911516																																																						-3.419116	0.000000	-1.289335	0.000000																																					-7.819634	
 5 	 4																																																															10.149424										0.000000																																																						-2.945209	0.000000	0.000000	0.622765																																					-7.826980	
 5 	 5																																																															3.669589										0.000000																																																						0.000000	3.419116	0.000000	0.612780																																					-7.701485	
 5 	 6																																																															3.455696										0.000000																																																						0.000000	3.419116	0.000000	0.594290																																					-7.469102	
 5 	 7																																																															4.941797										0.000000																																																						0.000000	1.645679	0.000000	0.569451																																					-7.156927	
 5 	 8																																																															9.251033										0.000000																																																						-3.018345	0.000000	0.000000	0.538782																																					-6.771470	
 5 	 9																																																															9.268837										0.399859																																																						-3.419116	0.000000	0.000000	0.105817																																					-6.355398	
 5 	 10																																																															8.939840										0.192666																																																						-3.419116	0.000000	0.000000	0.284571																																					-5.997960	
 5 	 11																																																															5.416326										0.000000																																																						-0.112694	0.000000	0.000000	0.458470																																					-5.762102	
 5 	 12																																																															2.078114										0.000000																																																						0.000000	3.135030	0.000000	0.450648																																					-5.663792	
 5 	 13																																																															1.774189										0.000000																																																						0.000000	3.419116	0.000000	0.448933																																					-5.642238	
 5 	 14																																																															1.810709										0.000000																																																						0.000000	3.419116	0.000000	0.452090																																					-5.681914	
 5 	 15																																																															1.931724										0.000000																																																						0.000000	3.419116	0.000000	0.462551																																					-5.813391	
 5 	 16																																																															5.614370										0.000000																																																						0.000000	0.000000	0.000000	0.485332																																					-6.099702	
 5 	 17																																																															6.046164										0.522658																																																						0.000000	0.000000	0.000000	0.000000																																					-6.568822	
 5 	 18																																																															6.552576										0.566434																																																						0.000000	0.000000	0.000000	0.000000																																					-7.119010	
 5 	 19																																																															6.782340										0.586296																																																						0.000000	0.000000	0.000000	0.000000																																					-7.368636	
 5 	 20																																																															6.977609										0.603176																																																						0.000000	0.000000	0.000000	0.000000																																					-7.580785	
