Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																																																					5.707559																																																									0.000000																							0.000000	3.408527																																	-9.116085	
 1 	 2																																																					5.707559																																																									0.000000																							0.000000	3.437383																																	-9.144942	
 1 	 3																																																					5.707559																																																									0.000000																							0.000000	3.452573																																	-9.160132	
 1 	 4																																																					5.707559																																																									0.000000																							0.000000	3.475384																																	-9.182943	
 1 	 5																																																					5.707559																																																									0.000000																							0.000000	3.527542																																	-9.235101	
 1 	 6																																																					2.451025																																																									0.000000																							0.000000	6.629796																																	-9.080821	
 1 	 7																																																					0.000000																																																									0.000000																							0.000000	8.971818																																	-8.971818	
 1 	 8																																																					0.000000																																																									0.000000																							0.000000	9.008011																																	-9.008011	
 1 	 9																																																					0.000000																																																									0.000000																							0.000000	8.911290																																	-8.911290	
 1 	 10																																																					0.000000																																																									0.000000																							0.000000	8.704389																																	-8.704389	
 1 	 11																																																					0.000000																																																									0.000000																							0.000000	8.513453																																	-8.513453	
 1 	 12																																																					0.000000																																																									0.000000																							0.000000	8.413451																																	-8.413451	
 1 	 13																																																					0.000000																																																									0.000000																							0.000000	8.433446																																	-8.433446	
 1 	 14																																																					0.000000																																																									0.000000																							0.000000	8.559307																																	-8.559307	
 1 	 15																																																					0.000000																																																									0.000000																							0.000000	8.669462																																	-8.669462	
 1 	 16																																																					0.000000																																																									0.000000																							0.000000	8.755539																																	-8.755539	
 1 	 17																																																					0.000000																																																									0.000000																							0.000000	8.823921																																	-8.823921	
 1 	 18																																																					0.000000																																																									0.000000																							0.000000	8.884940																																	-8.884940	
 1 	 19																																																					0.000000																																																									0.000000																							0.000000	8.940146																																	-8.940146	
 1 	 20																																																					0.000000																																																									0.000000																							0.000000	8.993337																																	-8.993337	
 1 	 21																																																					0.000000																																																									0.000000																							0.000000	9.036893																																	-9.036893	
 1 	 22																																																					0.000000																																																									0.000000																							0.000000	9.070554																																	-9.070554	
 1 	 23																																																					0.000000																																																									0.000000																							0.000000	9.109821																																	-9.109821	
 1 	 24																																																					0.000000																																																									0.000000																							0.000000	9.150328																																	-9.150328	
 2 	 1																																																					5.707559																																																									0.080239																							0.000000	0.965224																																	-6.753021	
 2 	 2																																																					5.707559																																																									0.080239																							0.000000	0.991290																																	-6.779087	
 2 	 3																																																					5.707559																																																									0.080239																							0.000000	1.014592																																	-6.802389	
 2 	 4																																																					5.707559																																																									0.080239																							0.000000	1.031564																																	-6.819362	
 2 	 5																																																					5.707559																																																									0.080239																							0.000000	1.038384																																	-6.826182	
 2 	 6																																																					5.707559																																																									0.080239																							0.000000	1.045489																																	-6.833286	
 2 	 7																																																					5.707559																																																									0.080239																							0.000000	1.052076																																	-6.839874	
 2 	 8																																																					5.707559																																																									0.080239																							0.000000	1.017123																																	-6.804921	
 2 	 9																																																					5.707559																																																									0.080239																							0.000000	0.919886																																	-6.707683	
 2 	 10																																																					5.707559																																																									0.080239																							0.000000	0.817843																																	-6.605641	
 2 	 11																																																					5.707559																																																									0.080239																							0.000000	0.750469																																	-6.538267	
 2 	 12																																																					5.707559																																																									0.080239																							0.000000	0.713243																																	-6.501040	
 2 	 13																																																					5.707559																																																									0.080239																							0.000000	0.715284																																	-6.503081	
 2 	 14																																																					5.707559																																																									0.080239																							0.000000	0.769224																																	-6.557022	
 2 	 15																																																					5.707559																																																									0.080239																							0.000000	0.850497																																	-6.638294	
 2 	 16																																																					5.707559																																																									0.080239																							0.000000	0.910508																																	-6.698306	
 2 	 17																																																					5.707559																																																									0.080239																							0.000000	0.971036																																	-6.758834	
 2 	 18																																																					5.707559																																																									0.080239																							0.000000	1.013584																																	-6.801382	
 2 	 19																																																					5.707559																																																									0.080239																							0.000000	1.034845																																	-6.822643	
 2 	 20																																																					5.707559																																																									0.080239																							0.000000	1.063727																																	-6.851525	
 2 	 21																																																					5.707559																																																									0.080239																							0.000000	1.099920																																	-6.887717	
 2 	 22																																																					5.707559																																																									0.080239																							0.000000	1.119941																																	-6.907738	
 2 	 23																																																					5.707559																																																									0.080239																							0.000000	1.119683																																	-6.907480	
 2 	 24																																																					5.707559																																																									0.080239																							0.000000	1.111080																																	-6.898878	
 3 	 1																																																					5.707559																																																									0.080239																							0.000000	0.629439																																	-6.417236	
 3 	 2																																																					5.707559																																																									0.080239																							0.000000	0.613990																																	-6.401788	
 3 	 3																																																					5.707559																																																									0.080239																							0.000000	0.638791																																	-6.426588	
 3 	 4																																																					5.707559																																																									0.080239																							0.000000	0.648427																																	-6.436224	
 3 	 5																																																					5.707559																																																									0.080239																							0.000000	0.665632																																	-6.453429	
 3 	 6																																																					5.707559																																																									0.080239																							0.000000	0.541553																																	-6.329350	
 3 	 7																																																					5.707559																																																									0.080239																							0.000000	0.222508																																	-6.010306	
 3 	 8																																																					5.707559																																																									0.080239																							-0.192301	0.000000																																	-5.595496	
 3 	 9																																																					5.707559																																																									0.080239																							-0.623283	0.000000																																	-5.164514	
 3 	 10																																																					5.707559																																																									0.080239																							-0.939047	0.000000																																	-4.848750	
 3 	 11																																																					5.707559																																																									0.080239																							-1.147214	0.000000																																	-4.640583	
