Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																				0.753898																		-0.753898																																																																																																																																	0.000000	
 1 	 2																				0.762432																		-0.762432																																																																																																																																	0.000000	
 1 	 3																				0.785191																		-0.785191																																																																																																																																	0.000000	
 1 	 4																				0.799416																		-0.799416																																																																																																																																	0.000000	
 1 	 5																				0.850624																		-0.850624																																																																																																																																	0.000000	
 1 	 6																				1.244168																		-1.244168																																																																																																																																	0.000000	
 1 	 7																				1.706938																		-1.706938																																																																																																																																	0.000000	
 1 	 8																				2.054963																		-2.054963																																																																																																																																	0.000000	
 1 	 9																				2.109965																		-2.109965																																																																																																																																	0.000000	
 1 	 10																				2.084361																		-2.084361																																																																																																																																	0.000000	
 1 	 11																				2.114706																		-2.114706																																																																																																																																	0.000000	
 1 	 12																				2.085309																		-2.085309																																																																																																																																	0.000000	
 1 	 13																				2.009445																		-2.009445																																																																																																																																	0.000000	
 1 	 14																				2.028411																		-2.028411																																																																																																																																	0.000000	
 1 	 15																				2.078671																		-2.078671																																																																																																																																	0.000000	
 1 	 16																				2.076774																		-2.076774																																																																																																																																	0.000000	
 1 	 17																				2.063498																		-2.063498																																																																																																																																	0.000000	
 1 	 18																				2.159276																		-2.159276																																																																																																																																	0.000000	
 1 	 19																				2.120396																		-2.120396																																																																																																																																	0.000000	
 1 	 20																				1.826423																		-1.826423																																																																																																																																	0.000000	
 1 	 21																				1.395896																		-1.395896																																																																																																																																	0.000000	
 1 	 22																				1.359860																		-1.359860																																																																																																																																	0.000000	
 1 	 23																				1.236582																		-1.236582																																																																																																																																	0.000000	
 1 	 24																				1.065888																		-1.065888																																																																																																																																	0.000000	
 2 	 1																				1.091492																		-1.091492																																																																																																																																	0.000000	
 2 	 2																				1.083905																		-1.083905																																																																																																																																	0.000000	
 2 	 3																				1.095285																		-1.095285																																																																																																																																	0.000000	
 2 	 4																				1.084854																		-1.084854																																																																																																																																	0.000000	
 2 	 5																				1.125631																		-1.125631																																																																																																																																	0.000000	
 2 	 6																				1.224254																		-1.224254																																																																																																																																	0.000000	
 2 	 7																				1.649091																		-1.649091																																																																																																																																	0.000000	
 2 	 8																				1.920305																		-1.920305																																																																																																																																	0.000000	
 2 	 9																				2.026514																		-2.026514																																																																																																																																	0.000000	
 2 	 10																				2.054015																		-2.054015																																																																																																																																	0.000000	
 2 	 11																				1.954444																		-1.954444																																																																																																																																	0.000000	
 2 	 12																				1.823578																		-1.823578																																																																																																																																	0.000000	
 2 	 13																				1.722111																		-1.722111																																																																																																																																	0.000000	
 2 	 14																				1.773319																		-1.773319																																																																																																																																	0.000000	
 2 	 15																				1.817889																		-1.817889																																																																																																																																	0.000000	
 2 	 16																				1.897546																		-1.897546																																																																																																																																	0.000000	
 2 	 17																				2.087206																		-2.087206																																																																																																																																	0.000000	
 2 	 18																				2.227554																		-2.227554																																																																																																																																	0.000000	
 2 	 19																				2.188673																		-2.188673																																																																																																																																	0.000000	
 2 	 20																				1.918408																		-1.918408																																																																																																																																	0.000000	
 2 	 21																				1.709783																		-1.709783																																																																																																																																	0.000000	
 2 	 22																				1.577021																		-1.577021																																																																																																																																	0.000000	
 2 	 23																				1.449000																		-1.449000																																																																																																																																	0.000000	
 2 	 24																				1.278307																		-1.278307																																																																																																																																	0.000000	
 3 	 1																				1.158821																		-1.158821																																																																																																																																	0.000000	
 3 	 2																				1.155028																		-1.155028																																																																																																																																	0.000000	
 3 	 3																				1.139855																		-1.139855																																																																																																																																	0.000000	
 3 	 4																				1.152183																		-1.152183																																																																																																																																	0.000000	
 3 	 5																				1.234685																		-1.234685																																																																																																																																	0.000000	
 3 	 6																				1.520123																		-1.520123																																																																																																																																	0.000000	
 3 	 7																				1.804612																		-1.804612																																																																																																																																	0.000000	
 3 	 8																				2.031256																		-2.031256																																																																																																																																	0.000000	
 3 	 9																				2.054015																		-2.054015																																																																																																																																	0.000000	
 3 	 10																				1.947806																		-1.947806																																																																																																																																	0.000000	
 3 	 11																				1.886166																		-1.886166																																																																																																																																	0.000000	
 3 	 12																				1.962978																		-1.962978																																																																																																																																	0.000000	
