Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1	0.000000															0.000000												56.163648			0.000000				37.965371	24.878539	2.986000	4.069106														0.000000	-0.940114										-33.245581											0.000000	-1.240582	-0.209155					-0.232057					0.000000	0.000000		-1.185112													-30.981202				0.606886									-2.986000	14.235760	-8.768930	0.000000																																																	-61.116579	
 1 	 2	0.000000															0.000000												56.163648			0.000000				40.987986	25.555925	3.598216	3.903874														0.000000	-5.954019										-33.245581											0.000000	-1.240582	-0.083662					-0.092823					0.000000	0.000000		-1.185112													-30.981202				0.606886									-3.598216	14.235760	-8.768930	0.000000																																																	-59.902169	
 1 	 3	0.000000															0.000000												56.163648			0.000000				42.715194	25.107267	3.009102	3.810218														0.000000	-8.386716										-33.245581											0.000000	-1.240582	-0.041831					-0.046411					0.000000	0.000000		-1.185112													-30.981202				0.606886									-3.009102	14.235760	-8.768930	0.000000																																																	-58.742608	
 1 	 4	0.000000															0.000000												56.163648			0.000000				46.169612	24.878539	3.347939	3.727983														0.000000	-10.213836										-33.245581											-3.344970	-1.240582	-0.501972					-0.556936					0.000000	0.000000		-1.185112													-30.981202				0.606886									-3.347939	14.235760	-8.768930	0.000000																																																	-55.743307	
 1 	 5	0.000000															0.000000												56.163648			0.000000				47.896820	23.426998	2.962897	3.646510														0.000000	-10.213836										-33.245581											-2.588373	-1.240582	-1.338590					-1.485162					0.000000	0.000000		-1.185112													-30.981202				0.606886									-2.962897	14.235760	-8.768930	0.000000																																																	-54.929253	
 1 	 6	0.000000															0.000000												56.163648			0.000000				47.597880	21.174909	3.634795	3.682297														0.000000	-3.288558										-33.245581											0.000000	-1.240582	-3.346473					-3.712904					0.000000	0.000000		-1.185112													-30.981202				0.606886									-3.634795	14.235760	-8.768930	0.000000																																																	-57.692039	
 1 	 7	0.000000															0.000000												56.163648			0.000000				49.424735	17.875952	5.063300	3.791943														0.000000	0.000000										-33.245581											0.000000	-1.240582	-6.483783					-7.193744					0.000000	0.000000		-1.185112													-28.740183				0.606886									-5.063300	14.235760	0.000000	0.000000																																																	-64.009940	
 1 	 8	0.000000															0.000000												56.163648			0.000000				50.753357	16.661935	8.334231	4.238905														0.000000	0.000000										-33.245581											0.000000	-1.240582	-5.647158					-6.265510					0.000000	0.000000		-1.185112													-24.415855				0.606886									-8.334231	14.235760	0.000000	0.000000																																																	-70.660695	
 1 	 9	0.000000															0.000000												56.163648			0.079561				47.531449	14.110741	10.875507	4.660740														0.000000	0.000000										-33.245581											0.000000	-1.240582	-5.228863					-5.801413					0.000000	0.000000		-1.185112													-22.664349				0.606886									-10.875507	14.235760	0.000000	6.346835																																																	-74.369721	
 1 	 10	0.000000															0.000000												56.163648			0.371284				42.050884	12.967103	11.139261	4.838154														0.000000	0.000000										-33.245581											0.000000	-1.240582	-5.856341					-6.497598					0.000000	0.000000		-1.185112													-7.214326				0.606886									-11.139261	14.235760	0.000000	0.000000																																																	-75.994179	
 1 	 11	0.000000															0.000000												56.163648			0.899651				35.175265	12.580025	12.789165	4.819119														0.000000	0.000000										-33.245581											0.000000	-1.240582	-6.692931					-7.425793					0.000000	0.000000		-1.185112													0.000000				0.606886									-12.789165	14.235760	0.000000	2.457337																																																	-77.147693	
 1 	 12	0.000000															0.000000												56.163648			1.306635				29.993640	13.371775	12.458029	4.777240														0.000000	0.000000										-33.245581											0.000000	-1.240582	-7.362245					-8.168396					0.000000	0.000000		-1.185112													0.000000				0.606886									-12.458029	14.235760	0.000000	8.768930																																																	-78.022599	
 1 	 13	0.000000															0.000000												56.163648			1.443317				27.004240	14.876100	12.352143	4.695005														0.000000	0.000000										-32.925086											0.000000	-1.240582	-6.692931					-7.425793					0.000000	0.000000		-1.185112													0.000000				0.606886									-12.352143	14.235760	0.000000	8.768930																																																	-78.324384	
 1 	 14	0.000000															0.000000												56.163648			1.298475				23.981626	16.934649	10.890909	4.590688														0.000000	0.000000										-33.075963											0.000000	-1.240582	-6.776604					-7.518628					0.000000	0.000000		-1.185112													0.000000				0.606886									-10.890909	14.235760	0.000000	8.768930																																																	-76.783774	
