Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1															0.000000																																																																	0.000000								-0.756651					-7.167892									26.333363	6.819952																																																		-25.228772	0.000000													0.000000	
 1 	 2															0.000000																																																																	0.000000								-0.302660					-7.167892									26.333363	6.819952																																																		-25.682763	0.000000													0.000000	
 1 	 3															0.000000																																																																	0.000000								-0.151330					-7.167892									26.333363	6.819952																																																		-25.834093	0.000000													0.000000	
 1 	 4															0.000000																																																																	0.000000								-1.815965					-7.167892									26.333363	6.819952																																																		-24.169458	0.000000													0.000000	
 1 	 5															0.000000																																																																	0.000000								-4.842569					-7.167892									26.333363	6.819952																																																		-21.142854	0.000000													0.000000	
 1 	 6															0.000000																																																																	0.000000								-12.106416					-7.167892									26.333363	6.819952																																																		-13.879007	0.000000													0.000000	
 1 	 7															0.000000																																																																	0.000000								-23.456155					-7.167892									24.428545	6.819952																																																		-0.624449	0.000000													0.000000	
 1 	 8															0.000000																																																																	0.000000								-20.429526					-7.167892									20.752958	6.819952																																																		0.000000	0.024508													0.000000	
 1 	 9															0.000000																																																																	0.000000								-18.916275					-7.167892									19.264215	6.819952																																																		0.000000	0.000000													0.000000	
 1 	 10															0.000000																																																																	0.000000								-21.186280					-7.167892									6.132024	6.819952																																																		0.000000	15.402196													0.000000	
 1 	 11															0.000000																																																																	0.000000								-24.212781					-7.167892									0.000000	6.819952																																																		0.000000	24.560721													0.000000	
 1 	 12															0.000000																																																																	0.000000								-26.634136					-7.167892									0.000000	6.819952																																																		0.000000	26.982076													0.000000	
 1 	 13															0.000000																																																																	0.000000								-24.212781					-7.167892									0.000000	6.819952																																																		0.000000	24.560721													0.000000	
 1 	 14															0.000000																																																																	0.000000								-24.515482					-7.167892									0.000000	6.819952																																																		0.000000	24.863422													0.000000	
 1 	 15															0.000000																																																																	0.000000								-27.542112					-7.167892									0.000000	6.819952																																																		0.000000	27.890052													0.000000	
 1 	 16															0.000000																																																																	0.000000								-28.752790					-7.167892									0.424268	6.819952																																																		0.000000	28.676462													0.000000	
 1 	 17															0.000000																																																																	0.000000								-28.752790					-7.167892									4.675913	6.819952																																																		0.000000	24.424817													0.000000	
 1 	 18															0.000000																																																																	0.000000								-21.186280					-7.167892									15.767511	6.819952																																																		0.000000	5.766709													0.000000	
 1 	 19															0.000000																																																																	0.000000								-15.133020					-7.167892									9.998092	6.819952																																																		0.000000	5.482868													0.000000	
 1 	 20															0.000000																																																																	0.000000								-11.349765					-7.167892									13.289140	6.819952																																																		-1.591435	0.000000													0.000000	
 1 	 21															0.000000																																																																	0.000000								-7.566510					-7.167892									18.325269	6.819952																																																		-10.410818	0.000000													0.000000	
 1 	 22															0.000000																																																																	0.000000								-4.842569					-7.167892									22.553393	6.819952																																																		-17.362884	0.000000													0.000000	
 1 	 23															0.000000																																																																	0.000000								-3.026604					-7.167892									22.779238	6.819952																																																		-19.404694	0.000000													0.000000	
 1 	 24															0.000000																																																																	0.000000								-1.210642					-7.167892									23.351876	6.819952																																																		-21.793294	0.000000													0.000000	
 2 	 1															0.000000																																																																	0.000000								-0.756651					-7.167892									7.924543	0.000000																																																		0.000000	0.000000													0.000000	
 2 	 2															0.000000																																																																	0.000000								-0.302660					-7.167892									12.841745	0.000000																																																		-5.371193	0.000000													0.000000	
 2 	 3															0.000000																																																																	0.000000								-0.151330					-7.167892									22.339272	0.000000																																																		-15.020050	0.000000													0.000000	
 2 	 4															0.000000																																																																	0.000000								-1.815965					-7.167892									26.333363	0.000000																																																		-17.349506	0.000000													0.000000	
 2 	 5															0.000000																																																																	0.000000								-4.842569					-7.167892									26.333363	0.000000																																																		-14.322902	0.000000													0.000000	
 2 	 6															0.000000																																																																	0.000000								-12.106416					-7.167892									26.333363	0.000000																																																		-7.059055	0.000000													0.000000	
 2 	 7															0.000000																																																																	0.000000								-23.456155					-7.167892									26.333363	0.000000																																																		0.000000	4.290684													0.000000	
 2 	 8															0.000000																																																																	0.000000								-20.429526					-7.167892									26.333363	0.000000																																																		0.000000	1.264054													0.000000	
