Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																																																																												1.265303	0.000000	0.421768	0.000000	0.000000	2.530605																																																																																						-4.217676	
 1 	 2																																																																												0.506121	0.000000	0.168707	0.000000	0.000000	1.012242																																																																																						-1.687070	
 1 	 3																																																																												0.253061	0.000000	0.084354	0.000000	0.000000	0.506121																																																																																						-0.843535	
 1 	 4																																																																												3.036731	0.000000	1.012244	0.000000	0.000000	6.073461																																																																																						-10.122436	
 1 	 5																																																																												8.097941	0.000000	2.699314	0.000000	0.000000	16.195883																																																																																						-26.993138	
 1 	 6																																																																												20.244843	0.000000	6.748281	0.000000	0.000000	40.489686																																																																																						-67.482810	
 1 	 7																																																																												39.224340	0.000000	13.074780	0.000000	0.000000	78.448680																																																																																						-130.747800	
 1 	 8																																																																												34.163086	0.000000	11.387695	0.000000	0.000000	68.326172																																																																																						-113.876954	
 1 	 9																																																																												31.632567	0.000000	10.544189	0.000000	0.000000	63.265134																																																																																						-105.441890	
 1 	 10																																																																												35.428561	0.000000	11.809520	0.000000	0.000000	70.857122																																																																																						-118.095204	
 1 	 11																																																																												40.489600	0.000000	13.496533	0.000000	0.000000	80.979199																																																																																						-134.965332	
 1 	 12																																																																												44.538689	0.000000	14.846230	0.000000	0.000000	89.077378																																																																																						-148.462296	
 1 	 13																																																																												40.489600	0.000000	13.496533	0.000000	0.000000	80.979199																																																																																						-134.965332	
 1 	 14																																																																												40.995790	0.000000	13.665263	0.000000	0.000000	81.991579																																																																																						-136.652632	
 1 	 15																																																																												46.057043	0.000000	15.352348	0.000000	0.000000	92.114087																																																																																						-153.523478	
 1 	 16																																																																												48.081588	0.000000	16.027196	0.000000	0.000000	96.163176																																																																																						-160.271960	
 1 	 17																																																																												48.081588	0.000000	16.027196	0.000000	0.000000	96.163176																																																																																						-160.271960	
 1 	 18																																																																												35.428561	0.000000	11.809520	0.000000	0.000000	70.857122																																																																																						-118.095204	
 1 	 19																																																																												25.306054	0.000000	8.435351	0.000000	0.000000	50.612107																																																																																						-84.353512	
 1 	 20																																																																												18.979540	0.000000	6.326513	0.000000	0.000000	37.959080																																																																																						-63.265134	
 1 	 21																																																																												12.653027	0.000000	4.217676	0.000000	0.000000	25.306054																																																																																						-42.176756	
 1 	 22																																																																												8.097941	0.000000	2.699314	0.000000	0.000000	16.195883																																																																																						-26.993138	
 1 	 23																																																																												5.061211	0.000000	1.687070	0.000000	0.000000	10.122421																																																																																						-16.870702	
 1 	 24																																																																												2.024484	0.000000	0.674828	0.000000	0.000000	4.048969																																																																																						-6.748281	
 2 	 1																																																																												1.265303	0.000000	0.421768	0.000000	0.000000	2.530605																																																																																						-4.217676	
 2 	 2																																																																												0.506121	0.000000	0.168707	0.000000	0.000000	1.012242																																																																																						-1.687070	
 2 	 3																																																																												0.253061	0.000000	0.084354	0.000000	0.000000	0.506121																																																																																						-0.843535	
 2 	 4																																																																												3.036731	0.000000	1.012244	0.000000	0.000000	6.073461																																																																																						-10.122436	
 2 	 5																																																																												8.097941	0.000000	2.699314	0.000000	0.000000	16.195883																																																																																						-26.993138	
 2 	 6																																																																												20.244843	0.000000	6.748281	0.000000	0.000000	40.489686																																																																																						-67.482810	
 2 	 7																																																																												39.224340	0.000000	13.074780	0.000000	0.000000	78.448680																																																																																						-130.747800	
 2 	 8																																																																												34.163086	0.000000	11.387695	0.000000	0.000000	68.326172																																																																																						-113.876954	
 2 	 9																																																																												31.632567	0.000000	10.544189	0.000000	0.000000	63.265134																																																																																						-105.441890	
 2 	 10																																																																												35.428561	0.000000	11.809520	0.000000	0.000000	70.857122																																																																																						-118.095204	
 2 	 11																																																																												40.489600	0.000000	13.496533	0.000000	0.000000	80.979199																																																																																						-134.965332	
 2 	 12																																																																												44.538689	0.000000	14.846230	0.000000	0.000000	89.077378																																																																																						-148.462296	
 2 	 13																																																																												40.489600	0.000000	13.496533	0.000000	0.000000	80.979199																																																																																						-134.965332	
 2 	 14																																																																												40.995790	0.000000	13.665263	0.000000	0.000000	81.991579																																																																																						-136.652632	
