Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																		62.843911																	-37.965371	-24.878539																																																																																																																																			0.000000	
 1 	 2																		66.543911																	-40.987986	-25.555925																																																																																																																																			0.000000	
 1 	 3																		67.822461																	-42.715194	-25.107267																																																																																																																																			0.000000	
 1 	 4																		71.048151																	-46.169612	-24.878539																																																																																																																																			0.000000	
 1 	 5																		71.323818																	-47.896820	-23.426998																																																																																																																																			0.000000	
 1 	 6																		68.772789																	-47.597880	-21.174909																																																																																																																																			0.000000	
 1 	 7																		67.300687																	-49.424735	-17.875952																																																																																																																																			0.000000	
 1 	 8																		67.415293																	-50.753357	-16.661935																																																																																																																																			0.000000	
 1 	 9																		61.642190																	-47.531449	-14.110741																																																																																																																																			0.000000	
 1 	 10																		55.017987																	-42.050884	-12.967103																																																																																																																																			0.000000	
 1 	 11																		47.755290																	-35.175265	-12.580025																																																																																																																																			0.000000	
 1 	 12																		43.365415																	-29.993640	-13.371775																																																																																																																																			0.000000	
 1 	 13																		41.880340																	-27.004240	-14.876100																																																																																																																																			0.000000	
 1 	 14																		40.916275																	-23.981626	-16.934649																																																																																																																																			0.000000	
 1 	 15																		43.664713																	-22.586573	-21.078140																																																																																																																																			0.000000	
 1 	 16																		47.369488																	-24.048057	-23.321431																																																																																																																																			0.000000	
 1 	 17																		50.172172																	-27.070671	-23.101501																																																																																																																																			0.000000	
 1 	 18																		53.439874																	-30.558304	-22.881570																																																																																																																																			0.000000	
 1 	 19																		55.239179																	-34.477739	-20.761440																																																																																																																																			0.000000	
 1 	 20																		56.534012																	-35.042403	-21.491609																																																																																																																																			0.000000	
 1 	 21																		54.802450																	-32.351944	-22.450506																																																																																																																																			0.000000	
 1 	 22																		53.374920																	-31.355477	-22.019443																																																																																																																																			0.000000	
 1 	 23																		52.444885																	-30.425442	-22.019443																																																																																																																																			0.000000	
 1 	 24																		52.313168																	-31.754064	-20.559104																																																																																																																																			0.000000	
 2 	 1																		84.588724																	-66.132156	-18.456568																																																																																																																																			0.000000	
 2 	 2																		96.945942																	-66.032509	-30.913432																																																																																																																																			0.000000	
 2 	 3																		114.595126																	-69.553357	-45.041768																																																																																																																																			0.000000	
 2 	 4																		129.281378																	-71.712368	-57.569010																																																																																																																																			0.000000	
 2 	 5																		137.600264																	-70.583039	-67.017225																																																																																																																																			0.000000	
 2 	 6																		146.043927																	-77.126502	-68.917424																																																																																																																																			0.000000	
 2 	 7																		147.377310																	-80.448057	-66.929253																																																																																																																																			0.000000	
 2 	 8																		141.941290																	-79.252297	-62.688992																																																																																																																																			0.000000	
 2 	 9																		135.348901																	-74.568905	-60.779995																																																																																																																																			0.000000	
 2 	 10																		114.380685																	-52.580212	-61.800473																																																																																																																																			0.000000	
 2 	 11																		111.494893																	-46.069965	-65.424928																																																																																																																																			0.000000	
 2 	 12																		123.996530																	-55.237456	-68.759074																																																																																																																																			0.000000	
 2 	 13																		133.769719																	-63.242403	-70.527316																																																																																																																																			0.000000	
 2 	 14																		140.062671																	-68.523675	-71.538996																																																																																																																																			0.000000	
 2 	 15																		127.342159																	-62.744170	-64.597989																																																																																																																																			0.000000	
 2 	 16																		109.154054																	-56.300354	-52.853700																																																																																																																																			0.000000	
 2 	 17																		103.110211																	-53.045230	-50.064981																																																																																																																																			0.000000	
 2 	 18																		101.540932																	-53.842403	-47.698529																																																																																																																																			0.000000	
 2 	 19																		95.859798																	-59.289753	-36.570045																																																																																																																																			0.000000	
 2 	 20																		100.528343																	-76.661485	-23.866859																																																																																																																																			0.000000	
 2 	 21																		113.759309																	-90.877739	-22.881570																																																																																																																																			0.000000	
 2 	 22																		123.779240																	-96.358304	-27.420936																																																																																																																																			0.000000	
 2 	 23																		125.842819																	-92.571732	-33.271087																																																																																																																																			0.000000	
 2 	 24																		125.327565																	-92.804241	-32.523324																																																																																																																																			0.000000	
 3 	 1																		59.364077																	-59.223322	-0.140756																																																																																																																																			0.000000	
 3 	 2																		59.133542																	-58.957598	-0.175944																																																																																																																																			0.000000	
 3 	 3																		60.415059																	-58.857951	-1.557108																																																																																																																																			0.000000	
