Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1	0.000000															0.000000												0.000000			0.000000				115.345373	25.151544		0.000000					1.000000									-7.247146	-8.214593										-21.947916											0.000000	-0.612021	-0.153953					-0.170810					0.000000	0.000000		-0.561369													-55.864146				0.000000				-0.399345							0.000000	0.000000																																																	-46.325619	
 1 	 2	0.000000															0.000000												0.000000			0.000000				117.467110	49.899095		0.000000					0.000000									-7.247146	-8.214593										-25.261435											0.000000	-0.612021	-0.061581					-0.068324					0.000000	0.000000		-0.561369													-55.864146				0.000000				-0.399345							-23.203746	0.000000																																																	-45.872500	
 1 	 3	0.000000															0.000000												0.000000			0.000000				121.217657	19.254286		0.556518					0.000000									-7.247146	-8.214593										-25.261435											0.000000	-0.612021	-0.030791					-0.034162					0.000000	0.000000		-0.561369													-55.864146				0.000000				-0.399345							0.000000	0.000000																																																	-42.803453	
 1 	 4	0.000000															0.000000												0.000000			0.000000				124.410979	12.243597		0.000000					1.000000									-7.247146	-8.214593										-24.533744											0.000000	-0.612021	-0.369487					-0.409946					0.000000	0.000000		-0.561369													-55.864146				0.000000				-0.399345							0.000000	0.000000																																																	-39.442780	
 1 	 5	0.000000															0.000000												0.000000			0.000000				127.304258	10.525991		0.554962					0.000000									-7.247146	-8.214593										-25.261435											0.000000	-0.612021	-0.985299					-1.093187					0.000000	0.000000		-0.561369													-55.864146				0.000000				-0.399345							0.000000	0.000000																																																	-38.146670	
 1 	 6	0.000000															0.000000												0.000000			0.000000				124.282389	40.639267		0.000000					0.000000									-7.247146	-8.214593										-25.261435											0.000000	-0.612021	-2.463246					-2.732966					0.000000	0.000000		-0.561369													-55.864146				0.000000				-0.399345							-23.203746	0.000000																																																	-38.361643	
 1 	 7	0.000000															0.000000												0.000000			0.000000				58.168144	109.547261		0.521768					1.000000									-7.247146	-8.214593										-25.261435											0.000000	-0.612021	-4.772534					-5.295117					0.000000	0.000000		-0.561369													-55.864146				0.000000				-0.399345							-23.203746	0.000000																																																	-37.805722	
 1 	 8	0.000000															0.000000												0.000000			0.000000				108.251482	35.505384		0.527473					0.000000									-7.247146	-8.214593										-25.261435											0.000000	-0.612021	-4.156717					-4.611869					0.000000	0.000000		-0.561369													-55.864146				0.000000				-0.399345							0.000000	0.000000																																																	-37.355699	
 1 	 9	0.000000															0.000000												0.000000			0.000000				103.279330	19.832065		0.000000					0.000000									-7.247146	-8.214593										-25.261435											0.000000	-0.612021	-3.848822					-4.270260					0.000000	0.000000		-0.561369													-55.864146				0.000000				-0.399345							0.000000	23.203746																																																	-40.036004	
 1 	 10	0.000000															0.000000												0.000000			0.000000				96.271166	44.440016		0.603197					0.000000									-7.247146	-8.214593										-13.273083											0.000000	-0.612021	-4.310691					-4.782703					0.000000	0.000000		-0.561369													-55.864146				0.000000				-0.399345							0.000000	0.000000																																																	-46.049282	
 1 	 11	0.000000															0.000000												0.000000			2.582295				90.484609	90.204126		0.000000					1.000000									-7.247146	-8.214593										-22.915622											0.000000	-0.612021	-4.926482					-5.465921					0.000000	0.000000		-0.561369													-55.864146				0.000000				-0.399345							-23.203746	0.000000																																																	-54.860639	
 1 	 12	0.000000															0.000000												0.000000			8.186576				89.498751	92.487588		0.709003					0.000000									-7.247146	-8.214593										-25.261435											0.000000	-0.612021	-5.419146					-6.012531					0.000000	0.000000		-0.561369													-55.864146				0.000000				-0.399345							-23.203746	0.000000																																																	-58.086440	
 1 	 13	0.000000															-14.711194												0.000000			0.000000				88.320008	92.900084		0.000000					0.000000									-7.247146	-8.214593										-25.261435											0.000000	-0.612021	-4.926482					-5.465921					0.000000	0.000000		-0.561369													-55.864146				0.000000				-0.399345							0.000000	0.000000																																																	-57.956441	
 1 	 14	0.000000															0.000000												0.000000			12.065582				85.448161	91.397419		0.656100					1.000000									-7.247146	-8.214593										-25.261435											0.000000	-0.612021	-4.988071					-5.534255					0.000000	0.000000		-0.561369													-55.864146				0.000000				-0.399345							-23.203746	0.000000																																																	-58.681135	
