Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																																																																												0.931354	0.000000	0.310451	0.000000	0.000000	1.862709																																																																																						-3.104515	
 1 	 2																																																																												0.372542	0.000000	0.124181	0.000000	0.000000	0.745084																																																																																						-1.241806	
 1 	 3																																																																												0.186271	0.000000	0.062090	0.000000	0.000000	0.372542																																																																																						-0.620903	
 1 	 4																																																																												2.235254	0.000000	0.745085	0.000000	0.000000	4.470508																																																																																						-7.450846	
 1 	 5																																																																												5.960671	0.000000	1.986890	0.000000	0.000000	11.921343																																																																																						-19.868905	
 1 	 6																																																																												14.901671	0.000000	4.967224	0.000000	0.000000	29.803341																																																																																						-49.672235	
 1 	 7																																																																												28.871955	0.000000	9.623985	0.000000	0.000000	57.743910																																																																																						-96.239850	
 1 	 8																																																																												25.146506	0.000000	8.382169	0.000000	0.000000	50.293011																																																																																						-83.821686	
 1 	 9																																																																												23.283860	0.000000	7.761287	0.000000	0.000000	46.567721																																																																																						-77.612867	
 1 	 10																																																																												26.077987	0.000000	8.692662	0.000000	0.000000	52.155974																																																																																						-86.926623	
 1 	 11																																																																												29.803278	0.000000	9.934426	0.000000	0.000000	59.606555																																																																																						-99.344259	
 1 	 12																																																																												32.783701	0.000000	10.927900	0.000000	0.000000	65.567401																																																																																						-109.279002	
 1 	 13																																																																												29.803278	0.000000	9.934426	0.000000	0.000000	59.606555																																																																																						-99.344259	
 1 	 14																																																																												30.175870	0.000000	10.058623	0.000000	0.000000	60.351740																																																																																						-100.586234	
 1 	 15																																																																												33.901320	0.000000	11.300440	0.000000	0.000000	67.802639																																																																																						-113.004398	
 1 	 16																																																																												35.391531	0.000000	11.797177	0.000000	0.000000	70.783062																																																																																						-117.971770	
 1 	 17																																																																												35.391531	0.000000	11.797177	0.000000	0.000000	70.783062																																																																																						-117.971770	
 1 	 18																																																																												26.077987	0.000000	8.692662	0.000000	0.000000	52.155974																																																																																						-86.926623	
 1 	 19																																																																												18.627088	0.000000	6.209029	0.000000	0.000000	37.254176																																																																																						-62.090294	
 1 	 20																																																																												13.970316	0.000000	4.656772	0.000000	0.000000	27.940632																																																																																						-46.567721	
 1 	 21																																																																												9.313544	0.000000	3.104515	0.000000	0.000000	18.627088																																																																																						-31.045147	
 1 	 22																																																																												5.960671	0.000000	1.986890	0.000000	0.000000	11.921343																																																																																						-19.868905	
 1 	 23																																																																												3.725418	0.000000	1.241806	0.000000	0.000000	7.450835																																																																																						-12.418059	
 1 	 24																																																																												1.490167	0.000000	0.496722	0.000000	0.000000	2.980334																																																																																						-4.967224	
 2 	 1																																																																												0.931354	0.000000	0.310451	0.000000	0.000000	1.862709																																																																																						-3.104515	
 2 	 2																																																																												0.372542	0.000000	0.124181	0.000000	0.000000	0.745084																																																																																						-1.241806	
 2 	 3																																																																												0.186271	0.000000	0.062090	0.000000	0.000000	0.372542																																																																																						-0.620903	
 2 	 4																																																																												2.235254	0.000000	0.745085	0.000000	0.000000	4.470508																																																																																						-7.450846	
 2 	 5																																																																												5.960671	0.000000	1.986890	0.000000	0.000000	11.921343																																																																																						-19.868905	
 2 	 6																																																																												14.901671	0.000000	4.967224	0.000000	0.000000	29.803341																																																																																						-49.672235	
 2 	 7																																																																												28.871955	0.000000	9.623985	0.000000	0.000000	57.743910																																																																																						-96.239850	
 2 	 8																																																																												25.146506	0.000000	8.382169	0.000000	0.000000	50.293011																																																																																						-83.821686	
 2 	 9																																																																												23.283860	0.000000	7.761287	0.000000	0.000000	46.567721																																																																																						-77.612867	
 2 	 10																																																																												26.077987	0.000000	8.692662	0.000000	0.000000	52.155974																																																																																						-86.926623	
 2 	 11																																																																												29.803278	0.000000	9.934426	0.000000	0.000000	59.606555																																																																																						-99.344259	
 2 	 12																																																																												32.783701	0.000000	10.927900	0.000000	0.000000	65.567401																																																																																						-109.279002	
 2 	 13																																																																												29.803278	0.000000	9.934426	0.000000	0.000000	59.606555																																																																																						-99.344259	
 2 	 14																																																																												30.175870	0.000000	10.058623	0.000000	0.000000	60.351740																																																																																						-100.586234	
 2 	 15																																																																												33.901320	0.000000	11.300440	0.000000	0.000000	67.802639																																																																																						-113.004398	
 2 	 16																																																																												35.391531	0.000000	11.797177	0.000000	0.000000	70.783062																																																																																						-117.971770	
 2 	 17																																																																												35.391531	0.000000	11.797177	0.000000	0.000000	70.783062																																																																																						-117.971770	
 2 	 18																																																																												26.077987	0.000000	8.692662	0.000000	0.000000	52.155974																																																																																						-86.926623	
 2 	 19																																																																												18.627088	0.000000	6.209029	0.000000	0.000000	37.254176																																																																																						-62.090294	
 2 	 20																																																																												13.970316	0.000000	4.656772	0.000000	0.000000	27.940632																																																																																						-46.567721	
 2 	 21																																																																												9.313544	0.000000	3.104515	0.000000	0.000000	18.627088																																																																																						-31.045147	
 2 	 22																																																																												5.960671	0.000000	1.986890	0.000000	0.000000	11.921343																																																																																						-19.868905	
 2 	 23																																																																												3.725418	0.000000	1.241806	0.000000	0.000000	7.450835																																																																																						-12.418059	
 2 	 24																																																																												1.490167	0.000000	0.496722	0.000000	0.000000	2.980334																																																																																						-4.967224	
 3 	 1																																																																												0.931354	0.000000	0.310451	0.000000	0.000000	1.862709																																																																																						-3.104515	
 3 	 2																																																																												0.372542	0.000000	0.124181	0.000000	0.000000	0.745084																																																																																						-1.241806	
 3 	 3																																																																												0.186271	0.000000	0.062090	0.000000	0.000000	0.372542																																																																																						-0.620903	
 3 	 4																																																																												2.235254	0.000000	0.745085	0.000000	0.000000	4.470508																																																																																						-7.450846	
 3 	 5																																																																												5.960671	0.000000	1.986890	0.000000	0.000000	11.921343																																																																																						-19.868905	
 3 	 6																																																																												14.901671	0.000000	4.967224	0.000000	0.000000	29.803341																																																																																						-49.672235	
 3 	 7																																																																												28.871955	0.000000	9.623985	0.000000	0.000000	57.743910																																																																																						-96.239850	
 3 	 8																																																																												25.146506	0.000000	8.382169	0.000000	0.000000	50.293011																																																																																						-83.821686	
 3 	 9																																																																												23.283860	0.000000	7.761287	0.000000	0.000000	46.567721																																																																																						-77.612867	
 3 	 10																																																																												26.077987	0.000000	8.692662	0.000000	0.000000	52.155974																																																																																						-86.926623	
 3 	 11																																																																												29.803278	0.000000	9.934426	0.000000	0.000000	59.606555																																																																																						-99.344259	
 3 	 12																																																																												32.783701	0.000000	10.927900	0.000000	0.000000	65.567401																																																																																						-109.279002	
 3 	 13																																																																												29.803278	0.000000	9.934426	0.000000	0.000000	59.606555																																																																																						-99.344259	
 3 	 14																																																																												30.175870	0.000000	10.058623	0.000000	0.000000	60.351740																																																																																						-100.586234	
 3 	 15																																																																												33.901320	0.000000	11.300440	0.000000	0.000000	67.802639																																																																																						-113.004398	
 3 	 16																																																																												35.391531	0.000000	11.797177	0.000000	0.000000	70.783062																																																																																						-117.971770	
 3 	 17																																																																												35.391531	0.000000	11.797177	0.000000	0.000000	70.783062																																																																																						-117.971770	
 3 	 18																																																																												26.077987	0.000000	8.692662	0.000000	0.000000	52.155974																																																																																						-86.926623	
 3 	 19																																																																												18.627088	0.000000	6.209029	0.000000	0.000000	37.254176																																																																																						-62.090294	
 3 	 20																																																																												13.970316	0.000000	4.656772	0.000000	0.000000	27.940632																																																																																						-46.567721	
 3 	 21																																																																												9.313544	0.000000	3.104515	0.000000	0.000000	18.627088																																																																																						-31.045147	
 3 	 22																																																																												5.960671	0.000000	1.986890	0.000000	0.000000	11.921343																																																																																						-19.868905	
 3 	 23																																																																												3.725418	0.000000	1.241806	0.000000	0.000000	7.450835																																																																																						-12.418059	
 3 	 24																																																																												1.490167	0.000000	0.496722	0.000000	0.000000	2.980334																																																																																						-4.967224	
 4 	 1																																																																												0.931354	0.000000	0.310451	0.000000	0.000000	1.862709																																																																																						-3.104515	
 4 	 2																																																																												0.372542	0.000000	0.124181	0.000000	0.000000	0.745084																																																																																						-1.241806	
 4 	 3																																																																												0.186271	0.000000	0.062090	0.000000	0.000000	0.372542																																																																																						-0.620903	
 4 	 4																																																																												2.235254	0.000000	0.745085	0.000000	0.000000	4.470508																																																																																						-7.450846	
 4 	 5																																																																												5.960671	0.000000	1.986890	0.000000	0.000000	11.921343																																																																																						-19.868905	
 4 	 6																																																																												14.901671	0.000000	4.967224	0.000000	0.000000	29.803341																																																																																						-49.672235	
 4 	 7																																																																												28.871955	0.000000	9.623985	0.000000	0.000000	57.743910																																																																																						-96.239850	
 4 	 8																																																																												25.146506	0.000000	8.382169	0.000000	0.000000	50.293011																																																																																						-83.821686	
 4 	 9																																																																												23.283860	0.000000	7.761287	0.000000	0.000000	46.567721																																																																																						-77.612867	
 4 	 10																																																																												26.077987	0.000000	8.692662	0.000000	0.000000	52.155974																																																																																						-86.926623	
 4 	 11																																																																												29.803278	0.000000	9.934426	0.000000	0.000000	59.606555																																																																																						-99.344259	
 4 	 12																																																																												32.783701	0.000000	10.927900	0.000000	0.000000	65.567401																																																																																						-109.279002	
 4 	 13																																																																												29.803278	0.000000	9.934426	0.000000	0.000000	59.606555																																																																																						-99.344259	
