Name	Used	Potential
ELECTRICITY	0.000000	100000000.000000
GASOLINE	0.000000	100000000.000000
DIESEL	0.000000	100000000.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	100000000.000000
NG	0.000000	100000000.000000
SLF	0.000000	0.000000
SNG	0.000000	0.000000
WOOD	66395.670000	66395.670000
WET_BIOMASS	55312.280000	55312.280000
COAL	0.000000	100000000.000000
URANIUM	0.000000	100000000.000000
WASTE	49963.658640	89969.680000
H2	0.000000	0.000000
ELEC_EXPORT	9891.296668	100000000.000000
CO2_EMISSIONS	30535.259440	100000000.000000
RES_WIND	820071.067057	100000000.000000
RES_SOLAR	97768.663287	100000000.000000
RES_HYDRO	3081.700862	100000000.000000
RES_GEO	6634.000000	100000000.000000
CO2_ATM	0.000000	100000000.000000
CO2_INDUSTRY	0.000000	100000000.000000
CO2_CAPTURED	12344.524256	100000000.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
