Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																																																															2.932897									0.000000	9.077526																																																						0.000000	0.283397	0.000000	0.339538																																					-12.633359	
 1 	 2																																																															2.932897									0.000000	9.077526																																																						0.000000	0.298848	0.000000	0.384777																																					-12.694047	
 1 	 3																																																															2.932897									0.000000	9.077526																																																						0.000000	0.311201	0.000000	0.420946																																					-12.742570	
 1 	 4																																																															2.932897									0.000000	9.077526																																																						0.000000	0.319339	0.000000	0.444772																																					-12.774534	
 1 	 5																																																															2.932897									0.000000	9.077526																																																						0.000000	0.329790	0.000000	0.475374																																					-12.815587	
 1 	 6																																																															2.932897									0.000000	9.077526																																																						0.000000	0.290555	0.000000	0.360498																																					-12.661476	
 1 	 7																																																															2.932897									0.000000	8.733269																																																						0.000000	0.049854	0.000000	0.000000																																					-11.716020	
 1 	 8																																																															2.932897									0.000000	8.498293																																																						-0.140748	0.000000	-0.323094	0.000000																																					-10.967347	
 1 	 9																																																															2.932897									0.000000	7.761551																																																						-0.282025	0.000000	0.000000	0.000000																																					-10.412422	
 1 	 10																																																															2.932897									0.000000	9.077526																																																						-0.388758	0.000000	-1.628479	0.000000																																					-9.993187	
 1 	 11																																																															2.932897									0.000000	7.195031																																																						-0.475514	0.000000	0.000000	0.000000																																					-9.652413	
 1 	 12																																																															2.932897									0.000000	9.077526																																																						-0.535441	0.000000	-2.057957	0.000000																																					-9.417026	
 1 	 13																																																															2.932897									0.000000	9.077526																																																						-0.556911	0.000000	-2.120819	0.000000																																					-9.332693	
 1 	 14																																																															2.932897									0.000000	9.077526																																																						-0.516702	0.000000	-2.003091	0.000000																																					-9.490630	
 1 	 15																																																															2.932897									0.000000	9.077526																																																						-0.400910	0.000000	-1.664060	0.000000																																					-9.945453	
 1 	 16																																																															2.932897									0.000000	9.077526																																																						-0.118093	0.000000	-0.835994	0.000000																																					-11.056336	
 1 	 17																																																															2.932897									0.000000	9.077526																																																						0.000000	0.023802	-0.420535	0.000000																																					-11.613691	
 1 	 18																																																															2.932897									0.000000	9.077526																																																						0.000000	0.070757	-0.283054	0.000000																																					-11.798126	
 1 	 19																																																															2.932897									0.000000	9.077526																																																						0.000000	0.109425	-0.169838	0.000000																																					-11.950011	
 1 	 20																																																															2.932897									0.000000	9.077526																																																						0.000000	0.147887	-0.057225	0.000000																																					-12.101085	
 1 	 21																																																															2.932897									0.000000	1.256851																																																						0.000000	0.179190	0.000000	7.855104																																					-12.224042	
 1 	 22																																																															2.932897									0.000000	9.077526																																																						0.000000	0.201639	0.000000	0.100158																																					-12.312221	
 1 	 23																																																															2.932897									0.000000	9.077526																																																						0.000000	0.215745	0.000000	0.141458																																					-12.367627	
 1 	 24																																																															2.932897									0.000000	9.077526																																																						0.000000	0.231757	0.000000	0.188341																																					-12.430522	
 2 	 1																																																															2.440546									0.000000	7.871756																																																						0.000000	0.000000	-0.726022	0.000000																																					-9.586279	
 2 	 2																																																															1.908655									0.000000	8.708500																																																						0.000000	0.558973	-1.483471	0.000000																																					-9.692657	
 2 	 3																																																															2.932897									0.000000	9.077526																																																						-0.449617	0.000000	-1.806671	0.000000																																					-9.754135	
 2 	 4																																																															2.932897									0.000000	9.077526																																																						-0.438598	0.000000	-1.774410	0.000000																																					-9.797415	
 2 	 5																																																															2.932897									0.000000	9.077526																																																						-0.398024	0.000000	-1.655610	0.000000																																					-9.956789	
 2 	 6																																																															2.482100									0.000000	8.123761																																																						0.000000	0.000000	-0.856361	0.000000																																					-9.749500	
 2 	 7																																																															2.932897									0.000000	5.203533																																																						-0.759872	0.000000	0.000000	1.158919																																					-8.535477	
 2 	 8																																																															1.113350									0.000000	7.271163																																																						0.000000	0.827312	-1.589051	0.000000																																					-7.622775	
 2 	 9																																																															1.022269									0.014123	8.254201																																																						0.000000	0.731243	-3.134172	0.000000																																					-6.887665	
 2 	 10																																																															1.608164									0.126298	8.467219																																																						0.000000	0.000000	-3.884934	0.000000																																					-6.316748	
 2 	 11																																																															2.319478									0.000000	8.280661																																																						-0.827312	0.000000	-3.911712	0.000000																																					-5.861115	
