Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																				0.732710																	-0.732710	0.000000																																																																																																																																	0.000000	
 1 	 2																				0.710411																	-0.710411	0.000000																																																																																																																																	0.000000	
 1 	 3																				0.678554																	-0.678554	0.000000																																																																																																																																	0.000000	
 1 	 4																				0.680146																	-0.680146	0.000000																																																																																																																																	0.000000	
 1 	 5																				0.697668																	-0.697668	0.000000																																																																																																																																	0.000000	
 1 	 6																				0.724746																	-0.724746	0.000000																																																																																																																																	0.000000	
 1 	 7																				1.478164																	-1.478164	0.000000																																																																																																																																	0.000000	
 1 	 8																				1.711645																	-1.611963	-0.099682																																																																																																																																	0.000000	
 1 	 9																				1.709747																	-1.619927	-0.089820																																																																																																																																	0.000000	
 1 	 10																				1.473385																	-1.473385	0.000000																																																																																																																																	0.000000	
 1 	 11																				1.159594																	-1.159594	0.000000																																																																																																																																	0.000000	
 1 	 12																				1.144654																	-1.028980	-0.115674																																																																																																																																	0.000000	
 1 	 13																				1.158457																	-1.043316	-0.115141																																																																																																																																	0.000000	
 1 	 14																				1.151019																	-1.036944	-0.114075																																																																																																																																	0.000000	
 1 	 15																				1.160576																	-1.046502	-0.114075																																																																																																																																	0.000000	
 1 	 16																				1.240829																	-1.240829	0.000000																																																																																																																																	0.000000	
 1 	 17																				1.396928																	-1.396928	0.000000																																																																																																																																	0.000000	
 1 	 18																				1.709127																	-1.709127	0.000000																																																																																																																																	0.000000	
 1 	 19																				1.887526																	-1.887526	0.000000																																																																																																																																	0.000000	
 1 	 20																				2.005397																	-2.005397	0.000000																																																																																																																																	0.000000	
 1 	 21																				1.780805																	-1.780805	0.000000																																																																																																																																	0.000000	
 1 	 22																				1.632670																	-1.632670	0.000000																																																																																																																																	0.000000	
 1 	 23																				1.186672																	-1.186672	0.000000																																																																																																																																	0.000000	
 1 	 24																				0.712003																	-0.712003	0.000000																																																																																																																																	0.000000	
 2 	 1																				0.679556																	-0.627582	-0.051973																																																																																																																																	0.000000	
 2 	 2																				0.546791																	-0.501747	-0.045043																																																																																																																																	0.000000	
 2 	 3																				0.529999																	-0.501747	-0.028252																																																																																																																																	0.000000	
 2 	 4																				0.529999																	-0.501747	-0.028252																																																																																																																																	0.000000	
 2 	 5																				0.531592																	-0.503340	-0.028252																																																																																																																																	0.000000	
 2 	 6																				0.683998																	-0.649882	-0.034116																																																																																																																																	0.000000	
 2 	 7																				0.844406																	-0.794831	-0.049574																																																																																																																																	0.000000	
 2 	 8																				1.187001																	-1.103844	-0.083157																																																																																																																																	0.000000	
 2 	 9																				1.390213																	-1.275872	-0.114341																																																																																																																																	0.000000	
 2 	 10																				1.286170																	-1.165965	-0.120205																																																																																																																																	0.000000	
 2 	 11																				1.066922																	-0.938188	-0.128734																																																																																																																																	0.000000	
 2 	 12																				0.836181																	-0.718375	-0.117806																																																																																																																																	0.000000	
 2 	 13																				0.702337																	-0.595725	-0.106612																																																																																																																																	0.000000	
 2 	 14																				0.667225																	-0.578204	-0.089021																																																																																																																																	0.000000	
 2 	 15																				0.699869																	-0.613247	-0.086622																																																																																																																																	0.000000	
 2 	 16																				0.913577																	-0.826688	-0.086889																																																																																																																																	0.000000	
 2 	 17																				1.330916																	-1.240829	-0.090087																																																																																																																																	0.000000	
 2 	 18																				1.623492																	-1.527542	-0.095951																																																																																																																																	0.000000	
 2 	 19																				1.890945																	-1.764876	-0.126068																																																																																																																																	0.000000	
 2 	 20																				1.912432																	-1.790362	-0.122070																																																																																																																																	0.000000	
 2 	 21																				1.664392																	-1.564177	-0.100215																																																																																																																																	0.000000	
 2 	 22																				1.445868																	-1.355514	-0.090353																																																																																																																																	0.000000	
 2 	 23																				1.060608																	-0.984381	-0.076227																																																																																																																																	0.000000	
 2 	 24																				0.741702																	-0.683332	-0.058370																																																																																																																																	0.000000	
 3 	 1																				1.135853																	-1.097473	-0.038380																																																																																																																																	0.000000	
 3 	 2																				1.050093																	-1.014645	-0.035448																																																																																																																																	0.000000	
 3 	 3																				0.996990																	-0.963673	-0.033316																																																																																																																																	0.000000	
