Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																		36.570828																	-36.570828																																																																																																																																				0.000000	
 1 	 2																		36.203031																	-36.203031																																																																																																																																				0.000000	
 1 	 3																		35.889722																	-35.889722																																																																																																																																				0.000000	
 1 	 4																		35.403867																	-35.403867																																																																																																																																				0.000000	
 1 	 5																		35.076936																	-35.076936																																																																																																																																				0.000000	
 1 	 6																		34.972500																	-34.972500																																																																																																																																				0.000000	
 1 	 7																		35.335756																	-35.335756																																																																																																																																				0.000000	
 1 	 8																		36.829648																	-36.829648																																																																																																																																				0.000000	
 1 	 9																		36.625316																	-36.625316																																																																																																																																				0.000000	
 1 	 10																		36.398281																	-36.398281																																																																																																																																				0.000000	
 1 	 11																		36.216653																	-36.216653																																																																																																																																				0.000000	
 1 	 12																		35.853396																	-35.853396																																																																																																																																				0.000000	
 1 	 13																		35.299430																	-35.299430																																																																																																																																				0.000000	
 1 	 14																		34.450319																	-34.450319																																																																																																																																				0.000000	
 1 	 15																		32.606793																	-32.606793																																																																																																																																				0.000000	
 1 	 16																		30.059458																	-30.059458																																																																																																																																				0.000000	
 1 	 17																		28.897038																	-28.897038																																																																																																																																				0.000000	
 1 	 18																		28.524701																	-28.524701																																																																																																																																				0.000000	
 1 	 19																		28.433887																	-28.433887																																																																																																																																				0.000000	
 1 	 20																		28.556485																	-28.556485																																																																																																																																				0.000000	
 1 	 21																		28.892498																	-28.892498																																																																																																																																				0.000000	
 1 	 22																		29.646254																	-29.646254																																																																																																																																				0.000000	
 1 	 23																		29.959563																	-29.959563																																																																																																																																				0.000000	
 1 	 24																		30.163895																	-30.163895																																																																																																																																				0.000000	
 2 	 1																		19.338857																	-19.338857																																																																																																																																				0.000000	
 2 	 2																		19.888282																	-19.888282																																																																																																																																				0.000000	
 2 	 3																		20.428626																	-20.428626																																																																																																																																				0.000000	
 2 	 4																		20.201591																	-20.201591																																																																																																																																				0.000000	
 2 	 5																		19.756602																	-19.756602																																																																																																																																				0.000000	
 2 	 6																		19.388805																	-19.388805																																																																																																																																				0.000000	
 2 	 7																		18.598722																	-18.598722																																																																																																																																				0.000000	
 2 	 8																		18.639589																	-18.639589																																																																																																																																				0.000000	
 2 	 9																		17.399977																	-17.399977																																																																																																																																				0.000000	
 2 	 10																		16.346533																	-16.346533																																																																																																																																				0.000000	
 2 	 11																		15.688131																	-15.688131																																																																																																																																				0.000000	
 2 	 12																		15.116003																	-15.116003																																																																																																																																				0.000000	
 2 	 13																		14.811775																	-14.811775																																																																																																																																				0.000000	
 2 	 14																		14.443978																	-14.443978																																																																																																																																				0.000000	
 2 	 15																		14.008071																	-14.008071																																																																																																																																				0.000000	
 2 	 16																		13.880931																	-13.880931																																																																																																																																				0.000000	
 2 	 17																		13.676600																	-13.676600																																																																																																																																				0.000000	
 2 	 18																		13.018197																	-13.018197																																																																																																																																				0.000000	
 2 	 19																		12.282603																	-12.282603																																																																																																																																				0.000000	
 2 	 20																		11.442573																	-11.442573																																																																																																																																				0.000000	
 2 	 21																		10.543514																	-10.543514																																																																																																																																				0.000000	
 2 	 22																		10.062199																	-10.062199																																																																																																																																				0.000000	
 2 	 23																		10.062199																	-10.062199																																																																																																																																				0.000000	
 2 	 24																		10.357345																	-10.357345																																																																																																																																				0.000000	
 3 	 1																		11.837615																	-11.837615																																																																																																																																				0.000000	
 3 	 2																		10.429996																	-10.429996																																																																																																																																				0.000000	
 3 	 3																		9.807920																	-9.807920																																																																																																																																				0.000000	
 3 	 4																		9.140437																	-9.140437																																																																																																																																				0.000000	
 3 	 5																		9.935060																	-9.935060																																																																																																																																				0.000000	
 3 	 6																		10.534433																	-10.534433																																																																																																																																				0.000000	
 3 	 7																		11.283649																	-11.283649																																																																																																																																				0.000000	
 3 	 8																		12.214493																	-12.214493																																																																																																																																				0.000000	
 3 	 9																		12.359795																	-12.359795																																																																																																																																				0.000000	
 3 	 10																		12.482394																	-12.482394																																																																																																																																				0.000000	
 3 	 11																		13.104471																	-13.104471																																																																																																																																				0.000000	
 3 	 12																		13.658437																	-13.658437																																																																																																																																				0.000000	
