source,target,realValue,layerID,layerColor,layerUnit
Diesel,Mob public,1.76,Diesel,#D3D3D3,TWh
Gas,Freight,1.62,NG,#FFD700,TWh
Gas,H2 prod,11.47,NG,#FFD700,TWh
H2 prod,H2,8.40,H2,#FF00FF,TWh
Gas,Elec,1.63,NG,#FFD700,TWh
Wind,Elec,85.45,Wind,#27AE34,TWh
Hydro River,Elec,0.84,Hydro River,#0000FF,TWh
Solar,Elec,23.48,Solar,#FFFF00,TWh
Solar,Heat LT Dec,0.31,Solar,#FFFF00,TWh
Solar,Dec. Sto,2.06,Solar,#FFFF00,TWh
Waste,Boilers,9.93,Waste,#808000,TWh
Wood,Biofuels,2.65,Wood,#CD853F,TWh
Wood,Boilers,0.18,Wood,#CD853F,TWh
Wet biomass,Biomethanation,26.74,Wood,#CD853F,TWh
Biomethanation,Gas,24.97,NG,#FFD700,TWh
Elec,Mob public,10.09,Electricity,#00BFFF,TWh
Elec,Freight,0.75,Electricity,#00BFFF,TWh
Elec,Exp & Loss,14.50,Electricity,#00BFFF,TWh
Elec,Curt.,4.72,Electricity,#00BFFF,TWh
Elec,Elec demand,43.75,Electricity,#00BFFF,TWh
Elec,Storage,4.01,Electricity,#00BFFF,TWh
Storage,Elec demand,3.48,Electricity,#00BFFF,TWh
Elec,HPs,6.30,Electricity,#00BFFF,TWh
Elec,Electrolysis,21.24,Electricity,#00BFFF,TWh
Electrolysis,H2 sto.,3.69,H2,#FF00FF,TWh
H2 sto.,H2,3.19,H2,#FF00FF,TWh
Electrolysis,H2,14.87,H2,#FF00FF,TWh
Elec,Heat LT Dec,13.67,Electricity,#00BFFF,TWh
Elec,Dec. Sto,3.26,Electricity,#00BFFF,TWh
Elec,Heat HT,5.47,Electricity,#00BFFF,TWh
H2,Mob priv,17.31,H2,#FF00FF,TWh
H2,Freight,8.71,H2,#FF00FF,TWh
Gas,SNG sto.,3.17,NG,#FFD700,TWh
SNG sto.,Gas,3.11,NG,#FFD700,TWh
HPs,Heat LT Dec,5.20,Heat LT,#FA8072,TWh
HPs,DHN,16.46,Heat LT,#FA8072,TWh
HPs,Dec. Sto,1.34,Heat LT,#FA8072,TWh
Biofuels,Elec,0.04,Electricity,#00BFFF,TWh
Biofuels,Boilers,0.00,Oil,#8B008B,TWh
Boilers,Heat HT,8.30,Heat HT,#DC143C,TWh
Dec. Sto,Heat LT Dec,6.13,Heat LT,#FA8072,TWh
DHN,Heat LT DHN,9.92,Heat LT,#FA8072,TWh
DHN,Loss DHN,1.15,Heat LT,#FA8072,TWh
DHN,DHN Sto,5.38,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,4.94,Heat LT,#FA8072,TWh
Gas,Non-Energy,10.21,NG,#FFD700,TWh
