Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																																																															4.241095																																																																0.000000	0.262313																																							-4.503407	
 1 	 2																																																															4.241095																																																																0.000000	0.300417																																							-4.541511	
 1 	 3																																																															4.241095																																																																0.000000	0.396461																																							-4.637556	
 1 	 4																																																															4.241095																																																																0.000000	0.520621																																							-4.761716	
 1 	 5																																																															4.241095																																																																0.000000	0.619524																																							-4.860618	
 1 	 6																																																															4.241095																																																																0.000000	0.683554																																							-4.924648	
 1 	 7																																																															4.241095																																																																0.000000	0.660601																																							-4.901696	
 1 	 8																																																															4.241095																																																																0.000000	0.249350																																							-4.490444	
 1 	 9																																																															4.241095																																																																-0.291648	0.000000																																							-3.949447	
 1 	 10																																																															4.241095																																																																-0.636668	0.000000																																							-3.604426	
 1 	 11																																																															4.241095																																																																-0.881499	0.000000																																							-3.359596	
 1 	 12																																																															4.241095																																																																-1.039758	0.000000																																							-3.201336	
 1 	 13																																																															4.241095																																																																-1.118039	0.000000																																							-3.123056	
 1 	 14																																																															4.241095																																																																-1.121926	0.000000																																							-3.119168	
 1 	 15																																																															4.241095																																																																-0.941126	0.000000																																							-3.299969	
 1 	 16																																																															4.241095																																																																-0.468303	0.000000																																							-3.772791	
 1 	 17																																																															4.241095																																																																-0.067543	0.000000																																							-4.173551	
 1 	 18																																																															4.241095																																																																0.000000	0.190507																																							-4.431602	
 1 	 19																																																															4.241095																																																																0.000000	0.297572																																							-4.538666	
 1 	 20																																																															4.241095																																																																0.000000	0.317010																																							-4.558104	
 1 	 21																																																															4.241095																																																																0.000000	0.337877																																							-4.578971	
 1 	 22																																																															4.241095																																																																0.000000	0.340464																																							-4.581559	
 1 	 23																																																															4.241095																																																																0.000000	0.336062																																							-4.577156	
 1 	 24																																																															4.241095																																																																0.000000	0.370793																																							-4.611888	
 2 	 1																																																															4.241095																																																																0.000000	0.112356																																							-4.353451	
 2 	 2																																																															4.241095																																																																0.000000	0.112485																																							-4.353579	
 2 	 3																																																															4.241095																																																																0.000000	0.116501																																							-4.357596	
 2 	 4																																																															4.241095																																																																0.000000	0.119346																																							-4.360441	
 2 	 5																																																															4.241095																																																																0.000000	0.121818																																							-4.362912	
 2 	 6																																																															4.241095																																																																0.000000	0.106653																																							-4.347748	
 2 	 7																																																															3.436762																																																																0.000000	0.860177																																							-4.296938	
 2 	 8																																																															4.241095																																																																-0.063398	0.000000																																							-4.177697	
 2 	 9																																																															4.000514																																																																0.000000	0.000000																																							-4.000514	
 2 	 10																																																															3.845897																																																																0.000000	0.000000																																							-3.845897	
 2 	 11																																																															4.241095																																																																-0.504206	0.000000																																							-3.736889	
 2 	 12																																																															3.668199																																																																0.000000	0.000000																																							-3.668199	
 2 	 13																																																															4.241095																																																																-0.601937	0.000000																																							-3.639158	
 2 	 14																																																															4.241095																																																																-0.595320	0.000000																																							-3.645774	
 2 	 15																																																															4.241095																																																																-0.541409	0.000000																																							-3.699686	
 2 	 16																																																															4.241095																																																																-0.447694	0.000000																																							-3.793401	
 2 	 17																																																															3.836306																																																																0.000000	0.000000																																							-3.836306	
 2 	 18																																																															4.241095																																																																-0.377189	0.000000																																							-3.863906	
 2 	 19																																																															3.882572																																																																0.000000	0.000000																																							-3.882572	
 2 	 20																																																															4.241095																																																																-0.327280	0.000000																																							-3.913814	
 2 	 21																																																															2.373960																																																																0.000000	1.585991																																							-3.959951	
 2 	 22																																																															4.241095																																																																-0.228262	0.000000																																							-4.012833	
 2 	 23																																																															4.061441																																																																0.000000	0.000000																																							-4.061441	
 2 	 24																																																															4.241095																																																																-0.141035	0.000000																																							-4.100060	
 3 	 1																																																															3.992223																																																																0.000000	0.000000																																							-3.992223	
 3 	 2																																																															2.468319																																																																0.000000	1.585991																																							-4.054310	
 3 	 3																																																															2.519901																																																																0.000000	1.585991																																							-4.105891	
 3 	 4																																																															4.163305																																																																0.000000	0.000000																																							-4.163305	
 3 	 5																																																															4.219431																																																																0.000000	0.000000																																							-4.219431	
 3 	 6																																																															4.173294																																																																0.000000	0.000000																																							-4.173294	
 3 	 7																																																															3.081321																																																																0.000000	0.572486																																							-3.653807	
 3 	 8																																																															4.241095																																																																-1.035613	0.000000																																							-3.205481	
 3 	 9																																																															4.241095																																																																-1.573238	0.000000																																							-2.667856	
 3 	 10																																																															2.947924																																																																-0.659304	0.000000																																							-2.288620	
 3 	 11																																																															3.574298																																																																-1.585991	0.000000																																							-1.988307	
 3 	 12																																																															3.363684																																																																-1.585991	0.000000																																							-1.777693	
 3 	 13																																																															1.716042																																																																-0.052274	0.000000																																							-1.663768	
 3 	 14																																																															1.703388																																																																-0.052274	0.000000																																							-1.651114	
 3 	 15																																																															1.790178																																																																-0.052274	0.000000																																							-1.737903	
 3 	 16																																																															2.055231																																																																-0.052274	0.000000																																							-2.002957	
 3 	 17																																																															1.015892																																																																0.000000	1.585991																																							-2.601883	
 3 	 18																																																															1.318934																																																																0.000000	1.585991																																							-2.904924	
 3 	 19																																																															1.476537																																																																0.000000	1.585991																																							-3.062528	
 3 	 20																																																															2.840327																																																																0.000000	0.357765																																							-3.198092	
 3 	 21																																																															4.241095																																																																-0.885386	0.000000																																							-3.355709	
 3 	 22																																																															4.241095																																																																-0.747092	0.000000																																							-3.494002	
 3 	 23																																																															4.241095																																																																-0.638097	0.000000																																							-3.602998	
 3 	 24																																																															4.241095																																																																-0.549699	0.000000																																							-3.691396	
 4 	 1																																																															0.165777																																																																0.000000	1.585991																																							-1.751767	
 4 	 2																																																															0.260393																																																																0.000000	1.585991																																							-1.846383	
 4 	 3																																																															1.301452																																																																0.000000	0.617779																																							-1.919231	
 4 	 4																																																															2.004514																																																																0.000000	0.000000																																							-2.004514	
 4 	 5																																																															1.787670																																																																0.000000	0.000000																																							-1.787670	
 4 	 6																																																															1.270423																																																																0.000000	0.000000																																							-1.270423	
 4 	 7																																																															0.664674																																																																0.000000	0.000000																																							-0.664674	
 4 	 8																																																															0.363641																																																																0.000000	0.000000																																							-0.363641	
 4 	 9																																																															0.363641																																																																0.000000	0.000000																																							-0.363641	
 4 	 10																																																															0.363641																																																																0.000000	0.000000																																							-0.363641	
 4 	 11																																																															1.675578																																																																-1.311937	0.000000																																							-0.363641	
 4 	 12																																																															1.949632																																																																-1.585991	0.000000																																							-0.363641	
 4 	 13																																																															1.949632																																																																-1.585991	0.000000																																							-0.363641	
