Time	DAM_STORAGE	PHS	BATT_LI	CAES	BEV_BATT	PHEV_BATT	TS_DEC_HP_ELEC	TS_DEC_DIRECT_ELEC	TS_DHN_DAILY	TS_DHN_SEASONAL	TS_DEC_THHP_GAS	TS_DEC_COGEN_GAS	TS_DEC_COGEN_OIL	TS_DEC_ADVCOGEN_GAS	TS_DEC_ADVCOGEN_H2	TS_DEC_BOILER_GAS	TS_DEC_BOILER_WOOD	TS_DEC_BOILER_OIL	SEASONAL_NG	SEASONAL_H2	CO2_STORAGE	SLF_STO	PT_STORAGE	ST_STORAGE	TS_MOLTEN_SALT	TS_COLD	DAM_STORAGE_in	DAM_STORAGE_out	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	CAES_in	CAES_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_DEC_HP_ELEC_in	TS_DEC_HP_ELEC_out	TS_DEC_DIRECT_ELEC_in	TS_DEC_DIRECT_ELEC_out	TS_DHN_DAILY_in	TS_DHN_DAILY_out	TS_DHN_SEASONAL_in	TS_DHN_SEASONAL_out	TS_DEC_THHP_GAS_in	TS_DEC_THHP_GAS_out	TS_DEC_COGEN_GAS_in	TS_DEC_COGEN_GAS_out	TS_DEC_COGEN_OIL_in	TS_DEC_COGEN_OIL_out	TS_DEC_ADVCOGEN_GAS_in	TS_DEC_ADVCOGEN_GAS_out	TS_DEC_ADVCOGEN_H2_in	TS_DEC_ADVCOGEN_H2_out	TS_DEC_BOILER_GAS_in	TS_DEC_BOILER_GAS_out	TS_DEC_BOILER_WOOD_in	TS_DEC_BOILER_WOOD_out	TS_DEC_BOILER_OIL_in	TS_DEC_BOILER_OIL_out	SEASONAL_NG_in	SEASONAL_NG_out	SEASONAL_H2_in	SEASONAL_H2_out	CO2_STORAGE_in	CO2_STORAGE_out	SLF_STO_in	SLF_STO_out	PT_STORAGE_in	PT_STORAGE_out	ST_STORAGE_in	ST_STORAGE_out	TS_MOLTEN_SALT_in	TS_MOLTEN_SALT_out	TS_COLD_in	TS_COLD_out	
 1	0.286458	2.338322			9.236826		66.427734			75.656062									869.175618	12.401667		90.160476				0.368207	-0.012399	0.000000	-0.259800	0.000000					-1.803514	0.063065			-2.381995	0.000000					-1.451047	0.000000																	-0.987302	0.000000	-0.915294	0.000000			-2.717195	0.000000							0.000000	0.000000	
 2	0.298858	2.598122			11.026926		68.113028			77.014819									870.275000	13.316961		92.765984				0.445390	-0.012399	0.000000	-0.259800	0.000000					-1.817173	0.025226			-2.232659	0.000000					-1.363342	0.000000																	-1.099382	0.000000	-0.915294	0.000000			-2.605508	0.000000							-0.080217	0.000000	
 3	0.311257	2.857922			12.833835		69.537462			78.228445									871.262302	14.232256		95.485213				0.441720	-0.012399	0.000000	-0.259800	0.000000					-1.821727	0.012613			-1.985685	0.000000					-1.218294	0.000000																	-0.987302	0.000000	-0.915294	0.000000			-2.719229	0.000000							0.000000	0.000000	
 4	0.323657	2.857922			14.451552		70.680577			79.283673									872.249603	14.589038		98.198848				0.438081	-0.012399	0.000000	0.000000	0.000000					-1.771640	0.151356			-1.716104	0.000000					-1.059968	0.000000																	-0.987302	0.000000	-0.356782	0.000000			-2.713635	0.000000							0.000000	0.000000	
 5	0.336401	2.857922			15.725620		71.495510			80.020882									872.765111	14.589038		100.902311				0.434471	-0.012744	0.000000	0.000000	0.000000					-1.680575	0.403616			-1.397341	0.000000					-0.742014	0.000000																	-0.515507	0.000000	0.000000	0.000000			-2.703463	0.000000							0.000000	0.000000	
 6	0.350178	2.857922			16.175452		71.978354			80.340733									873.953497	14.589038		102.077117				0.430891	-0.013777	0.000000	0.000000	0.000000					-1.462017	1.009040			-1.071967	0.000000					-0.324701	0.000000																	-1.188386	0.000000	0.000000	0.000000			-1.174806	0.000000							0.000000	0.000000	
 7	0.363955	2.857922			15.337724		72.316074			80.165438									875.141882	14.589038		101.711203				0.427340	-0.013777	0.000000	0.000000	0.000000					-1.120520	1.955013			-0.930821	0.000000					0.000000	0.170427																	-1.188386	0.000000	0.000000	0.000000			0.000000	0.365915							0.000000	0.000000	
 8	0.348732	2.740200			14.843493		71.831430			80.240510									876.330268	13.897545		101.081404				0.423819	-0.013777	0.029000	0.000000	0.117722					-1.211587	1.702751			-0.111241	0.000000					-0.079930	0.000000																	-1.188386	0.000000	0.000000	0.691492			0.000000	0.629799							0.000000	0.000000	
 9	0.362854	2.740200			14.521018		73.746258			81.378565									876.330268	13.897545		103.344725				0.420327	-0.014122	0.000000	0.000000	0.000000					-1.257118	1.576625			-2.506719	0.000000					-1.142918	0.000000																	0.000000	0.000000	0.000000	0.000000			-2.263321	0.000000							0.000000	0.000000	
 10	0.349009	2.740200			13.941107		76.626719			82.629931									877.518654	13.669707		102.712384				0.416863	-0.015155	0.029000	0.000000	0.000000					-1.188817	1.765824			-3.488130	0.000000					-1.256298	0.000000																	-1.188386	0.000000	0.000000	0.227838			0.000000	0.632342							0.000000	0.000000	
