Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																																																															14.766404																																																																-2.381995	0.000000																																							-12.384409	
 1 	 2																																																															14.766404																																																																-2.232659	0.000000																																							-12.533745	
 1 	 3																																																															14.766404																																																																-1.985685	0.000000																																							-12.780719	
 1 	 4																																																															14.766404																																																																-1.716104	0.000000																																							-13.050300	
 1 	 5																																																															14.766404																																																																-1.397341	0.000000																																							-13.369063	
 1 	 6																																																															14.766404																																																																-1.071967	0.000000																																							-13.694437	
 1 	 7																																																															14.766404																																																																-0.930821	0.000000																																							-13.835583	
 1 	 8																																																															13.392519																																																																-0.111241	0.000000																																							-13.281278	
 1 	 9																																																															14.766404																																																																-2.506719	0.000000																																							-12.259685	
 1 	 10																																																															14.766404																																																																-3.488130	0.000000																																							-11.278274	
 1 	 11																																																															14.766404																																																																-4.150737	0.000000																																							-10.615667	
 1 	 12																																																															14.766404																																																																-4.561848	0.000000																																							-10.204556	
 1 	 13																																																															14.766404																																																																-4.727179	0.000000																																							-10.039225	
 1 	 14																																																															14.766404																																																																-4.582322	0.000000																																							-10.184082	
 1 	 15																																																															14.766404																																																																-3.350695	0.000000																																							-11.415709	
 1 	 16																																																															13.989863																																																																-0.448473	0.000000																																							-13.541390	
 1 	 17																																																															14.766404																																																																-0.502093	0.000000																																							-14.264311	
 1 	 18																																																															14.766404																																																																-0.160339	0.000000																																							-14.606065	
 1 	 19																																																															14.766404																																																																0.000000	0.097341																																							-14.863745	
 1 	 20																																																															14.766404																																																																0.000000	0.253246																																							-15.019650	
 1 	 21																																																															14.766404																																																																0.000000	0.372638																																							-15.139042	
 1 	 22																																																															9.471749																																																																0.000000	5.686956																																							-15.158706	
 1 	 23																																																															8.394525																																																																0.000000	6.744517																																							-15.139042	
 1 	 24																																																															3.864536																																																																0.000000	11.231807																																							-15.096344	
 2 	 1																																																															14.766404																																																																0.000000	0.970408																																							-15.736812	
 2 	 2																																																															14.766404																																																																0.000000	1.300261																																							-16.066665	
 2 	 3																																																															14.766404																																																																0.000000	1.704803																																							-16.471207	
 2 	 4																																																															14.766404																																																																0.000000	2.090065																																							-16.856469	
 2 	 5																																																															14.766404																																																																0.000000	2.366173																																							-17.132577	
 2 	 6																																																															14.766404																																																																0.000000	2.523741																																							-17.290145	
 2 	 7																																																															14.766404																																																																0.000000	1.913217																																							-16.679621	
 2 	 8																																																															14.766404																																																																0.000000	0.544965																																							-15.311369	
 2 	 9																																																															14.766404																																																																-0.704364	0.000000																																							-14.062040	
 2 	 10																																																															14.766404																																																																-1.420716	0.000000																																							-13.345688	
 2 	 11																																																															14.766404																																																																-1.716104	0.000000																																							-13.050300	
 2 	 12																																																															14.766404																																																																-1.899521	0.000000																																							-12.866883	
 2 	 13																																																															14.766404																																																																-1.950366	0.000000																																							-12.816038	
 2 	 14																																																															14.766404																																																																-1.890478	0.000000																																							-12.875926	
 2 	 15																																																															14.766404																																																																-1.732526	0.000000																																							-13.033878	
 2 	 16																																																															14.766404																																																																-1.433001	0.000000																																							-13.333403	
 2 	 17																																																															14.766404																																																																-1.309514	0.000000																																							-13.456890	
 2 	 18																																																															14.766404																																																																-1.311562	0.000000																																							-13.454842	
 2 	 19																																																															14.766404																																																																-1.362449	0.000000																																							-13.403955	
 2 	 20																																																															14.766404																																																																-1.428522	0.000000																																							-13.337882	
 2 	 21																																																															14.766404																																																																-1.467083	0.000000																																							-13.299321	
 2 	 22																																																															14.766404																																																																-1.555677	0.000000																																							-13.210727	
 2 	 23																																																															14.766404																																																																-1.646362	0.000000																																							-13.120041	
 2 	 24																																																															14.766404																																																																-1.670975	0.000000																																							-13.095429	
 3 	 1																																																															0.000000																																																																0.000000	1.190695																																							-1.190695	
 3 	 2																																																															0.000000																																																																0.000000	1.190695																																							-1.190695	
 3 	 3																																																															0.000000																																																																0.000000	1.190695																																							-1.190695	
 3 	 4																																																															0.000000																																																																0.000000	1.190695																																							-1.190695	
 3 	 5																																																															0.000000																																																																0.000000	1.190695																																							-1.190695	
 3 	 6																																																															0.000000																																																																0.000000	1.190695																																							-1.190695	
