Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																																																																												0.041732	0.000000	0.013911	0.000000	0.000000	0.083464																																																																																						-0.139107	
 1 	 2																																																																												0.016693	0.000000	0.005564	0.000000	0.000000	0.033386																																																																																						-0.055643	
 1 	 3																																																																												0.008346	0.000000	0.002782	0.000000	0.000000	0.016693																																																																																						-0.027821	
 1 	 4																																																																												0.100157	0.000000	0.033386	0.000000	0.000000	0.200314																																																																																						-0.333857	
 1 	 5																																																																												0.267085	0.000000	0.089028	0.000000	0.000000	0.534171																																																																																						-0.890285	
 1 	 6																																																																												0.667713	0.000000	0.222571	0.000000	0.000000	1.335427																																																																																						-2.225711	
 1 	 7																																																																												1.293693	0.000000	0.431231	0.000000	0.000000	2.587386																																																																																						-4.312310	
 1 	 8																																																																												1.126763	0.000000	0.375588	0.000000	0.000000	2.253527																																																																																						-3.755878	
 1 	 9																																																																												1.043302	0.000000	0.347767	0.000000	0.000000	2.086604																																																																																						-3.477673	
 1 	 10																																																																												1.168501	0.000000	0.389500	0.000000	0.000000	2.337002																																																																																						-3.895004	
 1 	 11																																																																												1.335424	0.000000	0.445141	0.000000	0.000000	2.670847																																																																																						-4.451412	
 1 	 12																																																																												1.468970	0.000000	0.489657	0.000000	0.000000	2.937941																																																																																						-4.896568	
 1 	 13																																																																												1.335424	0.000000	0.445141	0.000000	0.000000	2.670847																																																																																						-4.451412	
 1 	 14																																																																												1.352119	0.000000	0.450706	0.000000	0.000000	2.704238																																																																																						-4.507063	
 1 	 15																																																																												1.519049	0.000000	0.506350	0.000000	0.000000	3.038097																																																																																						-5.063495	
 1 	 16																																																																												1.585822	0.000000	0.528607	0.000000	0.000000	3.171644																																																																																						-5.286073	
 1 	 17																																																																												1.585822	0.000000	0.528607	0.000000	0.000000	3.171644																																																																																						-5.286073	
 1 	 18																																																																												1.168501	0.000000	0.389500	0.000000	0.000000	2.337002																																																																																						-3.895004	
 1 	 19																																																																												0.834642	0.000000	0.278214	0.000000	0.000000	1.669283																																																																																						-2.782139	
 1 	 20																																																																												0.625981	0.000000	0.208660	0.000000	0.000000	1.251962																																																																																						-2.086604	
 1 	 21																																																																												0.417321	0.000000	0.139107	0.000000	0.000000	0.834642																																																																																						-1.391069	
 1 	 22																																																																												0.267085	0.000000	0.089028	0.000000	0.000000	0.534171																																																																																						-0.890285	
 1 	 23																																																																												0.166928	0.000000	0.055643	0.000000	0.000000	0.333857																																																																																						-0.556428	
 1 	 24																																																																												0.066771	0.000000	0.022257	0.000000	0.000000	0.133543																																																																																						-0.222571	
 2 	 1																																																																												0.041732	0.000000	0.013911	0.000000	0.000000	0.083464																																																																																						-0.139107	
 2 	 2																																																																												0.016693	0.000000	0.005564	0.000000	0.000000	0.033386																																																																																						-0.055643	
 2 	 3																																																																												0.008346	0.000000	0.002782	0.000000	0.000000	0.016693																																																																																						-0.027821	
 2 	 4																																																																												0.100157	0.000000	0.033386	0.000000	0.000000	0.200314																																																																																						-0.333857	
 2 	 5																																																																												0.267085	0.000000	0.089028	0.000000	0.000000	0.534171																																																																																						-0.890285	
 2 	 6																																																																												0.667713	0.000000	0.222571	0.000000	0.000000	1.335427																																																																																						-2.225711	
 2 	 7																																																																												1.293693	0.000000	0.431231	0.000000	0.000000	2.587386																																																																																						-4.312310	
 2 	 8																																																																												1.126763	0.000000	0.375588	0.000000	0.000000	2.253527																																																																																						-3.755878	
 2 	 9																																																																												1.043302	0.000000	0.347767	0.000000	0.000000	2.086604																																																																																						-3.477673	
 2 	 10																																																																												1.168501	0.000000	0.389500	0.000000	0.000000	2.337002																																																																																						-3.895004	
 2 	 11																																																																												1.335424	0.000000	0.445141	0.000000	0.000000	2.670847																																																																																						-4.451412	
 2 	 12																																																																												1.468970	0.000000	0.489657	0.000000	0.000000	2.937941																																																																																						-4.896568	
 2 	 13																																																																												1.335424	0.000000	0.445141	0.000000	0.000000	2.670847																																																																																						-4.451412	
 2 	 14																																																																												1.352119	0.000000	0.450706	0.000000	0.000000	2.704238																																																																																						-4.507063	
 2 	 15																																																																												1.519049	0.000000	0.506350	0.000000	0.000000	3.038097																																																																																						-5.063495	
 2 	 16																																																																												1.585822	0.000000	0.528607	0.000000	0.000000	3.171644																																																																																						-5.286073	
 2 	 17																																																																												1.585822	0.000000	0.528607	0.000000	0.000000	3.171644																																																																																						-5.286073	
 2 	 18																																																																												1.168501	0.000000	0.389500	0.000000	0.000000	2.337002																																																																																						-3.895004	
 2 	 19																																																																												0.834642	0.000000	0.278214	0.000000	0.000000	1.669283																																																																																						-2.782139	
 2 	 20																																																																												0.625981	0.000000	0.208660	0.000000	0.000000	1.251962																																																																																						-2.086604	
 2 	 21																																																																												0.417321	0.000000	0.139107	0.000000	0.000000	0.834642																																																																																						-1.391069	
 2 	 22																																																																												0.267085	0.000000	0.089028	0.000000	0.000000	0.534171																																																																																						-0.890285	
 2 	 23																																																																												0.166928	0.000000	0.055643	0.000000	0.000000	0.333857																																																																																						-0.556428	
 2 	 24																																																																												0.066771	0.000000	0.022257	0.000000	0.000000	0.133543																																																																																						-0.222571	
 3 	 1																																																																												0.041732	0.000000	0.013911	0.000000	0.000000	0.083464																																																																																						-0.139107	
 3 	 2																																																																												0.016693	0.000000	0.005564	0.000000	0.000000	0.033386																																																																																						-0.055643	
 3 	 3																																																																												0.008346	0.000000	0.002782	0.000000	0.000000	0.016693																																																																																						-0.027821	
 3 	 4																																																																												0.100157	0.000000	0.033386	0.000000	0.000000	0.200314																																																																																						-0.333857	
 3 	 5																																																																												0.267085	0.000000	0.089028	0.000000	0.000000	0.534171																																																																																						-0.890285	
 3 	 6																																																																												0.667713	0.000000	0.222571	0.000000	0.000000	1.335427																																																																																						-2.225711	
 3 	 7																																																																												1.293693	0.000000	0.431231	0.000000	0.000000	2.587386																																																																																						-4.312310	
 3 	 8																																																																												1.126763	0.000000	0.375588	0.000000	0.000000	2.253527																																																																																						-3.755878	
 3 	 9																																																																												1.043302	0.000000	0.347767	0.000000	0.000000	2.086604																																																																																						-3.477673	
 3 	 10																																																																												1.168501	0.000000	0.389500	0.000000	0.000000	2.337002																																																																																						-3.895004	
 3 	 11																																																																												1.335424	0.000000	0.445141	0.000000	0.000000	2.670847																																																																																						-4.451412	
 3 	 12																																																																												1.468970	0.000000	0.489657	0.000000	0.000000	2.937941																																																																																						-4.896568	
 3 	 13																																																																												1.335424	0.000000	0.445141	0.000000	0.000000	2.670847																																																																																						-4.451412	
 3 	 14																																																																												1.352119	0.000000	0.450706	0.000000	0.000000	2.704238																																																																																						-4.507063	
 3 	 15																																																																												1.519049	0.000000	0.506350	0.000000	0.000000	3.038097																																																																																						-5.063495	
 3 	 16																																																																												1.585822	0.000000	0.528607	0.000000	0.000000	3.171644																																																																																						-5.286073	
 3 	 17																																																																												1.585822	0.000000	0.528607	0.000000	0.000000	3.171644																																																																																						-5.286073	
 3 	 18																																																																												1.168501	0.000000	0.389500	0.000000	0.000000	2.337002																																																																																						-3.895004	
 3 	 19																																																																												0.834642	0.000000	0.278214	0.000000	0.000000	1.669283																																																																																						-2.782139	
 3 	 20																																																																												0.625981	0.000000	0.208660	0.000000	0.000000	1.251962																																																																																						-2.086604	
 3 	 21																																																																												0.417321	0.000000	0.139107	0.000000	0.000000	0.834642																																																																																						-1.391069	
 3 	 22																																																																												0.267085	0.000000	0.089028	0.000000	0.000000	0.534171																																																																																						-0.890285	
 3 	 23																																																																												0.166928	0.000000	0.055643	0.000000	0.000000	0.333857																																																																																						-0.556428	
 3 	 24																																																																												0.066771	0.000000	0.022257	0.000000	0.000000	0.133543																																																																																						-0.222571	
 4 	 1																																																																												0.041732	0.000000	0.013911	0.000000	0.000000	0.083464																																																																																						-0.139107	
 4 	 2																																																																												0.016693	0.000000	0.005564	0.000000	0.000000	0.033386																																																																																						-0.055643	
 4 	 3																																																																												0.008346	0.000000	0.002782	0.000000	0.000000	0.016693																																																																																						-0.027821	
 4 	 4																																																																												0.100157	0.000000	0.033386	0.000000	0.000000	0.200314																																																																																						-0.333857	
 4 	 5																																																																												0.267085	0.000000	0.089028	0.000000	0.000000	0.534171																																																																																						-0.890285	
 4 	 6																																																																												0.667713	0.000000	0.222571	0.000000	0.000000	1.335427																																																																																						-2.225711	
 4 	 7																																																																												1.293693	0.000000	0.431231	0.000000	0.000000	2.587386																																																																																						-4.312310	
 4 	 8																																																																												1.126763	0.000000	0.375588	0.000000	0.000000	2.253527																																																																																						-3.755878	
 4 	 9																																																																												1.043302	0.000000	0.347767	0.000000	0.000000	2.086604																																																																																						-3.477673	
 4 	 10																																																																												1.168501	0.000000	0.389500	0.000000	0.000000	2.337002																																																																																						-3.895004	
 4 	 11																																																																												1.335424	0.000000	0.445141	0.000000	0.000000	2.670847																																																																																						-4.451412	
 4 	 12																																																																												1.468970	0.000000	0.489657	0.000000	0.000000	2.937941																																																																																						-4.896568	
 4 	 13																																																																												1.335424	0.000000	0.445141	0.000000	0.000000	2.670847																																																																																						-4.451412	
 4 	 14																																																																												1.352119	0.000000	0.450706	0.000000	0.000000	2.704238																																																																																						-4.507063	
 4 	 15																																																																												1.519049	0.000000	0.506350	0.000000	0.000000	3.038097																																																																																						-5.063495	
 4 	 16																																																																												1.585822	0.000000	0.528607	0.000000	0.000000	3.171644																																																																																						-5.286073	
 4 	 17																																																																												1.585822	0.000000	0.528607	0.000000	0.000000	3.171644																																																																																						-5.286073	
 4 	 18																																																																												1.168501	0.000000	0.389500	0.000000	0.000000	2.337002																																																																																						-3.895004	
 4 	 19																																																																												0.834642	0.000000	0.278214	0.000000	0.000000	1.669283																																																																																						-2.782139	
 4 	 20																																																																												0.625981	0.000000	0.208660	0.000000	0.000000	1.251962																																																																																						-2.086604	
 4 	 21																																																																												0.417321	0.000000	0.139107	0.000000	0.000000	0.834642																																																																																						-1.391069	
 4 	 22																																																																												0.267085	0.000000	0.089028	0.000000	0.000000	0.534171																																																																																						-0.890285	
 4 	 23																																																																												0.166928	0.000000	0.055643	0.000000	0.000000	0.333857																																																																																						-0.556428	
 4 	 24																																																																												0.066771	0.000000	0.022257	0.000000	0.000000	0.133543																																																																																						-0.222571	
 5 	 1																																																																												0.041732	0.000000	0.013911	0.000000	0.000000	0.083464																																																																																						-0.139107	
 5 	 2																																																																												0.016693	0.000000	0.005564	0.000000	0.000000	0.033386																																																																																						-0.055643	
 5 	 3																																																																												0.008346	0.000000	0.002782	0.000000	0.000000	0.016693																																																																																						-0.027821	
 5 	 4																																																																												0.100157	0.000000	0.033386	0.000000	0.000000	0.200314																																																																																						-0.333857	
 5 	 5																																																																												0.267085	0.000000	0.089028	0.000000	0.000000	0.534171																																																																																						-0.890285	
 5 	 6																																																																												0.667713	0.000000	0.222571	0.000000	0.000000	1.335427																																																																																						-2.225711	
 5 	 7																																																																												1.293693	0.000000	0.431231	0.000000	0.000000	2.587386																																																																																						-4.312310	
 5 	 8																																																																												1.126763	0.000000	0.375588	0.000000	0.000000	2.253527																																																																																						-3.755878	
 5 	 9																																																																												1.043302	0.000000	0.347767	0.000000	0.000000	2.086604																																																																																						-3.477673	
 5 	 10																																																																												1.168501	0.000000	0.389500	0.000000	0.000000	2.337002																																																																																						-3.895004	
 5 	 11																																																																												1.335424	0.000000	0.445141	0.000000	0.000000	2.670847																																																																																						-4.451412	
 5 	 12																																																																												1.468970	0.000000	0.489657	0.000000	0.000000	2.937941																																																																																						-4.896568	
 5 	 13																																																																												1.335424	0.000000	0.445141	0.000000	0.000000	2.670847																																																																																						-4.451412	
 5 	 14																																																																												1.352119	0.000000	0.450706	0.000000	0.000000	2.704238																																																																																						-4.507063	
