Name	Used	Potential
ELECTRICITY	0.000000	100000000.000000
GASOLINE	0.000000	100000000.000000
DIESEL	0.000000	100000000.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	100000000.000000
NG	0.000000	100000000.000000
SLF	0.000000	0.000000
SNG	0.000000	0.000000
WOOD	32377.920000	32377.920000
WET_BIOMASS	19526.770000	19526.770000
COAL	0.000000	100000000.000000
URANIUM	0.000000	100000000.000000
WASTE	10339.070000	10339.070000
H2	0.000000	0.000000
ELEC_EXPORT	286.288121	100000000.000000
CO2_EMISSIONS	12393.066764	100000000.000000
RES_WIND	99568.469330	100000000.000000
RES_SOLAR	16299.546092	100000000.000000
RES_HYDRO	181.978369	100000000.000000
RES_GEO	0.000000	100000000.000000
CO2_ATM	0.000000	100000000.000000
CO2_INDUSTRY	0.000000	100000000.000000
CO2_CAPTURED	2631.669214	100000000.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
