Time	DAM_STORAGE	PHS	BATT_LI	CAES	BEV_BATT	PHEV_BATT	TS_DEC_HP_ELEC	TS_DEC_DIRECT_ELEC	TS_DHN_DAILY	TS_DHN_SEASONAL	TS_DEC_THHP_GAS	TS_DEC_COGEN_GAS	TS_DEC_COGEN_OIL	TS_DEC_ADVCOGEN_GAS	TS_DEC_ADVCOGEN_H2	TS_DEC_BOILER_GAS	TS_DEC_BOILER_WOOD	TS_DEC_BOILER_OIL	SEASONAL_NG	SEASONAL_H2	CO2_STORAGE	SLF_STO	PT_STORAGE	ST_STORAGE	TS_MOLTEN_SALT	TS_COLD	DAM_STORAGE_in	DAM_STORAGE_out	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	CAES_in	CAES_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_DEC_HP_ELEC_in	TS_DEC_HP_ELEC_out	TS_DEC_DIRECT_ELEC_in	TS_DEC_DIRECT_ELEC_out	TS_DHN_DAILY_in	TS_DHN_DAILY_out	TS_DHN_SEASONAL_in	TS_DHN_SEASONAL_out	TS_DEC_THHP_GAS_in	TS_DEC_THHP_GAS_out	TS_DEC_COGEN_GAS_in	TS_DEC_COGEN_GAS_out	TS_DEC_COGEN_OIL_in	TS_DEC_COGEN_OIL_out	TS_DEC_ADVCOGEN_GAS_in	TS_DEC_ADVCOGEN_GAS_out	TS_DEC_ADVCOGEN_H2_in	TS_DEC_ADVCOGEN_H2_out	TS_DEC_BOILER_GAS_in	TS_DEC_BOILER_GAS_out	TS_DEC_BOILER_WOOD_in	TS_DEC_BOILER_WOOD_out	TS_DEC_BOILER_OIL_in	TS_DEC_BOILER_OIL_out	SEASONAL_NG_in	SEASONAL_NG_out	SEASONAL_H2_in	SEASONAL_H2_out	CO2_STORAGE_in	CO2_STORAGE_out	SLF_STO_in	SLF_STO_out	PT_STORAGE_in	PT_STORAGE_out	ST_STORAGE_in	ST_STORAGE_out	TS_MOLTEN_SALT_in	TS_MOLTEN_SALT_out	TS_COLD_in	TS_COLD_out	
 1		12.911608					1.524876			495.056280									779.913488	221.353522		23.137984							0.000000	5.053408									0.000000	0.000000					-0.724046	2.812535																	-0.640613	0.000000	-1.527259	0.000000			0.000000	0.704126									
 2		7.858200					0.740358			495.662509									779.931099	220.390343		23.066278							0.000000	5.053408									0.000000	0.771953					-0.636230	0.000000																	-0.017611	0.000000	0.000000	0.963180			0.000000	0.071706									
 3		7.858200					0.734257			496.524435									780.298878	220.813767		22.641908							0.000000	0.000000									0.000000	0.000000					-0.891963	0.000000																	-0.367779	0.000000	-10.089818	9.666393			0.000000	0.424369									
 4		10.625574					1.500160			495.089302									780.316489	219.746279		22.559786							-2.767375	0.000000									-0.771953	0.000000					-1.065769	2.470812																	-0.017611	0.000000	0.000000	1.067488			0.000000	0.082122									
 5		10.625574					0.715846			496.358424									780.334100	221.025139		22.456832							0.000000	0.000000									0.000000	0.771953					-1.299124	0.000000																	-0.017611	0.000000	-1.278860	0.000000			0.000000	0.102954									
 6		10.625574					1.481900			495.158757									780.351712	221.862402		22.303882							0.000000	0.000000									-0.771953	0.000000					-1.183497	2.353084																	-0.017611	0.000000	-0.837263	0.000000			0.000000	0.152950									
 7		5.572166					0.697736			496.549582									780.369323	222.009670		22.072812							0.000000	5.053408									0.000000	0.771953					-1.420831	0.000000																	-0.017611	0.000000	-0.147268	0.000000			0.000000	0.231069									
 8		5.572166					1.463940			497.973772									780.369323	222.340939		21.862575							0.000000	0.000000									-0.771953	0.000000					-1.454281	0.000000																	0.000000	0.000000	-0.331269	0.000000			0.000000	0.210237									
 9		9.362000					0.679924			498.521902									780.369323	222.764204		22.055219							-3.789834	0.000000									0.000000	0.771953					-2.057444	1.479137																	0.000000	0.000000	-0.423265	0.000000			-0.192644	0.000000									
 10		9.362000					0.674322			499.987834									780.369323	219.551134		21.596432							0.000000	0.000000									0.000000	0.000000					-1.496143	0.000000																	0.000000	0.000000	-26.433820	29.646891			0.000000	0.458787									
