Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1	0.000000															0.000000												0.000000							14.753150			0.149386														-1.124403	-0.683937										-1.824214											0.000000	-0.042501	-0.014128					-0.015675					0.000000	0.000000		-0.037035													-3.143063				0.015132				-0.008221							-3.752920	0.000000																																																	-4.271570	
 1 	 2	0.000000															0.000000												0.000000							14.025664			0.146045														-1.124403	-0.683937										-1.824214											0.000000	-0.042501	-0.005651					-0.006270					0.000000	0.000000		-0.037035													-3.143063				0.015132				-0.008221							-3.101126	0.000000																																																	-4.210419	
 1 	 3	0.000000															0.000000												0.000000							12.632751			0.145567														-1.124403	-0.683937										-1.824214											0.000000	-0.042501	-0.002826					-0.003135					0.000000	0.000000		-0.037035													-3.143063				0.015132				-0.008221							-1.830288	0.000000																																																	-4.093828	
 1 	 4	0.000000															0.000000												0.000000							11.777696			0.144613														-1.124403	-0.683937										-1.824214											0.000000	-0.042501	-0.033908					-0.037620					0.000000	0.000000		-0.037035													-3.143063				0.015132				-0.008221							-0.980337	0.000000																																																	-4.022202	
 1 	 5	0.000000															0.000000												0.000000							11.226047			0.147477														-1.124403	-0.683937										-1.824214											0.000000	-0.042501	-0.090420					-0.100321					0.000000	0.000000		-0.037035													-3.143063				0.015132				-0.008221							-0.358258	0.000000																																																	-3.976283	
 1 	 6	0.000000															0.000000												0.000000							10.719220			0.146045														-1.124403	-0.683937										-1.824214											0.000000	-0.042501	-0.226050					-0.250802					0.000000	0.000000		-0.037035													-2.749480				0.015132				-0.008221							0.000000	0.000000																																																	-3.933754	
 1 	 7	0.000000															0.000000												0.000000							10.743355			0.145090														-1.124403	-0.683937										-1.824214											0.000000	-0.042501	-0.437971					-0.485928					0.000000	0.000000		-0.037035													-2.950551				0.015132				-0.008221							0.000000	0.626878																																																	-3.935694	
 1 	 8	0.000000															0.000000												0.000000							10.502009			0.146999														-1.124403	-0.683937										-1.824214											0.000000	-0.042501	-0.381458					-0.423227					0.000000	0.000000		-0.037035													-2.223484				0.015132				-0.008221							0.000000	0.000000																																																	-3.915659	
 1 	 9	0.000000															0.000000												0.000000							10.288245			0.148431														-1.124403	-0.683937										-1.824214											0.000000	-0.042501	-0.353203					-0.391878					0.000000	0.000000		-0.037035													-2.088524				0.015132				-0.008221							0.000000	0.000000																																																	-3.897892	
 1 	 10	0.000000															0.000000												0.000000							8.902228			0.148431														-1.124403	-0.683937										-1.824214											0.000000	-0.042501	-0.395589					-0.438905					0.000000	0.000000		-0.037035													-0.729069				0.015132				-0.008221							0.000000	0.000000																																																	-3.781918	
 1 	 11	0.000000															0.000000												0.000000							7.078340			0.159886														-1.124403	-0.683937										-1.824214											0.000000	-0.042501	-0.452099					-0.501603					0.000000	0.000000		-0.037035													0.000000				0.015132				-0.008221							0.000000	1.050919																																																	-3.630264	
 1 	 12	0.000000															0.000000												0.000000							6.216389			0.168476														-1.124403	-0.683937										-1.824214											0.000000	-0.042501	-0.497310					-0.551765					0.000000	0.000000		-0.037035													0.000000				0.015132				-0.008221							0.000000	1.928248																																																	-3.558860	
 1 	 13	0.000000															0.000000												0.000000							6.509453			0.166567														-1.124403	-0.683937										-1.824214											0.000000	-0.042501	-0.452099					-0.501603					0.000000	0.000000		-0.037035													0.000000				0.015132				-0.008221							0.000000	1.566083																																																	-3.583222	
 1 	 14	0.000000															0.000000												0.000000							7.509315			0.165613														-1.124403	-0.683937										-1.824214											0.000000	-0.042501	-0.457751					-0.507874					0.000000	0.000000		-0.037035													0.000000				0.015132				-0.008221							0.000000	0.662680																																																	-3.666805	
 1 	 15	0.000000															0.000000												0.000000							8.178189			0.164181														-1.124403	-0.683937										-1.824214											0.000000	-0.042501	-0.514264					-0.570575					0.000000	0.000000		-0.037035													0.000000				0.015132				-0.008221							0.000000	0.170300																																																	-3.722653	
 1 	 16	0.000000															0.000000												0.000000							8.764316			0.157022														-1.124403	-0.683937										-1.824214											0.000000	-0.042501	-0.536870					-0.595656					0.000000	0.000000		-0.037035													-1.568186				0.015132				-0.008221							0.000000	1.255650																																																	-3.771097	
 1 	 17	0.000000															0.000000												0.000000							9.895195			0.147954														-1.124403	-0.683937										-1.824214											0.000000	-0.042501	-0.536870					-0.595656					0.000000	0.000000		-0.037035													-1.340480				0.015132				-0.008221							0.000000	0.000000																																																	-3.864964	
