Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																																																															5.473190																																																																-0.177514	0.000000																																							-5.295676	
 1 	 2																																																															5.473190																																																																-0.093403	0.000000																																							-5.379787	
 1 	 3																																																															5.473190																																																																0.000000	0.001816																																							-5.475006	
 1 	 4																																																															5.473190																																																																0.000000	0.083749																																							-5.556939	
 1 	 5																																																															5.473190																																																																0.000000	0.117274																																							-5.590463	
 1 	 6																																																															5.473190																																																																0.000000	0.139490																																							-5.612680	
 1 	 7																																																															5.473190																																																																0.000000	0.147621																																							-5.620811	
 1 	 8																																																															5.473190																																																																0.000000	0.164304																																							-5.637494	
 1 	 9																																																															5.473190																																																																0.000000	0.204561																																							-5.677751	
 1 	 10																																																															5.473190																																																																0.000000	0.181745																																							-5.654935	
 1 	 11																																																															5.473190																																																																0.000000	0.051423																																							-5.524613	
 1 	 12																																																															5.473190																																																																-0.130504	0.000000																																							-5.342686	
 1 	 13																																																															5.473190																																																																-0.336225	0.000000																																							-5.136965	
 1 	 14																																																															5.473190																																																																-0.459614	0.000000																																							-5.013575	
 1 	 15																																																															5.473190																																																																-0.445330	0.000000																																							-5.027860	
 1 	 16																																																															5.473190																																																																-0.239208	0.000000																																							-5.233982	
 1 	 17																																																															5.473190																																																																0.000000	0.092879																																							-5.566069	
 1 	 18																																																															5.473190																																																																0.000000	0.149819																																							-5.623009	
 1 	 19																																																															5.473190																																																																0.000000	0.099812																																							-5.573002	
 1 	 20																																																															5.473190																																																																0.000000	0.065309																																							-5.538499	
 1 	 21																																																															5.473190																																																																0.000000	0.050025																																							-5.523215	
 1 	 22																																																															5.473190																																																																0.000000	0.039316																																							-5.512506	
 1 	 23																																																															5.473190																																																																0.000000	0.011346																																							-5.484536	
 1 	 24																																																															5.473190																																																																-0.008493	0.000000																																							-5.464697	
 2 	 1																																																															5.473190																																																																-0.217991	0.000000																																							-5.255199	
 2 	 2																																																															5.473190																																																																-0.104711	0.000000																																							-5.368479	
 2 	 3																																																															5.473190																																																																-0.008493	0.000000																																							-5.464697	
 2 	 4																																																															5.473190																																																																0.000000	0.061333																																							-5.534523	
 2 	 5																																																															5.473190																																																																0.000000	0.121249																																							-5.594439	
 2 	 6																																																															5.473190																																																																0.000000	0.170837																																							-5.644027	
 2 	 7																																																															5.473190																																																																0.000000	0.231153																																							-5.704343	
 2 	 8																																																															5.473190																																																																0.000000	0.274786																																							-5.747976	
 2 	 9																																																															5.473190																																																																0.000000	0.234729																																							-5.707919	
 2 	 10																																																															5.392699																																																																-0.038305	0.000000																																							-5.354394	
 2 	 11																																																															4.241191																																																																0.000000	0.687874																																							-4.929065	
 2 	 12																																																															4.549747																																																																0.000000	0.000000																																							-4.549747	
 2 	 13																																																															4.271623																																																																0.000000	0.000000																																							-4.271623	
 2 	 14																																																															4.129174																																																																0.000000	0.000000																																							-4.129174	
 2 	 15																																																															4.134128																																																																0.000000	0.000000																																							-4.134128	
 2 	 16																																																															4.328163																																																																0.000000	0.000000																																							-4.328163	
 2 	 17																																																															4.622151																																																																0.000000	0.000000																																							-4.622151	
 2 	 18																																																															4.707460																																																																0.000000	0.000000																																							-4.707460	
 2 	 19																																																															4.747538																																																																0.000000	0.000000																																							-4.747538	
 2 	 20																																																															4.795946																																																																0.000000	0.000000																																							-4.795946	
 2 	 21																																																															4.823917																																																																0.000000	0.000000																																							-4.823917	
 2 	 22																																																															4.978084																																																																-0.164476	0.000000																																							-4.813608	
 2 	 23																																																															5.473190																																																																-0.668713	0.000000																																							-4.804477	
 2 	 24																																																															5.473190																																																																-0.712566	0.000000																																							-4.760624	
 3 	 1																																																															3.806564																																																																0.000000	0.771953																																							-4.578517	
 3 	 2																																																															3.784388																																																																0.000000	0.746719																																							-4.531107	
 3 	 3																																																															4.478523																																																																0.000000	0.000000																																							-4.478523	
 3 	 4																																																															4.481899																																																																0.000000	0.000000																																							-4.481899	
 3 	 5																																																															4.510469																																																																0.000000	0.000000																																							-4.510469	
 3 	 6																																																															4.544993																																																																0.000000	0.000000																																							-4.544993	
 3 	 7																																																															4.602711																																																																0.000000	0.000000																																							-4.602711	
