Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																																																					2.735748																																																									0.113856																							0.000000	0.460027																																	-3.309631	
 1 	 2																																																					2.735748																																																									0.113856																							0.000000	0.509426																																	-3.359030	
 1 	 3																																																					2.735748																																																									0.113856																							0.000000	0.565348																																	-3.414952	
 1 	 4																																																					2.735748																																																									0.113856																							0.000000	0.613468																																	-3.463071	
 1 	 5																																																					2.735748																																																									0.113856																							0.000000	0.633156																																	-3.482760	
 1 	 6																																																					2.735748																																																									0.113856																							0.000000	0.646204																																	-3.495808	
 1 	 7																																																					2.735748																																																									0.113856																							0.000000	0.650980																																	-3.500584	
 1 	 8																																																					2.735748																																																									0.113856																							0.000000	0.660777																																	-3.510381	
 1 	 9																																																					2.735748																																																									0.113856																							0.000000	0.684421																																	-3.534024	
 1 	 10																																																					2.735748																																																									0.113856																							0.000000	0.671021																																	-3.520625	
 1 	 11																																																					2.735748																																																									0.113856																							0.000000	0.594483																																	-3.444086	
 1 	 12																																																					2.735748																																																									0.113856																							0.000000	0.487637																																	-3.337240	
 1 	 13																																																					2.735748																																																									0.113856																							0.000000	0.366816																																	-3.216420	
 1 	 14																																																					2.735748																																																									0.113856																							0.000000	0.294349																																	-3.143953	
 1 	 15																																																					2.735748																																																									0.113856																							0.000000	0.302739																																	-3.152343	
 1 	 16																																																					2.735748																																																									0.113856																							0.000000	0.423794																																	-3.273398	
 1 	 17																																																					2.735748																																																									0.113856																							0.000000	0.618830																																	-3.468434	
 1 	 18																																																					2.735748																																																									0.113856																							0.000000	0.652270																																	-3.501874	
 1 	 19																																																					2.735748																																																									0.113856																							0.000000	0.622901																																	-3.472505	
 1 	 20																																																					2.735748																																																									0.113856																							0.000000	0.602637																																	-3.452241	
 1 	 21																																																					2.735748																																																									0.113856																							0.000000	0.593661																																	-3.443265	
 1 	 22																																																					2.735748																																																									0.113856																							0.000000	0.587372																																	-3.436976	
 1 	 23																																																					2.735748																																																									0.113856																							0.000000	0.570945																																	-3.420549	
 1 	 24																																																					2.735748																																																									0.113856																							0.000000	0.559294																																	-3.408897	
 2 	 1																																																					2.735748																																																									0.113856																							0.000000	0.436255																																	-3.285859	
 2 	 2																																																					2.735748																																																									0.113856																							0.000000	0.502785																																	-3.352388	
 2 	 3																																																					2.735748																																																									0.113856																							0.000000	0.559294																																	-3.408897	
 2 	 4																																																					2.735748																																																									0.113856																							0.000000	0.600302																																	-3.449906	
 2 	 5																																																					2.735748																																																									0.113856																							0.000000	0.635491																																	-3.485095	
 2 	 6																																																					2.735748																																																									0.113856																							0.000000	0.664614																																	-3.514218	
 2 	 7																																																					2.735748																																																									0.113856																							0.000000	0.700038																																	-3.549642	
 2 	 8																																																					2.735748																																																									0.113856																							0.000000	0.725664																																	-3.575268	
 2 	 9																																																					2.735748																																																									0.113856																							0.000000	0.702138																																	-3.551742	
 2 	 10																																																					2.735748																																																									0.113856																							0.000000	0.494512																																	-3.344116	
 2 	 11																																																					2.735748																																																									0.113856																							0.000000	0.244716																																	-3.094320	
 2 	 12																																																					2.735748																																																									0.113856																							0.000000	0.021942																																	-2.871546	
 2 	 13																																																					2.735748																																																									0.113856																							-0.141401	0.000000																																	-2.708203	
 2 	 14																																																					2.735748																																																									0.113856																							-0.225061	0.000000																																	-2.624543	
 2 	 15																																																					2.735748																																																									0.113856																							-0.222151	0.000000																																	-2.627452	
 2 	 16																																																					2.735748																																																									0.113856																							-0.108195	0.000000																																	-2.741409	
 2 	 17																																																					2.735748																																																									0.113856																							0.000000	0.064465																																	-2.914069	
 2 	 18																																																					2.735748																																																									0.113856																							0.000000	0.114567																																	-2.964171	
 2 	 19																																																					2.735748																																																									0.113856																							0.000000	0.138105																																	-2.987709	
 2 	 20																																																					2.735748																																																									0.113856																							0.000000	0.166535																																	-3.016139	
 2 	 21																																																					2.735748																																																									0.113856																							0.000000	0.182962																																	-3.032566	
 2 	 22																																																					2.735748																																																									0.113856																							0.000000	0.176908																																	-3.026512	
 2 	 23																																																					2.735748																																																									0.113856																							0.000000	0.171546																																	-3.021149	
 2 	 24																																																					2.735748																																																									0.113856																							0.000000	0.145790																																	-2.995394	
 3 	 1																																																					2.735748																																																									0.113856																							0.000000	0.038839																																	-2.888443	
 3 	 2																																																					2.735748																																																									0.113856																							0.000000	0.010995																																	-2.860599	
 3 	 3																																																					2.735748																																																									0.113856																							-0.019888	0.000000																																	-2.829716	
 3 	 4																																																					2.735748																																																									0.113856																							-0.017905	0.000000																																	-2.831699	
