Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																		14.753150																	-14.753150																																																																																																																																				0.000000	
 1 	 2																		14.025664																	-14.025664																																																																																																																																				0.000000	
 1 	 3																		12.632751																	-12.632751																																																																																																																																				0.000000	
 1 	 4																		11.777696																	-11.777696																																																																																																																																				0.000000	
 1 	 5																		11.226047																	-11.226047																																																																																																																																				0.000000	
 1 	 6																		10.719220																	-10.719220																																																																																																																																				0.000000	
 1 	 7																		10.743355																	-10.743355																																																																																																																																				0.000000	
 1 	 8																		10.502009																	-10.502009																																																																																																																																				0.000000	
 1 	 9																		10.288245																	-10.288245																																																																																																																																				0.000000	
 1 	 10																		8.902228																	-8.902228																																																																																																																																				0.000000	
 1 	 11																		7.078340																	-7.078340																																																																																																																																				0.000000	
 1 	 12																		6.216389																	-6.216389																																																																																																																																				0.000000	
 1 	 13																		6.509453																	-6.509453																																																																																																																																				0.000000	
 1 	 14																		7.509315																	-7.509315																																																																																																																																				0.000000	
 1 	 15																		8.178189																	-8.178189																																																																																																																																				0.000000	
 1 	 16																		8.764316																	-8.764316																																																																																																																																				0.000000	
 1 	 17																		9.895195																	-9.895195																																																																																																																																				0.000000	
 1 	 18																		10.743355																	-10.743355																																																																																																																																				0.000000	
 1 	 19																		11.105374																	-11.105374																																																																																																																																				0.000000	
 1 	 20																		10.722668																	-10.722668																																																																																																																																				0.000000	
 1 	 21																		10.467531																	-10.467531																																																																																																																																				0.000000	
 1 	 22																		10.177915																	-10.177915																																																																																																																																				0.000000	
 1 	 23																		10.098616																	-10.098616																																																																																																																																				0.000000	
 1 	 24																		10.164124																	-10.164124																																																																																																																																				0.000000	
 2 	 1																		6.044399																	-6.044399																																																																																																																																				0.000000	
 2 	 2																		11.947684																	-11.947684																																																																																																																																				0.000000	
 2 	 3																		15.571900																	-15.571900																																																																																																																																				0.000000	
 2 	 4																		16.052972																	-16.052972																																																																																																																																				0.000000	
 2 	 5																		14.829002																	-14.829002																																																																																																																																				0.000000	
 2 	 6																		13.805004																	-13.805004																																																																																																																																				0.000000	
 2 	 7																		12.718946																	-12.718946																																																																																																																																				0.000000	
 2 	 8																		12.136267																	-12.136267																																																																																																																																				0.000000	
 2 	 9																		11.360512																	-11.360512																																																																																																																																				0.000000	
 2 	 10																		9.898643																	-9.898643																																																																																																																																				0.000000	
 2 	 11																		8.474700																	-8.474700																																																																																																																																				0.000000	
 2 	 12																		7.216252																	-7.216252																																																																																																																																				0.000000	
 2 	 13																		6.750799																	-6.750799																																																																																																																																				0.000000	
 2 	 14																		6.233628																	-6.233628																																																																																																																																				0.000000	
 2 	 15																		5.585441																	-5.585441																																																																																																																																				0.000000	
 2 	 16																		5.509590																	-5.509590																																																																																																																																				0.000000	
 2 	 17																		6.154329																	-6.154329																																																																																																																																				0.000000	
 2 	 18																		6.812859																	-6.812859																																																																																																																																				0.000000	
 2 	 19																		7.605854																	-7.605854																																																																																																																																				0.000000	
 2 	 20																		8.760868																	-8.760868																																																																																																																																				0.000000	
 2 	 21																		9.009110																	-9.009110																																																																																																																																				0.000000	
 2 	 22																		9.629714																	-9.629714																																																																																																																																				0.000000	
 2 	 23																		10.901954																	-10.901954																																																																																																																																				0.000000	
 2 	 24																		11.884578																	-11.884578																																																																																																																																				0.000000	
 3 	 1																		6.857681																	-6.857681																																																																																																																																				0.000000	
 3 	 2																		7.171431																	-7.171431																																																																																																																																				0.000000	
 3 	 3																		8.005799																	-8.005799																																																																																																																																				0.000000	
 3 	 4																		8.160950																	-8.160950																																																																																																																																				0.000000	
 3 	 5																		7.785140																	-7.785140																																																																																																																																				0.000000	
 3 	 6																		7.426568																	-7.426568																																																																																																																																				0.000000	
 3 	 7																		6.761142																	-6.761142																																																																																																																																				0.000000	
 3 	 8																		6.530139																	-6.530139																																																																																																																																				0.000000	
 3 	 9																		6.585304																	-6.585304																																																																																																																																				0.000000	
 3 	 10																		6.557722																	-6.557722																																																																																																																																				0.000000	
 3 	 11																		6.588752																	-6.588752																																																																																																																																				0.000000	
 3 	 12																		8.595373																	-8.595373																																																																																																																																				0.000000	
