Name	Used	Potential
ELECTRICITY	0.000000	100000000.000000
GASOLINE	0.000000	100000000.000000
DIESEL	0.000000	100000000.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	100000000.000000
NG	0.000000	100000000.000000
SLF	0.000000	0.000000
SNG	0.000000	0.000000
WOOD	7109.372630	13397.760000
WET_BIOMASS	2081.770000	2081.770000
COAL	0.000000	100000000.000000
URANIUM	0.000000	100000000.000000
WASTE	6536.060000	6536.060000
H2	0.000000	0.000000
ELEC_EXPORT	318.344858	100000000.000000
CO2_EMISSIONS	2142.158842	100000000.000000
RES_WIND	74060.525596	100000000.000000
RES_SOLAR	0.000000	100000000.000000
RES_HYDRO	500.297275	100000000.000000
RES_GEO	0.000000	100000000.000000
CO2_ATM	0.000000	100000000.000000
CO2_INDUSTRY	0.000000	100000000.000000
CO2_CAPTURED	416.329795	100000000.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
