Time	DAM_STORAGE	PHS	BATT_LI	CAES	BEV_BATT	PHEV_BATT	TS_DEC_HP_ELEC	TS_DEC_DIRECT_ELEC	TS_DHN_DAILY	TS_DHN_SEASONAL	TS_DEC_THHP_GAS	TS_DEC_COGEN_GAS	TS_DEC_COGEN_OIL	TS_DEC_ADVCOGEN_GAS	TS_DEC_ADVCOGEN_H2	TS_DEC_BOILER_GAS	TS_DEC_BOILER_WOOD	TS_DEC_BOILER_OIL	SEASONAL_NG	SEASONAL_H2	CO2_STORAGE	SLF_STO	PT_STORAGE	ST_STORAGE	TS_MOLTEN_SALT	TS_COLD	DAM_STORAGE_in	DAM_STORAGE_out	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	CAES_in	CAES_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_DEC_HP_ELEC_in	TS_DEC_HP_ELEC_out	TS_DEC_DIRECT_ELEC_in	TS_DEC_DIRECT_ELEC_out	TS_DHN_DAILY_in	TS_DHN_DAILY_out	TS_DHN_SEASONAL_in	TS_DHN_SEASONAL_out	TS_DEC_THHP_GAS_in	TS_DEC_THHP_GAS_out	TS_DEC_COGEN_GAS_in	TS_DEC_COGEN_GAS_out	TS_DEC_COGEN_OIL_in	TS_DEC_COGEN_OIL_out	TS_DEC_ADVCOGEN_GAS_in	TS_DEC_ADVCOGEN_GAS_out	TS_DEC_ADVCOGEN_H2_in	TS_DEC_ADVCOGEN_H2_out	TS_DEC_BOILER_GAS_in	TS_DEC_BOILER_GAS_out	TS_DEC_BOILER_WOOD_in	TS_DEC_BOILER_WOOD_out	TS_DEC_BOILER_OIL_in	TS_DEC_BOILER_OIL_out	SEASONAL_NG_in	SEASONAL_NG_out	SEASONAL_H2_in	SEASONAL_H2_out	CO2_STORAGE_in	CO2_STORAGE_out	SLF_STO_in	SLF_STO_out	PT_STORAGE_in	PT_STORAGE_out	ST_STORAGE_in	ST_STORAGE_out	TS_MOLTEN_SALT_in	TS_MOLTEN_SALT_out	TS_COLD_in	TS_COLD_out	
 1	56.884449	701.712226					87.453096			26903.390097									2550.477510	519.362221		3731.567770		430.903456		0.000000	-0.218033	0.000000	0.000000	0.000000									0.000000	8.525373					0.000000	17.506208																	-3.919237	0.000000	-12.981716	0.000000			-4.094264	0.000000			0.000000	63.433500			0.000000	0.000000	
 2	56.964900	701.712226					76.806020			26883.430682									2554.396747	537.904319		3735.698210		367.316985		0.000000	-0.080451	0.000000	0.000000	0.000000									0.000000	9.926463					0.000000	18.329070																	-3.919237	0.000000	-18.542098	0.000000			-4.130440	0.000000			0.000000	63.433500			0.000000	0.000000	
 3	57.041853	701.712226					64.384401			26862.378759									2558.315984	559.721174		3739.840709		303.753088		0.000000	-0.076953	0.000000	0.000000	0.000000									0.000000	11.788737					0.000000	19.422787																	-3.919237	0.000000	-21.816855	0.000000			-4.142499	0.000000			0.000000	63.433500			0.000000	0.000000	
 4	57.117639	701.712226					50.559585			26840.443899									2562.235221	577.963945		3743.850561		240.211755		0.000000	-0.075787	0.000000	0.000000	0.000000									0.000000	13.294289					0.000000	20.307000																	-3.919237	0.000000	-18.242771	0.000000			-4.009852	0.000000			0.000000	63.433500			0.000000	0.000000	
 5	57.199256	701.712226					35.872957			26817.937322									2566.154459	593.574411		3747.619237		176.692980		0.000000	-0.081617	0.000000	0.000000	0.000000									0.000000	14.270016					0.000000	20.880046																	-3.919237	0.000000	-15.610466	0.000000			-3.768676	0.000000			0.000000	63.433500			0.000000	0.000000	
 6	57.280873	701.712226					20.734186			26795.095490									2570.073696	604.728847		3750.809090		113.196754		0.000000	-0.081617	0.000000	0.000000	0.000000									0.000000	14.843178					0.000000	21.216665																	-3.919237	0.000000	-11.154436	0.000000			-3.189853	0.000000			0.000000	63.433500			0.000000	0.000000	
 7	57.425451	701.712226					6.107193			26772.482348									2573.992933	603.618597		3753.094533		49.723069		0.000000	-0.144578	0.000000	0.000000	0.000000									0.000000	14.456144					0.000000	20.989359																	-3.919237	0.000000	0.000000	1.110251			-2.285444	0.000000			0.000000	63.433500			0.000000	0.000000	
 8	58.086546	711.976885					0.000000			26754.803483									2577.912170	612.402980		3755.621155		0.000000		0.000000	-0.661095	0.000000	-10.264658	0.000000									0.000000	6.056870					0.000000	16.056452																	-3.919237	0.000000	-8.784383	0.000000			-2.526622	0.000000			0.000000	49.705418			0.000000	0.000000	
 9	59.168551	757.317240					8.871888			26745.893373									2581.831407	622.252434		3758.268361		167.880543		0.000000	-1.082004	0.000000	-45.340356	0.000000									-8.871888	0.000000					0.000000	7.288769																	-3.919237	0.000000	-9.849454	0.000000			-2.647206	0.000000			-167.880543	0.000000			0.000000	0.000000	
 10	60.778732	802.657596					29.076038			26743.682193									2585.750644	630.504190		3760.734681		167.820946		0.000000	-1.610181	0.000000	-45.340356	0.000000									-20.277254	0.000000					0.000000	0.590379																	-3.919237	0.000000	-8.251757	0.000000			-2.466320	0.000000			0.000000	0.000000			0.000000	0.000000	
 11	62.014642	847.997952					55.897956			26745.455547									2589.669882	636.625805		3762.959832		418.428508		0.000000	-1.235910	0.000000	-45.340356	0.000000									-27.061505	0.000000					-3.394022	0.000000																	-3.919237	0.000000	-6.121614	0.000000			-2.225152	0.000000			-250.667139	0.000000			0.000000	0.000000	
 12	62.933412	893.338307					86.615706			26749.646624									2593.589119	641.043196		3764.992037		418.279966		0.000000	-0.918771	0.000000	-45.340356	0.000000									-31.178349	0.000000					-5.811851	0.000000																	-3.919237	0.000000	-4.417391	0.000000			-2.032205	0.000000			0.000000	0.000000			0.000000	0.000000	
 13	63.482576	938.678663					118.221655			26754.507741									2597.508356	647.164810		3767.217188		698.780773		0.000000	-0.549164	0.000000	-45.340356	0.000000									-32.319662	0.000000					-6.482146	0.000000																	-3.919237	0.000000	-6.121614	0.000000			-2.225152	0.000000			-280.649296	0.000000			0.000000	0.000000	
 14	63.992098	984.019019					147.095912			26757.917190									2601.427593	653.073374		3769.418219		919.778114		0.000000	-0.509521	0.000000	-45.340356	0.000000									-29.848403	0.000000					-5.030772	0.000000																	-3.919237	0.000000	-5.908564	0.000000			-2.201031	0.000000			-221.245408	0.000000			0.000000	0.000000	
 15	64.676512	1029.359375					166.612010			26755.970103									2605.346830	656.851704		3771.378071		1068.011454		0.000000	-0.684414	0.000000	-45.340356	0.000000									-20.728168	0.000000					0.000000	0.325557																	-3.919237	0.000000	-3.778331	0.000000			-1.959852	0.000000			-148.559862	0.000000			0.000000	0.000000	
 16	65.549811	1040.052947					170.707366			26745.060954									2609.266067	659.777924		3773.241450		1004.198810		0.000000	-0.873299	0.000000	-10.693572	0.000000									-5.468239	0.000000					0.000000	9.287737																	-3.919237	0.000000	-2.926219	0.000000			-1.863379	0.000000			0.000000	63.433500			0.000000	0.000000	
 17	66.594504	1006.798091					167.197882			26729.705950									2613.185305	659.777924		3775.104829		940.408820		0.000000	-1.044694	0.000000	0.000000	33.254855									0.000000	2.102856					0.000000	13.734253																	-3.919237	0.000000	0.000000	0.000000			-1.863379	0.000000			0.000000	63.433500			0.000000	0.000000	
 18	68.218677	972.343048					161.072956			26712.798839									2617.104542	659.777924		3777.571148		876.641474		0.000000	-1.624172	0.000000	0.000000	34.455044									0.000000	4.747215					0.000000	15.287290																	-3.919237	0.000000	0.000000	0.000000			-2.466320	0.000000			0.000000	63.433500			0.000000	0.000000	
 19	70.050389	960.554264					153.080111			26694.766081									2621.023779	642.736707		3780.519825		812.896767		0.000000	-1.831712	0.000000	0.000000	11.788784									0.000000	6.665604					0.000000	16.413963																	-3.919237	0.000000	0.000000	17.041217			-2.948676	0.000000			0.000000	63.433500			0.000000	0.000000	
 20	71.496170	926.445818					143.448673			26675.733387									2624.943016	642.736707		3783.769972		749.174688		0.000000	-1.445782	0.000000	0.000000	34.108446									0.000000	8.370058					0.000000	17.414991																	-3.919237	0.000000	0.000000	0.000000			-3.250147	0.000000			0.000000	63.433500			0.000000	0.000000	
 21	72.542030	897.407821					132.317146			26655.774232									2628.862253	642.736707		3787.321589		685.475231		0.000000	-1.045860	0.000000	0.000000	29.037997									0.000000	9.949509					0.000000	18.342606																	-3.919237	0.000000	0.000000	0.000000			-3.551617	0.000000			0.000000	63.433500			0.000000	0.000000	
 22	73.343040	871.967265					120.592205			26635.413903									2632.781490	642.736707		3791.090264		621.798388		0.000000	-0.801010	0.000000	0.000000	25.440556									0.000000	10.634648					0.000000	18.744989																	-3.919237	0.000000	0.000000	0.000000			-3.768676	0.000000			0.000000	63.433500			0.000000	0.000000	
 23	73.962161	851.093795					108.737168			26614.921662									2636.700728	642.736707		3795.003646		558.144149		0.000000	-0.619121	0.000000	0.000000	20.873470									0.000000	10.861358					0.000000	18.878136																	-3.919237	0.000000	0.000000	0.000000			-3.913382	0.000000			0.000000	63.433500			0.000000	0.000000	
 24	74.353921	839.023773					96.775902			26594.310903									2640.619965	642.736707		3799.061734		494.512508		0.000000	-0.391760	0.000000	0.000000	12.070023									0.000000	11.065271					0.000000	18.997894																	-3.919237	0.000000	0.000000	0.000000			-4.058087	0.000000			0.000000	63.433500			0.000000	0.000000	
 25	74.571954	839.023773					87.453096			26575.193080									2644.539202	655.718423		3803.155998		430.903456		0.000000	-0.218033	0.000000	0.000000	0.000000									0.000000	8.525373					0.000000	17.506208																	-3.919237	0.000000	-12.981716	0.000000			-4.094264	0.000000			0.000000	63.433500			0.000000	0.000000	
