Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																																																															91.697334																																																																0.000000	8.525373																																							-100.222707	
 1 	 2																																																															91.697334																																																																0.000000	9.926463																																							-101.623797	
 1 	 3																																																															91.697334																																																																0.000000	11.788737																																							-103.486071	
 1 	 4																																																															91.697334																																																																0.000000	13.294289																																							-104.991623	
 1 	 5																																																															91.697334																																																																0.000000	14.270016																																							-105.967350	
 1 	 6																																																															91.697334																																																																0.000000	14.843178																																							-106.540512	
 1 	 7																																																															91.697334																																																																0.000000	14.456144																																							-106.153478	
 1 	 8																																																															91.697334																																																																0.000000	6.056870																																							-97.754204	
 1 	 9																																																															91.697334																																																																-8.871888	0.000000																																							-82.825446	
 1 	 10																																																															91.697334																																																																-20.277254	0.000000																																							-71.420080	
 1 	 11																																																															91.697334																																																																-27.061505	0.000000																																							-64.635829	
 1 	 12																																																															91.697334																																																																-31.178349	0.000000																																							-60.518985	
 1 	 13																																																															91.697334																																																																-32.319662	0.000000																																							-59.377672	
 1 	 14																																																															91.697334																																																																-29.848403	0.000000																																							-61.848931	
 1 	 15																																																															91.697334																																																																-20.728168	0.000000																																							-70.969166	
 1 	 16																																																															91.697334																																																																-5.468239	0.000000																																							-86.229095	
 1 	 17																																																															91.697334																																																																0.000000	2.102856																																							-93.800190	
 1 	 18																																																															91.697334																																																																0.000000	4.747215																																							-96.444549	
 1 	 19																																																															91.697334																																																																0.000000	6.665604																																							-98.362938	
 1 	 20																																																															91.697334																																																																0.000000	8.370058																																							-100.067392	
 1 	 21																																																															91.697334																																																																0.000000	9.949509																																							-101.646844	
 1 	 22																																																															91.697334																																																																0.000000	10.634648																																							-102.331982	
 1 	 23																																																															91.697334																																																																0.000000	10.861358																																							-102.558692	
 1 	 24																																																															91.697334																																																																0.000000	11.065271																																							-102.762605	
 2 	 1																																																															91.697334																																																																-7.582775	0.000000																																							-84.114559	
 2 	 2																																																															91.697334																																																																-6.507846	0.000000																																							-85.189488	
 2 	 3																																																															91.697334																																																																-5.305409	0.000000																																							-86.391925	
 2 	 4																																																															91.697334																																																																-3.919350	0.000000																																							-87.777984	
 2 	 5																																																															91.697334																																																																-2.849432	0.000000																																							-88.847903	
 2 	 6																																																															91.697334																																																																-2.243203	0.000000																																							-89.454131	
 2 	 7																																																															65.015034																																																																0.000000	21.101833																																							-86.116867	
 2 	 8																																																															50.978360																																																																0.000000	25.911306																																							-76.889665	
 2 	 9																																																															57.773943																																																																0.000000	10.668100																																							-68.442044	
 2 	 10																																																															91.697334																																																																-29.007699	0.000000																																							-62.689635	
 2 	 11																																																															91.697334																																																																-32.770576	0.000000																																							-58.926758	
 2 	 12																																																															91.697334																																																																-34.800941	0.000000																																							-56.896393	
 2 	 13																																																															91.697334																																																																-35.246594	0.000000																																							-56.450740	
 2 	 14																																																															71.788394																																																																-14.362177	0.000000																																							-57.426217	
 2 	 15																																																															80.259698																																																																-20.336670	0.000000																																							-59.923027	
 2 	 16																																																															11.656128																																																																0.000000	53.127501																																							-64.783629	
 2 	 17																																																															0.000000																																																																0.000000	73.203444																																							-73.203444	
 2 	 18																																																															60.598476																																																																0.000000	17.926754																																							-78.525230	
 2 	 19																																																															91.697334																																																																-10.054034	0.000000																																							-81.643300	
 2 	 20																																																															91.697334																																																																-7.470798	0.000000																																							-84.226536	
 2 	 21																																																															91.697334																																																																-5.193182	0.000000																																							-86.504152	
 2 	 22																																																															91.697334																																																																-3.636777	0.000000																																							-88.060557	
 2 	 23																																																															91.697334																																																																-2.383237	0.000000																																							-89.314097	
 2 	 24																																																															91.697334																																																																-0.974381	0.000000																																							-90.722953	
 3 	 1																																																															73.514895																																																																-3.564794	0.000000																																							-69.950100	
 3 	 2																																																															69.227339																																																																0.000000	3.175983																																							-72.403322	
 3 	 3																																																															59.515054																																																																0.000000	14.926399																																							-74.441453	
 3 	 4																																																															40.245029																																																																0.000000	35.972023																																							-76.217052	
 3 	 5																																																															35.782202																																																																0.000000	42.847490																																							-78.629692	
 3 	 6																																																															73.819944																																																																0.000000	0.000000																																							-73.819944	
 3 	 7																																																															58.310258																																																																0.000000	0.000000																																							-58.310258	
 3 	 8																																																															45.646341																																																																0.000000	0.000000																																							-45.646341	
 3 	 9																																																															35.522572																																																																0.000000	0.000000																																							-35.522572	
 3 	 10																																																															66.937076																																																																-37.790101	0.000000																																							-29.146975	
 3 	 11																																																															91.697334																																																																-66.767081	0.000000																																							-24.930254	
 3 	 12																																																															91.697334																																																																-69.526573	0.000000																																							-22.170761	
 3 	 13																																																															91.697334																																																																-70.948631	0.000000																																							-20.748703	
 3 	 14																																																															91.697334																																																																-70.651328	0.000000																																							-21.046006	
 3 	 15																																																															25.237516																																																																-1.665866	0.000000																																							-23.571650	
 3 	 16																																																															31.977854																																																																-3.453516	0.000000																																							-28.524338	
 3 	 17																																																															0.000000																																																																0.000000	37.919681																																							-37.919681	
 3 	 18																																																															0.000000																																																																0.000000	53.294092																																							-53.294092	
 3 	 19																																																															0.000000																																																																0.000000	60.129195																																							-60.129195	
 3 	 20																																																															0.000000																																																																0.000000	63.504787																																							-63.504787	
 3 	 21																																																															8.019948																																																																0.000000	57.897479																																							-65.917427	
 3 	 22																																																															91.697334																																																																-24.032365	0.000000																																							-67.664969	
 3 	 23																																																															91.697334																																																																-22.766299	0.000000																																							-68.931035	
 3 	 24																																																															91.697334																																																																-21.500233	0.000000																																							-70.197101	
 4 	 1																																																															10.004359																																																																0.000000	40.204729																																							-50.209089	
 4 	 2																																																															60.661026																																																																-9.779324	0.000000																																							-50.881702	
 4 	 3																																																															81.020964																																																																-29.354671	0.000000																																							-51.666292	
 4 	 4																																																															57.419417																																																																-4.288155	0.000000																																							-53.131262	
 4 	 5																																																															23.970910																																																																0.000000	29.442924																																							-53.413834	
 4 	 6																																																															0.000000																																																																0.000000	43.170323																																							-43.170323	
 4 	 7																																																															9.216180																																																																0.000000	23.263224																																							-32.479404	
 4 	 8																																																															22.482067																																																																0.000000	0.000000																																							-22.482067	
 4 	 9																																																															17.182100																																																																-2.341170	0.000000																																							-14.840929	
 4 	 10																																																															71.260247																																																																-62.263277	0.000000																																							-8.996970	
 4 	 11																																																															24.726539																																																																-17.639851	0.000000																																							-7.086688	
 4 	 12																																																															84.859400																																																																-77.772712	0.000000																																							-7.086688	
