Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																		80.159792																	-80.159792																																																																																																																																				0.000000	
 1 	 2																		84.966201																	-84.966201																																																																																																																																				0.000000	
 1 	 3																		87.965242																	-87.965242																																																																																																																																				0.000000	
 1 	 4																		84.807312																	-84.807312																																																																																																																																				0.000000	
 1 	 5																		85.760649																	-85.760649																																																																																																																																				0.000000	
 1 	 6																		91.738870																	-91.738870																																																																																																																																				0.000000	
 1 	 7																		95.254302																	-95.254302																																																																																																																																				0.000000	
 1 	 8																		89.633583																	-89.633583																																																																																																																																				0.000000	
 1 	 9																		95.035828																	-95.035828																																																																																																																																				0.000000	
 1 	 10																		112.891044																	-112.891044																																																																																																																																				0.000000	
 1 	 11																		118.611069																	-118.611069																																																																																																																																				0.000000	
 1 	 12																		120.100659																	-120.100659																																																																																																																																				0.000000	
 1 	 13																		119.028154																	-119.028154																																																																																																																																				0.000000	
 1 	 14																		116.168142																	-116.168142																																																																																																																																				0.000000	
 1 	 15																		107.488799																	-107.488799																																																																																																																																				0.000000	
 1 	 16																		95.532358																	-95.532358																																																																																																																																				0.000000	
 1 	 17																		86.177734																	-86.177734																																																																																																																																				0.000000	
 1 	 18																		77.478530																	-77.478530																																																																																																																																				0.000000	
 1 	 19																		69.315578																	-69.315578																																																																																																																																				0.000000	
 1 	 20																		63.853749																	-63.853749																																																																																																																																				0.000000	
 1 	 21																		60.437623																	-60.437623																																																																																																																																				0.000000	
 1 	 22																		56.961913																	-56.961913																																																																																																																																				0.000000	
 1 	 23																		54.777182																	-54.777182																																																																																																																																				0.000000	
 1 	 24																		56.405800																	-56.405800																																																																																																																																				0.000000	
 2 	 1																		89.395248																	-89.395248																																																																																																																																				0.000000	
 2 	 2																		88.839135																	-88.839135																																																																																																																																				0.000000	
 2 	 3																		87.945381																	-87.945381																																																																																																																																				0.000000	
 2 	 4																		83.476612																	-83.476612																																																																																																																																				0.000000	
 2 	 5																		78.173672																	-78.173672																																																																																																																																				0.000000	
 2 	 6																		74.916436																	-74.916436																																																																																																																																				0.000000	
 2 	 7																		73.923376																	-73.923376																																																																																																																																				0.000000	
 2 	 8																		72.989899																	-72.989899																																																																																																																																				0.000000	
 2 	 9																		77.121028																	-77.121028																																																																																																																																				0.000000	
 2 	 10																		78.968120																	-78.968120																																																																																																																																				0.000000	
 2 	 11																		76.823111																	-76.823111																																																																																																																																				0.000000	
 2 	 12																		73.188511																	-73.188511																																																																																																																																				0.000000	
 2 	 13																		69.057382																	-69.057382																																																																																																																																				0.000000	
 2 	 14																		63.734582																	-63.734582																																																																																																																																				0.000000	
 2 	 15																		55.551768																	-55.551768																																																																																																																																				0.000000	
 2 	 16																		45.283530																	-45.283530																																																																																																																																				0.000000	
 2 	 17																		39.424476																	-39.424476																																																																																																																																				0.000000	
 2 	 18																		36.882243																	-36.882243																																																																																																																																				0.000000	
 2 	 19																		35.809739																	-35.809739																																																																																																																																				0.000000	
 2 	 20																		35.213903																	-35.213903																																																																																																																																				0.000000	
 2 	 21																		35.352931																	-35.352931																																																																																																																																				0.000000	
 2 	 22																		35.909044																	-35.909044																																																																																																																																				0.000000	
 2 	 23																		37.597246																	-37.597246																																																																																																																																				0.000000	
 2 	 24																		40.735315																	-40.735315																																																																																																																																				0.000000	
 3 	 1																		62.959995																	-62.959995																																																																																																																																				0.000000	
 3 	 2																		59.365118																	-59.365118																																																																																																																																				0.000000	
 3 	 3																		55.094961																	-55.094961																																																																																																																																				0.000000	
 3 	 4																		50.367996																	-50.367996																																																																																																																																				0.000000	
 3 	 5																		46.753258																	-46.753258																																																																																																																																				0.000000	
 3 	 6																		41.211984																	-41.211984																																																																																																																																				0.000000	
 3 	 7																		39.364893																	-39.364893																																																																																																																																				0.000000	
 3 	 8																		45.541725																	-45.541725																																																																																																																																				0.000000	
 3 	 9																		32.340104																	-32.340104																																																																																																																																				0.000000	
 3 	 10																		47.388816																	-47.388816																																																																																																																																				0.000000	
 3 	 11																		41.728375																	-41.728375																																																																																																																																				0.000000	
 3 	 12																		36.723354																	-36.723354																																																																																																																																				0.000000	
