Time	DAM_STORAGE	PHS	BATT_LI	CAES	BEV_BATT	PHEV_BATT	TS_DEC_HP_ELEC	TS_DEC_DIRECT_ELEC	TS_DHN_DAILY	TS_DHN_SEASONAL	TS_DEC_THHP_GAS	TS_DEC_COGEN_GAS	TS_DEC_COGEN_OIL	TS_DEC_ADVCOGEN_GAS	TS_DEC_ADVCOGEN_H2	TS_DEC_BOILER_GAS	TS_DEC_BOILER_WOOD	TS_DEC_BOILER_OIL	SEASONAL_NG	SEASONAL_H2	CO2_STORAGE	SLF_STO	PT_STORAGE	ST_STORAGE	TS_MOLTEN_SALT	TS_COLD	DAM_STORAGE_in	DAM_STORAGE_out	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	CAES_in	CAES_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_DEC_HP_ELEC_in	TS_DEC_HP_ELEC_out	TS_DEC_DIRECT_ELEC_in	TS_DEC_DIRECT_ELEC_out	TS_DHN_DAILY_in	TS_DHN_DAILY_out	TS_DHN_SEASONAL_in	TS_DHN_SEASONAL_out	TS_DEC_THHP_GAS_in	TS_DEC_THHP_GAS_out	TS_DEC_COGEN_GAS_in	TS_DEC_COGEN_GAS_out	TS_DEC_COGEN_OIL_in	TS_DEC_COGEN_OIL_out	TS_DEC_ADVCOGEN_GAS_in	TS_DEC_ADVCOGEN_GAS_out	TS_DEC_ADVCOGEN_H2_in	TS_DEC_ADVCOGEN_H2_out	TS_DEC_BOILER_GAS_in	TS_DEC_BOILER_GAS_out	TS_DEC_BOILER_WOOD_in	TS_DEC_BOILER_WOOD_out	TS_DEC_BOILER_OIL_in	TS_DEC_BOILER_OIL_out	SEASONAL_NG_in	SEASONAL_NG_out	SEASONAL_H2_in	SEASONAL_H2_out	CO2_STORAGE_in	CO2_STORAGE_out	SLF_STO_in	SLF_STO_out	PT_STORAGE_in	PT_STORAGE_out	ST_STORAGE_in	ST_STORAGE_out	TS_MOLTEN_SALT_in	TS_MOLTEN_SALT_out	TS_COLD_in	TS_COLD_out	
 1							2.178304			362.554935									392.115099	69.623969		1.275513		1.113046															0.000000	0.000000					-0.331012	0.000000																	-0.336054	0.000000	0.000000	0.000000			-0.061929	0.000000			0.000000	0.000000					
 2							2.160355			362.852293									392.115099	68.224236		1.275513		1.112650															0.000000	0.000000					-0.319329	0.000000																	0.000000	0.000000	-10.766099	12.165831			0.000000	0.000000			0.000000	0.000000					
 3							2.142554			363.137310									392.115099	68.224236		2.345840		1.112255															0.000000	0.000000					-0.307006	0.000000																	0.000000	0.000000	0.000000	0.000000			-1.070327	0.000000			0.000000	0.000000					
 4							3.746137			363.409507									392.115099	69.106844		2.345840		1.111861															-1.621238	0.000000					-0.294203	0.000000																	0.000000	0.000000	-0.882608	0.000000			0.000000	0.000000			0.000000	0.000000					
 5							3.715269			363.671715									392.451154	69.106844		2.345840		1.111466															0.000000	0.000000					-0.284231	0.000000																	-0.336054	0.000000	0.000000	0.000000			0.000000	0.000000			0.000000	0.000000					
 6							2.124344			363.929746									392.451154	69.699227		2.345840		1.111071															-0.030463	1.590775					-0.280069	0.000000																	0.000000	0.000000	-0.592383	0.000000			0.000000	0.000000			0.000000	0.000000					
 7							3.728077			364.193629									392.787208	69.421866		2.345840		1.110677															-1.621238	0.000000					-0.285937	0.000000																	-0.336054	0.000000	0.000000	0.277360			0.000000	0.000000			0.000000	0.000000					
 8							3.697358			364.462830									392.787208	68.230279		2.345840		1.110283															0.000000	0.000000					-0.291272	0.000000																	0.000000	0.000000	-10.863646	12.055234			0.000000	0.000000			0.000000	0.000000					
 9							2.603747			364.743001									392.787208	68.230279		2.345840		1.128263															0.000000	1.063145					-0.302258	0.000000																	0.000000	0.000000	0.000000	0.000000			0.000000	0.000000			-0.018374	0.000000					
 10							2.582292			365.036867									393.123262	68.230279		2.345840		1.127862															0.000000	0.000000					-0.315969	0.000000																	-0.336054	0.000000	0.000000	0.000000			0.000000	0.000000			0.000000	0.000000					
 11							1.080815			365.341865									393.123262	68.230279		2.345840		1.166924															0.000000	1.480199					-0.327119	0.000000																	0.000000	0.000000	0.000000	0.000000			0.000000	0.000000			-0.039462	0.000000					
 12							1.992751			365.656019									393.459317	68.412931		2.345840		1.166509															-1.271040	0.350198					-0.336294	0.000000																	-0.336054	0.000000	-0.182652	0.000000			0.000000	0.000000			0.000000	0.000000					
 13							1.976331			365.971116									393.459317	68.412931		2.345840		1.166095															0.000000	0.000000					-0.337255	0.000000																	0.000000	0.000000	0.000000	0.000000			0.000000	0.000000			0.000000	0.000000					
 14							1.960046			366.282834									393.459317	68.412931		2.345840		1.165681															0.000000	0.000000					-0.333896	0.000000																	0.000000	0.000000	0.000000	0.000000			0.000000	0.000000			0.000000	0.000000					
 15							1.943895			366.596133									393.795371	68.569975		2.345840		1.165267															0.000000	0.000000					-0.335496	0.000000																	-0.336054	0.000000	-0.157044	0.000000			0.000000	0.000000			0.000000	0.000000					
 16							0.476107			366.917732									393.795371	67.263130		2.345840		1.164854															0.000000	1.451771					-0.343815	0.000000																	0.000000	0.000000	-10.809631	12.116476			0.000000	0.000000			0.000000	0.000000					
 17							2.093422			367.245450									394.131425	67.263130		2.345840		1.164440															-1.621238	0.000000					-0.349953	0.000000																	-0.336054	0.000000	0.000000	0.000000			0.000000	0.000000			0.000000	0.000000					
 18							2.076172			367.574425									394.131425	67.599430		2.345840		1.164027															0.000000	0.000000					-0.351231	0.000000																	0.000000	0.000000	-0.336300	0.000000			0.000000	0.000000			0.000000	0.000000					
 19							0.613382			367.899541									394.131425	68.106452		2.345840		1.163614															0.000000	1.445682					-0.347391	0.000000																	0.000000	0.000000	-0.507022	0.000000			0.000000	0.000000			0.000000	0.000000					
 20							0.608328			368.214126									394.467479	68.106452		1.653689		1.163201															0.000000	0.000000					-0.336880	0.000000																	-0.336054	0.000000	0.000000	0.000000			0.000000	0.692151			0.000000	0.000000					
 21							0.603315			368.520263									394.467479	68.826875		1.653689		1.162788															0.000000	0.000000					-0.328450	0.000000																	0.000000	0.000000	-0.720423	0.000000			0.000000	0.000000			0.000000	0.000000					
 22							0.598344			368.835186									394.803534	69.624123		1.653689		1.162375															0.000000	0.000000					-0.337255	0.000000																	-0.336054	0.000000	-0.797247	0.000000			0.000000	0.000000			0.000000	0.000000					
 23							2.214652			369.166838									394.803534	70.472586		1.653689		1.161962															-1.621238	0.000000					-0.354004	0.000000																	0.000000	0.000000	-0.848464	0.000000			0.000000	0.000000			0.000000	0.000000					
 24							2.196403			369.509889									395.139588	71.372266		1.058663		1.161550															0.000000	0.000000					-0.365423	0.000000																	-0.336054	0.000000	-0.899680	0.000000			0.000000	0.595025			0.000000	0.000000					
 25							2.178304			369.818509									395.475642	71.372266		1.120592		1.161137															0.000000	0.000000					-0.331012	0.000000																	-0.336054	0.000000	0.000000	0.000000			-0.061929	0.000000			0.000000	0.000000					
 26							2.160355			370.115427									395.475642	69.972534		1.120592		1.160725															0.000000	0.000000					-0.319329	0.000000																	0.000000	0.000000	-10.766099	12.165831			0.000000	0.000000			0.000000	0.000000					
