Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1	0.000000															0.000000												0.000000			0.000000		0.000000		4.603504	0.236035		0.035714														-0.097120	-0.321624										-1.126371											0.000000	-0.060651	-0.002185					-0.007272					0.000000	0.000000		-0.054578													-1.863370				0.031315																																																													-1.373398	
 1 	 2	0.000000															0.000000												0.000000			0.000000		0.000000		4.724684	0.206932		0.035714														-0.201959	-0.321624										-1.126371											0.000000	-0.060651	-0.000874					-0.002909					0.000000	0.000000		-0.054578													-1.863370				0.031315																																																													-1.366310	
 1 	 3	0.000000															0.000000												0.000000			0.000000		0.000000		4.923100	0.175461		0.035714														-0.362622	-0.321624										-1.126371											0.000000	-0.060651	-0.000437					-0.001454					0.000000	0.000000		-0.054578													-1.863370				0.031315																																																													-1.374483	
 1 	 4	0.000000															0.000000												0.000000			0.000000		0.000000		5.077571	0.144568		0.035714														-0.441922	-0.321624										-1.126371											0.000000	-0.060651	-0.005243					-0.017453					0.000000	0.000000		-0.054578													-1.863370				0.031315																																																													-1.397956	
 1 	 5	0.000000															0.000000												0.000000			0.000000		0.000000		5.260006	0.112676		0.035714														-0.488127	-0.321624										-1.126371											0.000000	-0.060651	-0.013982					-0.046541					0.000000	0.000000		-0.054578													-1.863370				0.031315																																																													-1.464468	
 1 	 6	0.000000															0.000000												0.000000			0.000000		0.000000		5.322594	0.089783		0.035714														-0.239011	-0.321624										-1.126371											0.000000	-0.060651	-0.034956					-0.116351					0.000000	0.000000		-0.054578													-1.863370				0.031315																																																													-1.662494	
 1 	 7	0.000000															0.000000												0.000000			0.000000		0.000000		5.302619	0.074363		0.036830														0.000000	-0.321624										-0.993523											0.000000	-0.060651	-0.067728					-0.225431					0.000000	0.000000		-0.054578													-1.863370				0.031315																																																													-1.858223	
 1 	 8	0.000000															0.000000												0.000000			0.001104		0.000000		4.939079	0.073573		0.120535														0.000000	-0.321624										-0.900066											0.000000	-0.060651	-0.058988					-0.196343					0.000000	0.000000		-0.054578													-1.647216				0.031315																																																													-1.926142	
 1 	 9	0.000000															0.000000												0.000000			0.005143		0.000000		3.929691	0.065837		0.120535														0.000000	-0.321624										-0.850961											0.000000	-0.060651	-0.054619					-0.181799					0.000000	0.000000		-0.054578													-0.763280				0.031315																																																													-1.865009	
 1 	 10	0.000000															0.000000												0.000000			0.005193		0.000000		2.910981	0.063890		0.120535														0.000000	-0.321624										-0.668569											0.000000	-0.060651	-0.061173					-0.203616					0.000000	0.000000		-0.054578													0.000000				0.031315																																																													-1.761703	
 1 	 11	0.000000															0.000000												0.212625			0.002296		0.000000		2.595380	0.059732		0.120535														0.000000	-0.321624										-0.552090											0.000000	-0.060651	-0.069912					-0.232702					0.000000	0.000000		-0.054578													0.000000				0.031315																																																													-1.730327	
 1 	 12	0.000000															0.000000												0.410338			0.001863		0.000000		2.337041	0.067416		0.120535														0.000000	-0.321624										-0.510303											0.000000	-0.060651	-0.076904					-0.255973					0.000000	0.000000		-0.054578													0.000000				0.031315																																																													-1.688476	
 1 	 13	0.000000															0.000000												0.854184			0.005437		0.000000		2.038752	0.086099		0.104910														0.000000	-0.321624										-0.676702											0.000000	-0.060651	-0.069912					-0.232702					0.000000	0.000000		-0.054578													0.000000				0.031315																																																													-1.704528	
 1 	 14	0.000000															0.000000												0.854184			0.009455		0.000000		2.090686	0.114939		0.053571														0.000000	-0.321624										-0.713394											0.000000	-0.060651	-0.070786					-0.235612					0.000000	0.000000		-0.054578													0.000000				0.031315																																																													-1.697506	
 1 	 15	0.000000															0.000000												0.680612			0.000000		0.000000		2.752515	0.128096		0.053571														0.000000	-0.321624										-1.126371											0.000000	-0.060651	-0.079525					-0.264700					0.000000	0.000000		-0.054578													0.000000				0.031315																																																													-1.738660	
 1 	 16	0.000000															0.000000												0.280624			0.000000		0.000000		3.105401	0.126938		0.120535														0.000000	-0.321624										-1.126371											0.000000	-0.060651	-0.083021					-0.276335					0.000000	0.000000		-0.054578													0.000000				0.031315																																																													-1.742234	
