Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																																																															3.379451																																																																-0.689816	0.000000																																							-2.689634	
 1 	 2																																																															3.379451																																																																-0.699538	0.000000																																							-2.679912	
 1 	 3																																																															3.379451																																																																-0.715528	0.000000																																							-2.663922	
 1 	 4																																																															3.379451																																																																-0.728973	0.000000																																							-2.650477	
 1 	 5																																																															3.379451																																																																-0.721976	0.000000																																							-2.657474	
 1 	 6																																																															3.379451																																																																-0.702173	0.000000																																							-2.677277	
 1 	 7																																																															2.980868																																																																-0.274704	0.000000																																							-2.706164	
 1 	 8																																																															2.700469																																																																-0.053436	0.000000																																							-2.647033	
 1 	 9																																																															2.553140																																																																-0.053436	0.000000																																							-2.499704	
 1 	 10																																																															2.005909																																																																0.000000	0.354731																																							-2.360639	
 1 	 11																																																															1.656436																																																																0.000000	0.603919																																							-2.260354	
 1 	 12																																																															1.531061																																																																0.000000	0.676799																																							-2.207860	
 1 	 13																																																															2.030309																																																																0.000000	0.191356																																							-2.221665	
 1 	 14																																																															2.140396																																																																0.000000	0.214973																																							-2.355369	
 1 	 15																																																															3.379451																																																																-0.824977	0.000000																																							-2.554473	
 1 	 16																																																															3.379451																																																																-0.774480	0.000000																																							-2.604971	
 1 	 17																																																															3.379451																																																																-0.789463	0.000000																																							-2.589988	
 1 	 18																																																															2.590582																																																																-0.008499	0.000000																																							-2.582083	
 1 	 19																																																															1.426491																																																																0.000000	1.169217																																							-2.595708	
 1 	 20																																																															2.056121																																																																0.000000	0.564570																																							-2.620691	
 1 	 21																																																															2.093349																																																																0.000000	0.556499																																							-2.649848	
 1 	 22																																																															2.172142																																																																0.000000	0.504956																																							-2.677098	
 1 	 23																																																															1.963888																																																																0.000000	0.732824																																							-2.696712	
 1 	 24																																																															2.210329																																																																0.000000	0.497373																																							-2.707702	
 2 	 1																																																															3.379451																																																																0.000000	0.122581																																							-3.502031	
 2 	 2																																																															3.379451																																																																0.000000	0.171630																																							-3.551081	
 2 	 3																																																															3.379451																																																																0.000000	0.225770																																							-3.605221	
 2 	 4																																																															3.379451																																																																0.000000	0.296251																																							-3.675702	
 2 	 5																																																															3.379451																																																																0.000000	0.379638																																							-3.759088	
 2 	 6																																																															3.379451																																																																0.000000	0.448401																																							-3.827852	
 2 	 7																																																															3.379451																																																																0.000000	0.379089																																							-3.758540	
 2 	 8																																																															3.379451																																																																0.000000	0.086158																																							-3.465608	
 2 	 9																																																															3.379451																																																																-0.189336	0.000000																																							-3.190115	
 2 	 10																																																															3.379451																																																																-0.390077	0.000000																																							-2.989374	
 2 	 11																																																															3.379451																																																																-0.564836	0.000000																																							-2.814615	
 2 	 12																																																															3.379451																																																																-0.682460	0.000000																																							-2.696991	
 2 	 13																																																															3.379451																																																																-0.729972	0.000000																																							-2.649479	
 2 	 14																																																															3.379451																																																																-0.694088	0.000000																																							-2.685362	
 2 	 15																																																															3.379451																																																																-0.505614	0.000000																																							-2.873836	
 2 	 16																																																															3.379451																																																																-0.197961	0.000000																																							-3.181490	
 2 	 17																																																															3.379451																																																																-0.020297	0.000000																																							-3.359154	
 2 	 18																																																															3.379451																																																																0.000000	0.077164																																							-3.456615	
 2 	 19																																																															3.379451																																																																0.000000	0.143841																																							-3.523292	
 2 	 20																																																															3.379451																																																																0.000000	0.194707																																							-3.574158	
 2 	 21																																																															3.379451																																																																0.000000	0.232399																																							-3.611849	
 2 	 22																																																															3.379451																																																																0.000000	0.256375																																							-3.635825	
 2 	 23																																																															3.379451																																																																0.000000	0.270458																																							-3.649909	
 2 	 24																																																															3.379451																																																																0.000000	0.275729																																							-3.655179	
 3 	 1																																																															2.109897																																																																0.000000	0.027473																																							-2.137370	
 3 	 2																																																															1.106627																																																																0.000000	1.061447																																							-2.168074	
 3 	 3																																																															1.145118																																																																0.000000	1.062832																																							-2.207950	
 3 	 4																																																															2.225658																																																																0.000000	0.000000																																							-2.225658	
 3 	 5																																																															2.806614																																																																-0.580956	0.000000																																							-2.225658	
 3 	 6																																																															2.422320																																																																-0.196203	0.000000																																							-2.226117	
 3 	 7																																																															1.718768																																																																0.000000	0.446122																																							-2.164890	
 3 	 8																																																															1.824753																																																																0.000000	0.251400																																							-2.076152	
 3 	 9																																																															1.888760																																																																0.000000	0.065307																																							-1.954068	
 3 	 10																																																															1.840895																																																																0.000000	0.000000																																							-1.840895	
 3 	 11																																																															1.738074																																																																0.000000	0.000000																																							-1.738074	
 3 	 12																																																															1.740688																																																																-0.079732	0.000000																																							-1.660956	
 3 	 13																																																															2.061319																																																																-0.432244	0.000000																																							-1.629075	
 3 	 14																																																															1.159750																																																																0.000000	0.507106																																							-1.666856	
 3 	 15																																																															1.814644																																																																0.000000	0.000000																																							-1.814644	
 3 	 16																																																															1.966514																																																																0.000000	0.000000																																							-1.966514	
 3 	 17																																																															3.021004																																																																-1.036233	0.000000																																							-1.984771	
 3 	 18																																																															2.051170																																																																-0.078297	0.000000																																							-1.972873	
 3 	 19																																																															1.968079																																																																0.000000	0.009884																																							-1.977963	
 3 	 20																																																															1.743583																																																																0.000000	0.245549																																							-1.989133	
 3 	 21																																																															1.310983																																																																0.000000	0.678968																																							-1.989951	
 3 	 22																																																															1.860142																																																																0.000000	0.117362																																							-1.977504	
 3 	 23																																																															2.715020																																																																-0.751680	0.000000																																							-1.963340	
 3 	 24																																																															3.379451																																																																-1.423287	0.000000																																							-1.956163	
 4 	 1																																																															1.721994																																																																0.000000	0.000000																																							-1.721994	
 4 	 2																																																															2.281151																																																																-0.550622	0.000000																																							-1.730529	
 4 	 3																																																															1.741339																																																																0.000000	0.000000																																							-1.741339	
 4 	 4																																																															1.758237																																																																0.000000	0.000000																																							-1.758237	
 4 	 5																																																															1.762320																																																																0.000000	0.000000																																							-1.762320	
 4 	 6																																																															1.738524																																																																0.000000	0.000000																																							-1.738524	
 4 	 7																																																															3.313716																																																																-1.621238	0.000000																																							-1.692478	
 4 	 8																																																															1.614541																																																																0.000000	0.000000																																							-1.614541	
 4 	 9																																																															3.125872																																																																-1.621238	0.000000																																							-1.504634	
 4 	 10																																																															2.145253																																																																-0.758243	0.000000																																							-1.387009	
 4 	 11																																																															1.351519																																																																-0.053436	0.000000																																							-1.298083	
 4 	 12																																																															0.792389																																																																0.000000	0.454549																																							-1.246938	
 4 	 13																																																															1.800638																																																																-0.557235	0.000000																																							-1.243404	
 4 	 14																																																															0.000000																																																																0.000000	1.284179																																							-1.284179	
 4 	 15																																																															0.000000																																																																0.000000	1.365210																																							-1.365210	
 4 	 16																																																															0.000000																																																																0.000000	1.493914																																							-1.493914	
 4 	 17																																																															0.022730																																																																0.000000	1.621238																																							-1.643968	
 4 	 18																																																															1.126168																																																																0.000000	0.570753																																							-1.696921	
 4 	 19																																																															1.730529																																																																0.000000	0.000000																																							-1.730529	
 4 	 20																																																															1.760962																																																																0.000000	0.000000																																							-1.760962	
 4 	 21																																																															1.785667																																																																0.000000	0.000000																																							-1.785667	
 4 	 22																																																															1.806199																																																																0.000000	0.000000																																							-1.806199	
 4 	 23																																																															2.474516																																																																-0.653973	0.000000																																							-1.820543	
 4 	 24																																																															3.379451																																																																-1.547818	0.000000																																							-1.831632	
 5 	 1																																																															0.311563																																																																0.000000	0.878519																																							-1.190082	
 5 	 2																																																															1.207468																																																																0.000000	0.017859																																							-1.225327	
 5 	 3																																																															2.430915																																																																-1.176162	0.000000																																							-1.254753	
 5 	 4																																																															2.873356																																																																-1.621238	0.000000																																							-1.252118	
 5 	 5																																																															2.704698																																																																-1.492726	0.000000																																							-1.211972	
 5 	 6																																																															2.166158																																																																-1.032738	0.000000																																							-1.133420	
 5 	 7																																																															0.734665																																																																0.000000	0.260118																																							-0.994783	
 5 	 8																																																															0.176295																																																																0.000000	0.640784																																							-0.817079	
 5 	 9																																																															0.000000																																																																0.000000	0.651728																																							-0.651728	
 5 	 10																																																															0.000000																																																																0.000000	0.535199																																							-0.535199	
 5 	 11																																																															0.000000																																																																0.000000	0.465040																																							-0.465040	
 5 	 12																																																															0.000000																																																																0.000000	0.428335																																							-0.428335	
 5 	 13																																																															0.382828																																																																0.000000	0.024516																																							-0.407343	
 5 	 14																																																															0.864091																																																																-0.445639	0.000000																																							-0.418452	
