Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																																																					1.286497																																																																																0.000000	0.383184																																	-1.669681	
 1 	 2																																																					1.286497																																																																																0.000000	0.377475																																	-1.663972	
 1 	 3																																																					1.286497																																																																																0.000000	0.368084																																	-1.654581	
 1 	 4																																																					1.286497																																																																																0.000000	0.360187																																	-1.646684	
 1 	 5																																																					1.286497																																																																																0.000000	0.364296																																	-1.650794	
 1 	 6																																																					1.286497																																																																																0.000000	0.375927																																	-1.662424	
 1 	 7																																																					1.286497																																																																																0.000000	0.392892																																	-1.679389	
 1 	 8																																																					1.286497																																																																																0.000000	0.358164																																	-1.644661	
 1 	 9																																																					1.286497																																																																																0.000000	0.271638																																	-1.558135	
 1 	 10																																																					1.286497																																																																																0.000000	0.189965																																	-1.476462	
 1 	 11																																																					1.286497																																																																																0.000000	0.131067																																	-1.417565	
 1 	 12																																																					1.286497																																																																																0.000000	0.100238																																	-1.386735	
 1 	 13																																																					1.286497																																																																																0.000000	0.108345																																	-1.394842	
 1 	 14																																																					1.286497																																																																																0.000000	0.186870																																	-1.473367	
 1 	 15																																																					1.286497																																																																																0.000000	0.303804																																	-1.590301	
 1 	 16																																																					1.286497																																																																																0.000000	0.333461																																	-1.619958	
 1 	 17																																																					1.286497																																																																																0.000000	0.324662																																	-1.611159	
 1 	 18																																																					1.286497																																																																																0.000000	0.320019																																	-1.606516	
 1 	 19																																																					1.286497																																																																																0.000000	0.328021																																	-1.614518	
 1 	 20																																																					0.101920																																																																																0.000000	1.444351																																	-1.546270	
 1 	 21																																																					0.000000																																																																																0.000000	1.556260																																	-1.556260	
 1 	 22																																																					0.000000																																																																																0.000000	1.572264																																	-1.572264	
 1 	 23																																																					0.000000																																																																																0.000000	1.583783																																	-1.583783	
 1 	 24																																																					0.000000																																																																																0.000000	1.590238																																	-1.590238	
 2 	 1																																																					1.286497																																																																																0.000000	0.860306																																	-2.146803	
 2 	 2																																																					1.286497																																																																																0.000000	0.889113																																	-2.175610	
 2 	 3																																																					1.286497																																																																																0.000000	0.920910																																	-2.207407	
 2 	 4																																																					1.286497																																																																																0.000000	0.962303																																	-2.248800	
 2 	 5																																																					1.286497																																																																																0.000000	1.011276																																	-2.297773	
 2 	 6																																																					1.286497																																																																																0.000000	1.051661																																	-2.338158	
 2 	 7																																																					1.286497																																																																																0.000000	1.010954																																	-2.297451	
 2 	 8																																																					1.286497																																																																																0.000000	0.838915																																	-2.125412	
 2 	 9																																																					1.286497																																																																																0.000000	0.677117																																	-1.963614	
 2 	 10																																																					1.286497																																																																																0.000000	0.559222																																	-1.845719	
 2 	 11																																																					1.286497																																																																																0.000000	0.456586																																	-1.743083	
 2 	 12																																																					1.286497																																																																																0.000000	0.387505																																	-1.674002	
 2 	 13																																																					1.286497																																																																																0.000000	0.359601																																	-1.646098	
 2 	 14																																																					1.286497																																																																																0.000000	0.380675																																	-1.667172	
 2 	 15																																																					1.286497																																																																																0.000000	0.491366																																	-1.777863	
 2 	 16																																																					1.286497																																																																																0.000000	0.672052																																	-1.958549	
 2 	 17																																																					1.286497																																																																																0.000000	0.776394																																	-2.062891	
 2 	 18																																																					1.286497																																																																																0.000000	0.833633																																	-2.120130	
 2 	 19																																																					1.286497																																																																																0.000000	0.872792																																	-2.159289	
 2 	 20																																																					1.286497																																																																																0.000000	0.902666																																	-2.189163	
 2 	 21																																																					1.286497																																																																																0.000000	0.924802																																	-2.211300	
 2 	 22																																																					1.286497																																																																																0.000000	0.938884																																	-2.225381	
 2 	 23																																																					1.286497																																																																																0.000000	0.947155																																	-2.233652	
 2 	 24																																																					1.286497																																																																																0.000000	0.950250																																	-2.236747	
 3 	 1																																																					1.286497																																																																																0.000000	0.058839																																	-1.345336	
 3 	 2																																																					1.286497																																																																																0.000000	0.076871																																	-1.363368	
 3 	 3																																																					1.286497																																																																																0.000000	0.100290																																	-1.386787	
 3 	 4																																																					1.134743																																																																																0.000000	0.251822																																	-1.386564	
 3 	 5																																																					1.286497																																																																																0.000000	0.110690																																	-1.397187	
 3 	 6																																																					1.286497																																																																																0.000000	0.110960																																	-1.397457	
