Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																		4.839539																	-4.603504	-0.236035																																																																																																																																			0.000000	
 1 	 2																		4.931616																	-4.724684	-0.206932																																																																																																																																			0.000000	
 1 	 3																		5.098560																	-4.923100	-0.175461																																																																																																																																			0.000000	
 1 	 4																		5.222139																	-5.077571	-0.144568																																																																																																																																			0.000000	
 1 	 5																		5.372682																	-5.260006	-0.112676																																																																																																																																			0.000000	
 1 	 6																		5.412377																	-5.322594	-0.089783																																																																																																																																			0.000000	
 1 	 7																		5.376982																	-5.302619	-0.074363																																																																																																																																			0.000000	
 1 	 8																		5.012653																	-4.939079	-0.073573																																																																																																																																			0.000000	
 1 	 9																		3.995528																	-3.929691	-0.065837																																																																																																																																			0.000000	
 1 	 10																		2.974871																	-2.910981	-0.063890																																																																																																																																			0.000000	
 1 	 11																		2.655113																	-2.595380	-0.059732																																																																																																																																			0.000000	
 1 	 12																		2.404457																	-2.337041	-0.067416																																																																																																																																			0.000000	
 1 	 13																		2.124851																	-2.038752	-0.086099																																																																																																																																			0.000000	
 1 	 14																		2.205625																	-2.090686	-0.114939																																																																																																																																			0.000000	
 1 	 15																		2.880610																	-2.752515	-0.128096																																																																																																																																			0.000000	
 1 	 16																		3.232339																	-3.105401	-0.126938																																																																																																																																			0.000000	
 1 	 17																		2.895758																	-2.760505	-0.135253																																																																																																																																			0.000000	
 1 	 18																		2.342839																	-2.197218	-0.145621																																																																																																																																			0.000000	
 1 	 19																		1.855776																	-1.705840	-0.149936																																																																																																																																			0.000000	
 1 	 20																		1.624548																	-1.470139	-0.154409																																																																																																																																			0.000000	
 1 	 21																		1.454427																	-1.287703	-0.166724																																																																																																																																			0.000000	
 1 	 22																		1.259822																	-1.086624	-0.173198																																																																																																																																			0.000000	
 1 	 23																		1.088116																	-0.894867	-0.193249																																																																																																																																			0.000000	
 1 	 24																		0.968155																	-0.721753	-0.246403																																																																																																																																			0.000000	
 2 	 1																		5.311229																	-4.861473	-0.449756																																																																																																																																			0.000000	
 2 	 2																		5.285729																	-4.832553	-0.453177																																																																																																																																			0.000000	
 2 	 3																		5.249042																	-4.790498	-0.458545																																																																																																																																			0.000000	
 2 	 4																		5.271603																	-4.810848	-0.460755																																																																																																																																			0.000000	
 2 	 5																		5.336993																	-4.873081	-0.463913																																																																																																																																			0.000000	
 2 	 6																		5.510597																	-5.047895	-0.462702																																																																																																																																			0.000000	
 2 	 7																		5.741870																	-5.278957	-0.462913																																																																																																																																			0.000000	
 2 	 8																		5.043221																	-4.578203	-0.465018																																																																																																																																			0.000000	
 2 	 9																		5.434940																	-4.965712	-0.469228																																																																																																																																			0.000000	
 2 	 10																		5.545339																	-5.065586	-0.479754																																																																																																																																			0.000000	
 2 	 11																		5.738754																	-5.250685	-0.488069																																																																																																																																			0.000000	
 2 	 12																		5.973857																	-5.481789	-0.492068																																																																																																																																			0.000000	
 2 	 13																		5.928847																	-5.434989	-0.493858																																																																																																																																			0.000000	
 2 	 14																		5.798482																	-5.303309	-0.495173																																																																																																																																			0.000000	
 2 	 15																		5.904972																	-5.409430	-0.495542																																																																																																																																			0.000000	
 2 	 16																		5.941255																	-5.446502	-0.494752																																																																																																																																			0.000000	
 2 	 17																		6.001125																	-5.507214	-0.493910																																																																																																																																			0.000000	
 2 	 18																		6.037711																	-5.544222	-0.493489																																																																																																																																			0.000000	
 2 	 19																		5.960785																	-5.467190	-0.493595																																																																																																																																			0.000000	
 2 	 20																		5.729336																	-5.236267	-0.493068																																																																																																																																			0.000000	
 2 	 21																		5.740392																	-5.247850	-0.492542																																																																																																																																			0.000000	
 2 	 22																		5.566769																	-5.075543	-0.491226																																																																																																																																			0.000000	
 2 	 23																		5.433109																	-4.944146	-0.488963																																																																																																																																			0.000000	
 2 	 24																		5.344635																	-4.858935	-0.485700																																																																																																																																			0.000000	
 3 	 1																		2.124647																	-1.929557	-0.195091																																																																																																																																			0.000000	
 3 	 2																		1.726327																	-1.531394	-0.194933																																																																																																																																			0.000000	
 3 	 3																		1.726201																	-1.534058	-0.192143																																																																																																																																			0.000000	
