Time	DAM_STORAGE	PHS	BATT_LI	CAES	BEV_BATT	PHEV_BATT	TS_DEC_HP_ELEC	TS_DEC_DIRECT_ELEC	TS_DHN_DAILY	TS_DHN_SEASONAL	TS_DEC_THHP_GAS	TS_DEC_COGEN_GAS	TS_DEC_COGEN_OIL	TS_DEC_ADVCOGEN_GAS	TS_DEC_ADVCOGEN_H2	TS_DEC_BOILER_GAS	TS_DEC_BOILER_WOOD	TS_DEC_BOILER_OIL	SEASONAL_NG	SEASONAL_H2	CO2_STORAGE	SLF_STO	PT_STORAGE	ST_STORAGE	TS_MOLTEN_SALT	TS_COLD	DAM_STORAGE_in	DAM_STORAGE_out	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	CAES_in	CAES_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_DEC_HP_ELEC_in	TS_DEC_HP_ELEC_out	TS_DEC_DIRECT_ELEC_in	TS_DEC_DIRECT_ELEC_out	TS_DHN_DAILY_in	TS_DHN_DAILY_out	TS_DHN_SEASONAL_in	TS_DHN_SEASONAL_out	TS_DEC_THHP_GAS_in	TS_DEC_THHP_GAS_out	TS_DEC_COGEN_GAS_in	TS_DEC_COGEN_GAS_out	TS_DEC_COGEN_OIL_in	TS_DEC_COGEN_OIL_out	TS_DEC_ADVCOGEN_GAS_in	TS_DEC_ADVCOGEN_GAS_out	TS_DEC_ADVCOGEN_H2_in	TS_DEC_ADVCOGEN_H2_out	TS_DEC_BOILER_GAS_in	TS_DEC_BOILER_GAS_out	TS_DEC_BOILER_WOOD_in	TS_DEC_BOILER_WOOD_out	TS_DEC_BOILER_OIL_in	TS_DEC_BOILER_OIL_out	SEASONAL_NG_in	SEASONAL_NG_out	SEASONAL_H2_in	SEASONAL_H2_out	CO2_STORAGE_in	CO2_STORAGE_out	SLF_STO_in	SLF_STO_out	PT_STORAGE_in	PT_STORAGE_out	ST_STORAGE_in	ST_STORAGE_out	TS_MOLTEN_SALT_in	TS_MOLTEN_SALT_out	TS_COLD_in	TS_COLD_out	
 1	1.582688			-0.000000			2.263066			398.717506									518.394544	90.016300		24.633197		2.737929		0.000000	-0.001576	0.000000					0.000000	0.000000					-0.043641	0.000000					-0.144611	0.000000																	0.000000	0.677815	0.000000	0.059227			-0.036796	0.000000			0.000000	0.432900			0.000000	0.000000	
 2	1.584063			-0.000000			2.246306			398.813433									518.052730	89.961590		24.670444		2.304057		0.000000	-0.001374	0.000000					0.000000	0.000000					-0.001888	0.000000					-0.120089	0.000000																	0.000000	0.341814	0.000000	0.054710			-0.037247	0.000000			0.000000	0.432900			0.000000	0.000000	
 3	1.573264			-0.000000			2.194044			398.888423									517.609033	89.908385		24.707841		1.870339		0.000000	-0.001201	0.012000					0.000000	0.000000					0.000000	0.033753					-0.099158	0.000000																	0.000000	0.443696	0.000000	0.053205			-0.037397	0.000000			0.000000	0.432900			0.000000	0.000000	
 4	1.574255			-0.000000			2.105104			398.941614									517.461867	89.838620		24.743585		1.436775		0.000000	-0.000991	0.000000					0.000000	0.000000					0.000000	0.070861					-0.077364	0.000000																	0.000000	0.147167	0.000000	0.069765			-0.035744	0.000000			0.000000	0.432900			0.000000	0.000000	
 5	1.575181			-0.000000			1.984066			398.975521									517.249114	89.738745		24.776322		1.200493		0.000000	-0.000926	0.000000					0.000000	0.000000					0.000000	0.103692					-0.058082	0.000000																	0.000000	0.212752	0.000000	0.099875			-0.032737	0.000000			0.000000	0.235772			0.000000	0.000000	
 6	1.576617			-0.000000			1.835716			398.992799									516.569773	89.566608		24.801843		1.200067		0.000000	-0.001436	0.000000					0.000000	0.000000					0.000000	0.132002					-0.041456	0.000000																	0.000000	0.679341	0.000000	0.172137			-0.025521	0.000000			0.000000	0.000000			0.000000	0.000000	
 7	1.568030			-0.000000			1.678073			398.604865									515.702911	89.281560		24.816089		0.766741		0.000000	-0.003413	0.012000					0.000000	0.000000					0.000000	0.142517					0.000000	0.363755																	0.000000	0.866862	0.000000	0.285048			-0.014246	0.000000			0.000000	0.432900			0.000000	0.000000	
 8	1.562915			0.080610			1.562814			397.448428									514.836050	89.026622		24.833342		0.333569		0.000000	-0.006885	0.012000					-0.080610	0.000000					0.000000	0.101431					0.000000	1.132282																	0.000000	0.866862	0.000000	0.254938			-0.017253	0.000000			0.000000	0.432900			0.000000	0.000000	
 9	1.558135			0.083121			1.553048			396.353459									513.969188	88.786739		24.852098		0.000000		0.000000	-0.007220	0.012000					-0.004188	0.000000					-0.003112	0.000000					0.000000	1.070883																	0.000000	0.866862	0.000000	0.239884			-0.018756	0.000000			0.000000	0.333450			0.000000	0.000000	
 10	1.552071			0.245144			1.676641			395.336831									513.102326	88.524272		24.868599		0.734589		0.000000	-0.005936	0.012000					-0.163752	0.000000					-0.136389	0.000000					0.000000	0.992609																	0.000000	0.866862	0.000000	0.262466			-0.016501	0.000000			-0.734589	0.000000			0.000000	0.000000	
