Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																																																															1.941474																																																																-0.043641	0.000000																																							-1.897833	
 1 	 2																																																															1.941474																																																																-0.001888	0.000000																																							-1.939586	
 1 	 3																																																															1.941474																																																																0.000000	0.033753																																							-1.975227	
 1 	 4																																																															1.941474																																																																0.000000	0.070861																																							-2.012335	
 1 	 5																																																															1.941474																																																																0.000000	0.103692																																							-2.045166	
 1 	 6																																																															1.941474																																																																0.000000	0.132002																																							-2.073476	
 1 	 7																																																															1.941474																																																																0.000000	0.142517																																							-2.083991	
 1 	 8																																																															1.941474																																																																0.000000	0.101431																																							-2.042905	
 1 	 9																																																															1.941474																																																																-0.003112	0.000000																																							-1.938363	
 1 	 10																																																															1.941474																																																																-0.136389	0.000000																																							-1.805085	
 1 	 11																																																															1.941474																																																																-0.240077	0.000000																																							-1.701397	
 1 	 12																																																															1.941474																																																																-0.320774	0.000000																																							-1.620700	
 1 	 13																																																															1.941474																																																																-0.363202	0.000000																																							-1.578272	
 1 	 14																																																															1.941474																																																																-0.367910	0.000000																																							-1.573564	
 1 	 15																																																															1.941474																																																																-0.263735	0.000000																																							-1.677739	
 1 	 16																																																															1.941474																																																																-0.055324	0.000000																																							-1.886150	
 1 	 17																																																															1.941474																																																																0.000000	0.026173																																							-1.967647	
 1 	 18																																																															1.941474																																																																0.000000	0.056743																																							-1.998217	
 1 	 19																																																															1.941474																																																																0.000000	0.085597																																							-2.027071	
 1 	 20																																																															1.941474																																																																0.000000	0.106870																																							-2.048344	
 1 	 21																																																															1.941474																																																																0.000000	0.118609																																							-2.060083	
 1 	 22																																																															1.941474																																																																0.000000	0.123316																																							-2.064791	
 1 	 23																																																															1.941474																																																																0.000000	0.113657																																							-2.055131	
 1 	 24																																																															1.941474																																																																0.000000	0.114394																																							-2.055868	
 2 	 1																																																															1.182331																																																																0.000000	0.591640																																							-1.773971	
 2 	 2																																																															0.964911																																																																0.000000	0.776230																																							-1.741140	
 2 	 3																																																															1.941474																																																																-0.215313	0.000000																																							-1.726161	
 2 	 4																																																															1.941474																																																																-0.233408	0.000000																																							-1.708066	
 2 	 5																																																															1.941474																																																																-0.256211	0.000000																																							-1.685263	
 2 	 6																																																															1.941474																																																																-0.268013	0.000000																																							-1.673462	
 2 	 7																																																															1.091674																																																																0.000000	0.539297																																							-1.630971	
 2 	 8																																																															0.341269																																																																0.000000	1.208636																																							-1.549906	
 2 	 9																																																															1.449278																																																																0.000000	0.000000																																							-1.449278	
 2 	 10																																																															1.838459																																																																-0.540803	0.000000																																							-1.297655	
 2 	 11																																																															1.941474																																																																-0.768842	0.000000																																							-1.172632	
 2 	 12																																																															1.941474																																																																-0.851925	0.000000																																							-1.089550	
 2 	 13																																																															1.941474																																																																-0.907315	0.000000																																							-1.034159	
 2 	 14																																																															1.941474																																																																-0.933053	0.000000																																							-1.008422	
 2 	 15																																																															1.941474																																																																-0.926384	0.000000																																							-1.015090	
 2 	 16																																																															1.941474																																																																-0.879860	0.000000																																							-1.061614	
 2 	 17																																																															1.941474																																																																-0.704891	0.000000																																							-1.236583	
 2 	 18																																																															1.932179																																																																-0.510905	0.000000																																							-1.421274	
 2 	 19																																																															1.522624																																																																-0.055988	0.000000																																							-1.466636	
 2 	 20																																																															1.362882																																																																0.000000	0.138727																																							-1.501609	
 2 	 21																																																															0.157735																																																																0.000000	1.378902																																							-1.536637	
 2 	 22																																																															0.574504																																																																0.000000	0.995701																																							-1.570205	
 2 	 23																																																															0.435561																																																																0.000000	1.175604																																							-1.611165	
 2 	 24																																																															0.990769																																																																0.000000	0.656892																																							-1.647662	
 3 	 1																																																															1.941474																																																																-0.919909	0.000000																																							-1.021565	
 3 	 2																																																															1.941474																																																																-0.853698	0.000000																																							-1.087776	
 3 	 3																																																															1.466972																																																																-0.270981	0.000000																																							-1.195991	
 3 	 4																																																															0.000000																																																																0.000000	1.258468																																							-1.258468	
 3 	 5																																																															0.000000																																																																0.000000	1.290930																																							-1.290930	
 3 	 6																																																															0.219144																																																																0.000000	0.973606																																							-1.192750	
