Name	Used	Potential
ELECTRICITY	0.000000	100000000.000000
GASOLINE	0.000000	100000000.000000
DIESEL	0.000000	100000000.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	100000000.000000
NG	0.000000	100000000.000000
SLF	0.000000	0.000000
SNG	0.000000	0.000000
WOOD	2343.445000	2343.445000
WET_BIOMASS	3887.909000	3887.909000
COAL	0.000000	100000000.000000
URANIUM	0.000000	100000000.000000
WASTE	1782.879000	1782.879000
H2	0.000000	0.000000
ELEC_EXPORT	762.805642	100000000.000000
CO2_EMISSIONS	2041.818069	100000000.000000
RES_WIND	7069.945991	100000000.000000
RES_SOLAR	8879.209048	100000000.000000
RES_HYDRO	39.313241	100000000.000000
RES_GEO	0.000000	100000000.000000
CO2_ATM	0.000000	100000000.000000
CO2_INDUSTRY	0.000000	100000000.000000
CO2_CAPTURED	12.707022	100000000.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
