Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1	0.000000															0.000000															0.000000				1.908321	1.390763	0.000000	0.000000														-0.616241	-0.354025										-0.959030											0.000000	-0.060651	-0.001333					-0.001479					0.000000	-0.011580		-0.068222																	0.021326									0.000000	0.000000							-0.379848	0.011580																																											-0.879581	
 1 	 2	0.000000															0.000000															0.000000				1.632742	1.472591	0.000000	0.141632														-0.616241	-0.354025										-0.941785											0.000000	-0.060651	-0.000533					-0.000592					0.000000	-0.004632		-0.068222																	0.033891									0.000000	0.000000							-0.382627	0.004632																																											-0.856180	
 1 	 3	0.000000															0.000000															0.000000				1.534786	1.620881	0.002030	0.141632														-0.616241	-0.354025										-0.992163											0.000000	-0.060651	-0.000267					-0.000296					0.000000	-0.002316		-0.068222																	0.033891									-0.002030	0.000000							-0.383554	0.002316																																											-0.855773	
 1 	 4	0.000000															0.000000															0.000000				1.415287	1.573428	0.060892	0.141632														-0.493467	-0.354025										-0.938929											0.000000	-0.060651	-0.003200					-0.003550					0.000000	-0.027791		-0.068222																	0.033891									-0.060892	0.000000							-0.373364	0.027791																																											-0.868831	
 1 	 5	0.000000															0.000000															0.000000				1.136863	1.549702	0.060892	0.141632														-0.090374	-0.354025										-1.016213											0.000000	-0.060651	-0.008533					-0.009467					0.000000	-0.074109		-0.068222																	0.033891									-0.060892	0.000000							-0.354836	0.074109																																											-0.899767	
 1 	 6	0.000000															0.000000															0.000000				1.080772	1.518238	0.123137	0.141632														0.000000	-0.354025										-0.922766											0.000000	-0.060651	-0.021333					-0.023668					0.000000	-0.185273		-0.068222																	0.033891									-0.123137	0.000000							-0.290471	0.185273																																											-1.033398	
 1 	 7	0.000000															0.000000															0.000000				0.899898	1.535775	0.213799	0.141632														0.000000	-0.354025										-0.817928											0.000000	-0.060651	-0.041332					-0.045858					0.000000	-0.358967		-0.068222																	0.033891									-0.213799	0.000000							-0.001014	0.358967																																											-1.222167	
 1 	 8	0.000000															0.000000															0.054093				0.947047	1.467175	0.386326	0.141632														0.000000	-0.354025										-0.804563											0.000000	-0.060651	-0.035999					-0.039940					0.000000	-0.312648		-0.068222																	0.033891									-0.386326	0.053703							0.000000	0.312648																																											-1.334142	
 1 	 9	0.000000															0.000000															0.137901				0.870227	1.415853	0.518935	0.141632														0.000000	-0.354025										-0.774825											0.000000	-0.060651	-0.033332					-0.036982					0.000000	-0.289490		-0.068222																	0.033891									-0.518935	0.117760							0.000000	0.289490																																											-1.389227	
 1 	 10	0.000000															0.000000															0.091621				0.851936	1.413017	0.414066	0.141632														0.000000	-0.354025										-0.751218											0.000000	-0.060651	-0.037332					-0.041420					0.000000	-0.324229		-0.068222																	0.033891									-0.414066	0.164871							0.000000	0.324229																																											-1.384100	
 1 	 11	0.000000															0.000000															0.020137				0.897053	1.391869	0.237479	0.141632														0.000000	-0.354025										-0.821753											0.000000	-0.060651	-0.042665					-0.047337					0.000000	-0.370546		-0.068222																	0.033891									-0.237479	0.268794							-0.005437	0.370546																																											-1.353286	
 1 	 12	0.000000															0.000000															0.013890				1.015739	1.413017	0.073070	0.141632														0.000000	-0.354025										-0.799724											0.000000	-0.060651	-0.046932					-0.052071					0.000000	-0.407602		-0.068222																	0.033891									-0.073070	0.301647							-0.221439	0.407602																																											-1.316752	
 1 	 13	0.000000															0.000000															0.004091				1.063701	1.435454	0.048037	0.141632														0.000000	-0.354025										-0.788214											0.000000	-0.060651	-0.042665					-0.047337					0.000000	-0.370546		-0.068222																	0.033891									-0.048037	0.260378							-0.236262	0.370546																																											-1.341772	
 1 	 14	0.000000															0.000000															0.005813				1.121824	1.475943	0.080513	0.141632														0.000000	-0.354025										-0.796162											0.000000	-0.060651	-0.043198					-0.047929					0.000000	-0.375178		-0.068222																	0.033891									-0.080513	0.175453							-0.234409	0.375178																																											-1.349961	
 1 	 15	0.000000															0.000000															0.000000				1.209619	1.527781	0.294311	0.141632														0.000000	-0.354025										-0.822749											0.000000	-0.060651	-0.048532					-0.053846					0.000000	-0.421497		-0.068222																	0.033891									-0.294311	0.073572							-0.215881	0.421497																																											-1.362590	
