Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																																																															2.877379																																																																-0.328400	0.000000																																							-2.548979	
 1 	 2																																																															2.825637																																																																-0.221458	0.000000																																							-2.604180	
 1 	 3																																																															2.976785																																																																-0.328400	0.000000																																							-2.648385	
 1 	 4																																																															2.817070																																																																-0.129520	0.000000																																							-2.687550	
 1 	 5																																																															3.048945																																																																-0.328400	0.000000																																							-2.720545	
 1 	 6																																																															2.768574																																																																-0.010824	0.000000																																							-2.757749	
 1 	 7																																																															2.454029																																																																0.000000	0.328400																																							-2.782429	
 1 	 8																																																															2.413930																																																																0.000000	0.328400																																							-2.742330	
 1 	 9																																																															2.324708																																																																0.000000	0.328400																																							-2.653108	
 1 	 10																																																															2.253879																																																																0.000000	0.301783																																							-2.555662	
 1 	 11																																																															2.465506																																																																0.000000	0.000000																																							-2.465506	
 1 	 12																																																															2.399413																																																																0.000000	0.000000																																							-2.399413	
 1 	 13																																																															2.364878																																																																0.000000	0.000000																																							-2.364878	
 1 	 14																																																															2.388726																																																																0.000000	0.000000																																							-2.388726	
 1 	 15																																																															2.468493																																																																0.000000	0.000000																																							-2.468493	
 1 	 16																																																															2.543836																																																																0.000000	0.000000																																							-2.543836	
 1 	 17																																																															2.597702																																																																0.000000	0.000000																																							-2.597702	
 1 	 18																																																															2.639433																																																																0.000000	0.000000																																							-2.639433	
 1 	 19																																																															2.678701																																																																0.000000	0.000000																																							-2.678701	
 1 	 20																																																															2.711604																																																																0.000000	0.000000																																							-2.711604	
 1 	 21																																																															2.737813																																																																0.000000	0.000000																																							-2.737813	
 1 	 22																																																															2.758889																																																																0.000000	0.000000																																							-2.758889	
 1 	 23																																																															2.797643																																																																0.000000	0.000000																																							-2.797643	
 1 	 24																																																															2.874423																																																																0.000000	0.000000																																							-2.874423	
 2 	 1																																																															2.255471																																																																-0.054449	0.000000																																							-2.201022	
 2 	 2																																																															2.212735																																																																0.000000	0.000000																																							-2.212735	
 2 	 3																																																															2.217673																																																																0.000000	0.000000																																							-2.217673	
 2 	 4																																																															2.222293																																																																0.000000	0.000000																																							-2.222293	
 2 	 5																																																															2.563956																																																																-0.328400	0.000000																																							-2.235557	
 2 	 6																																																															1.919804																																																																0.000000	0.328400																																							-2.248204	
 2 	 7																																																															2.561595																																																																-0.328400	0.000000																																							-2.233195	
 2 	 8																																																															2.191043																																																																0.000000	0.000000																																							-2.191043	
 2 	 9																																																															2.154044																																																																0.000000	0.000000																																							-2.154044	
 2 	 10																																																															2.121460																																																																0.000000	0.000000																																							-2.121460	
 2 	 11																																																															2.082808																																																																0.000000	0.000000																																							-2.082808	
 2 	 12																																																															2.380266																																																																-0.328400	0.000000																																							-2.051866	
 2 	 13																																																															1.713498																																																																0.000000	0.328400																																							-2.041898	
 2 	 14																																																															2.063580																																																																0.000000	0.000000																																							-2.063580	
 2 	 15																																																															2.119499																																																																0.000000	0.000000																																							-2.119499	
 2 	 16																																																															2.520685																																																																-0.328400	0.000000																																							-2.192285	
 2 	 17																																																															1.902434																																																																0.000000	0.328400																																							-2.230834	
 2 	 18																																																															2.264856																																																																0.000000	0.000000																																							-2.264856	
 2 	 19																																																															2.618849																																																																-0.328400	0.000000																																							-2.290449	
 2 	 20																																																															1.987129																																																																0.000000	0.328400																																							-2.315529	
 2 	 21																																																															1.995763																																																																0.000000	0.328400																																							-2.324163	
 2 	 22																																																															2.324573																																																																0.000000	0.000000																																							-2.324573	
 2 	 23																																																															2.334757																																																																-0.164200	0.164200																																							-2.334757	
 2 	 24																																																															2.350280																																																																0.000000	0.000000																																							-2.350280	
 3 	 1																																																															1.981143																																																																0.000000	0.000000																																							-1.981143	
 3 	 2																																																															1.985352																																																																0.000000	0.000000																																							-1.985352	
 3 	 3																																																															1.988032																																																																0.000000	0.000000																																							-1.988032	
 3 	 4																																																															1.991625																																																																0.000000	0.000000																																							-1.991625	
 3 	 5																																																															1.973947																																																																0.000000	0.000000																																							-1.973947	
 3 	 6																																																															1.969625																																																																0.000000	0.000000																																							-1.969625	
 3 	 7																																																															1.937759																																																																0.000000	0.000000																																							-1.937759	
